timestep,power_in_focal,power_send
0,248333656.61264575,390000000.0
1,240879633.48166358,390000000.0
2,239417467.0282237,390000000.0
3,238843353.56979325,390000000.0
4,236455761.00843,390000000.0
5,234447576.48315588,390000000.0
6,230166960.1003034,390000000.0
7,227900159.09355515,390000000.0
8,227418000.46296504,390000000.0
9,224580698.3008972,390000000.0
10,221003144.2428726,390000000.0
11,218628179.70979542,390000000.0
12,214620752.053631,390000000.0
13,211728863.50790912,390000000.0
14,212693793.20618254,390000000.0
15,211462726.3960166,390000000.0
16,208637096.5406704,390000000.0
17,210619829.51616395,390000000.0
18,210451360.1724832,390000000.0
19,208009757.9645878,390000000.0
20,206010631.55234134,390000000.0
21,205294632.040751,390000000.0
22,201765580.59259877,390000000.0
23,200969664.37400764,390000000.0
24,200057935.08058053,390000000.0
25,200914677.57287067,390000000.0
26,199689591.4285727,390000000.0
27,196556476.8184953,390000000.0
28,197854181.50223243,390000000.0
29,195208380.43379295,390000000.0
30,194234601.65383738,390000000.0
31,193091950.00126448,390000000.0
32,194314099.65018237,390000000.0
33,195221971.38187978,390000000.0
34,197160359.76309037,390000000.0
35,197140930.679117,390000000.0
36,195610832.74896276,390000000.0
37,197939569.54669404,390000000.0
38,200719276.32326823,390000000.0
39,201604724.15308282,390000000.0
40,202352452.83089596,390000000.0
41,203908651.40620357,390000000.0
42,204211492.3265897,390000000.0
43,203574758.04546928,390000000.0
44,201646658.5210439,390000000.0
45,202353203.14680308,390000000.0
46,202465354.0706618,390000000.0
47,203054486.37761775,390000000.0
48,204721896.47636786,390000000.0
49,205247601.7965887,390000000.0
