timestep,power_in_focal,power_send
0,200885418.31117967,390000000.0
1,202581732.94327495,390000000.0
2,204158628.2880317,390000000.0
3,205726249.36253124,390000000.0
4,207179062.87627962,390000000.0
5,208534054.06676322,390000000.0
6,209847868.25460166,390000000.0
7,211091398.98179212,390000000.0
8,212194193.9331731,390000000.0
9,213221091.61783227,390000000.0
10,214152700.77134,390000000.0
11,215008636.2678255,390000000.0
12,215836224.0088355,390000000.0
13,216640054.1230632,390000000.0
14,217456794.2805714,390000000.0
15,218321254.25579643,390000000.0
16,219086748.24197477,390000000.0
17,219844362.8481415,390000000.0
18,220536105.5772825,390000000.0
19,221127836.5767846,390000000.0
20,221738612.9289706,390000000.0
21,222258010.64260548,390000000.0
22,222698312.00709444,390000000.0
23,223114241.09156847,390000000.0
24,223426341.48756215,390000000.0
25,223695859.810939,390000000.0
26,223968414.9619309,390000000.0
27,224127421.65058097,390000000.0
28,224224774.01742873,390000000.0
29,224268948.84565136,390000000.0
30,224254694.67412263,390000000.0
31,224141021.7851093,390000000.0
32,224054022.98421228,390000000.0
33,223902865.84900165,390000000.0
34,223737269.97034928,390000000.0
35,223507896.90522742,390000000.0
36,223251429.0604116,390000000.0
37,223008410.2243777,390000000.0
38,222690594.3149963,390000000.0
39,222281628.1430511,390000000.0
40,221834615.36109945,390000000.0
41,221367815.96572763,390000000.0
42,220857676.5951803,390000000.0
43,220383800.82471225,390000000.0
44,219882311.38852412,390000000.0
45,219352097.9349564,390000000.0
46,218776924.04149038,390000000.0
47,218169652.6917348,390000000.0
48,217593217.6912644,390000000.0
49,217020965.58480605,390000000.0
50,216459755.2719031,390000000.0
51,215886797.0081606,390000000.0
52,215306317.83320487,390000000.0
53,214773954.5522489,390000000.0
54,214214479.82800516,390000000.0
55,213660316.56714323,390000000.0
56,213146052.65330017,390000000.0
57,212633846.64619341,390000000.0
58,212077714.6806498,390000000.0
59,211501221.48371744,390000000.0
60,210885177.2553285,390000000.0
61,210275411.72194344,390000000.0
62,209644365.01906762,390000000.0
63,208959476.3487864,390000000.0
64,208268449.8481918,390000000.0
65,207586115.838384,390000000.0
66,206887499.7395542,390000000.0
67,206228514.08759707,390000000.0
68,205591932.34429103,390000000.0
69,204937531.67222562,390000000.0
70,204322265.83018526,390000000.0
71,203775728.41416022,390000000.0
72,203294330.8973146,390000000.0
73,202830556.51530007,390000000.0
74,202378376.91779333,390000000.0
75,201924335.1909687,390000000.0
76,201446052.60676777,390000000.0
77,200951126.03409076,390000000.0
78,200447574.09579426,390000000.0
79,199896990.6731856,390000000.0
80,199341050.8888808,390000000.0
81,198701473.3891459,390000000.0
82,198030174.40577507,390000000.0
83,197380550.22404245,390000000.0
84,196690390.27870467,390000000.0
85,195975203.61853355,390000000.0
86,195251550.3766316,390000000.0
87,194473899.86795247,390000000.0
88,193692742.4691165,390000000.0
89,192868510.08763087,390000000.0
90,192048851.49249566,390000000.0
91,191350323.46521354,390000000.0
92,190679080.0418424,390000000.0
93,190012504.66394752,390000000.0
94,189363207.4189499,390000000.0
95,188709851.2692933,390000000.0
96,188159658.80650395,390000000.0
97,187642276.21868002,390000000.0
98,187178266.73208874,390000000.0
99,186797851.85256165,390000000.0
