iteration,1. PAM Modulation_ms,2. WFS Propagation (layer_ao)_ms,3. DM Application_ms,4. SH Sensing (shwfs)_ms,5. Poisson Noise_ms,6. Focal Plane Propagation_ms,7. Slope Estimation_ms,8. Reconstruction & DM Update_ms,9. Data Logging_ms,total_ms,loop_rate_hz
0,0.7125829579308629,0.9300418896600604,20.541541976854205,5.1108329789713025,3.468374954536557,43.86379197239876,1.9121660152450204,4.7660000855103135,0.010083080269396305,81.31541591137648,12.29779112351677
1,0.9659159695729613,0.9939169976860285,5.281916004605591,4.069542046636343,2.789542078971863,209.98258295003325,1.8977909348905087,3.0647499952465296,0.04554202314466238,229.09149900078773,4.365068125013933
2,1.0931250872090459,0.9570840047672391,4.1007500840350986,3.347999998368323,2.7967500500380993,98.53912494145334,1.8310840241611004,8.305208990350366,0.00825000461190939,120.97937718499452,8.265871616042949
3,0.9122500196099281,0.942832906730473,26.070541935041547,4.863500013016164,2.7820420218631625,199.33295797090977,1.9098749617114663,48.87349996715784,0.010041054338216782,285.6975408503786,3.500205136605308
4,1.2287079589441419,0.8920420659705997,31.068374984897673,4.17124992236495,2.781291026622057,186.37999997008592,1.9886249210685492,2.7755830669775605,0.009375042282044888,231.2952489592135,4.323478344236719
5,1.0633750353008509,0.8537499234080315,20.000958000309765,4.661625018343329,2.7468339540064335,186.44199997652322,1.8544578924775124,13.739582966081798,0.011249911040067673,231.373832677491,4.3220099197383615
6,1.0108330752700567,0.95549994148314,19.795582978986204,5.137500003911555,2.7744999388232827,147.8326249634847,1.8305840203538537,26.605166029185057,0.009541981853544712,205.9518329333514,4.85550424949902
7,1.9250829936936498,0.9047909406945109,9.638916933909059,4.908332950435579,2.76674993801862,119.82983397319913,1.851000008173287,18.41366698499769,0.014708959497511387,160.25308368261904,6.240129531488445
8,0.9507910581305623,1.0186659637838602,19.699166994541883,6.185792037285864,2.7934580575674772,85.35708405543119,1.8267919076606631,21.33216697257012,0.013832934200763702,139.17774998117238,7.1850565204228225
9,1.2134170392528176,1.071707927621901,11.714041931554675,6.743291043676436,2.752415952272713,77.21324998419732,1.848542015068233,15.026250039227307,0.023542088456451893,117.60645802132785,8.502934420647637
10,2.4035839596763253,1.0629170574247837,20.376874948851764,5.177374929189682,2.826667041517794,189.77783294394612,1.91483402159065,6.396083976142108,0.00866700429469347,229.94483588263392,4.348869137076032
11,0.9968329686671495,1.0203749407082796,8.333250065334141,5.449708900414407,2.835166989825666,251.3421659823507,1.8715410260483623,11.069708038121462,0.014125020243227482,282.9328739317134,3.534407246862917
12,0.9598750621080399,1.0647079907357693,10.477125062607229,4.321958986110985,2.776416949927807,123.5664589330554,1.8707920098677278,12.455208110623062,0.009624985978007317,157.50216809101403,6.349118949411167
13,1.0746249463409185,1.0526670375838876,8.501917007379234,5.041584023274481,2.804584102705121,141.05124992784113,1.868707942776382,12.809542007744312,0.008625094778835773,174.2135020904243,5.740083219732056
14,1.1369169224053621,0.8547090692445636,10.618541040457785,4.916875041089952,2.7722499798983335,100.01120902597904,1.8770419992506504,6.521917064674199,0.008792034350335598,128.71825217735022,7.768905987180301
15,1.069874968379736,0.9967910591512918,21.34604100137949,4.256292013451457,2.8052079724147916,83.162207971327,1.8722499953582883,15.648875036276877,0.009416951797902584,131.16695696953684,7.623871309542137
16,0.6123339990153909,0.9436249965801835,9.27445909474045,5.151166929863393,2.7830000035464764,139.0761670190841,1.869790954515338,9.222667082212865,0.008542090654373169,168.94175217021257,5.9191998848957
17,1.065832911990583,0.8997080149129033,29.58604204468429,4.389874986372888,2.7240419294685125,207.81329204328358,1.8892919179052114,4.42625000141561,0.008624978363513947,252.8029588283971,3.955649904710178
18,1.1290829861536622,1.1316250311210752,14.139708946458995,7.047833991236985,2.773500047624111,149.4364170357585,1.8231249414384365,26.704291929490864,0.008417060598731041,204.19400196988136,4.897303497423495
19,1.0239160619676113,0.9982910705730319,29.423457919619977,5.021875025704503,2.718457952141762,199.55399993341416,1.8556250724941492,19.757166039198637,0.009167008101940155,260.3619560832158,3.840806909901938
20,0.952000031247735,0.9413330117240548,19.70995811279863,4.601874970830977,2.70845799241215,178.13191702589393,1.9493750296533108,23.49112497176975,0.009292038157582283,232.49533318448812,4.301161603129843
21,1.0403329506516457,0.9667089907452464,7.0457919500768185,5.585915991105139,2.7810409665107727,116.03608296718448,1.8908330239355564,22.878625080920756,0.015292083844542503,158.24062400497496,6.319489740943898
22,0.8964170701801777,0.8575000101700425,4.218541085720062,5.582457990385592,2.772292005829513,105.86012492422014,1.8858329858630896,9.876792086288333,0.008792034350335598,131.9587501930073,7.578125728967321
23,3.0322500970214605,1.0382499312981963,9.219042025506496,6.599458050914109,2.7722918894141912,126.04804104194045,1.8778329249471426,31.571582891047,0.014292076230049133,182.1730409283191,5.489286421877741
24,0.9572079870849848,0.8742089848965406,15.134957968257368,4.638666054233909,2.740417025052011,90.52270906977355,1.8111669924110174,3.5408749245107174,0.008499948307871819,120.22870895452797,8.317480980172654
25,2.0102079724892974,0.9007499320432544,10.438250028528273,6.221542018465698,2.7151659596711397,168.7172909732908,1.8367919838055968,5.905707948841155,0.008124974556267262,198.75383179169148,5.031349539203214
26,0.9646660182625055,0.8726670639589429,21.553875063546002,4.546083975583315,2.834875020198524,161.66845802217722,1.8927919445559382,24.22858402132988,0.00929099041968584,218.571292120032,4.575166254911617
27,1.0781249729916453,0.9014590177685022,26.95037506055087,4.651166964322329,2.710792003199458,170.54216610267758,1.8925839103758335,24.54854198731482,0.008624978363513947,233.28383499756455,4.286623631725018
28,1.0670000920072198,0.85891701746732,21.969666006043553,4.655458033084869,2.8301250422373414,169.1796249942854,1.8566660583019257,21.116457995958626,0.008291914127767086,223.54220715351403,4.473428140186815
29,0.9470420191064477,0.8475419599562883,16.04945899453014,6.485791993327439,2.8061249759048223,174.11816702224314,1.8589580431580544,20.436624996364117,0.01883308868855238,223.568543093279,4.472901179048129
30,3.058791975490749,0.9763749549165368,6.9720420287922025,4.598082974553108,2.8048339299857616,152.69937505945563,1.861541997641325,5.87279093451798,0.00825000461190939,178.8520838599652,5.591212461259128
31,1.696833991445601,0.9389170445501804,13.024084037169814,6.212000036612153,2.757707959972322,226.9050000468269,1.8849169136956334,17.54037500359118,0.008707982487976551,270.96854301635176,3.6904652800958315
32,1.045833108946681,0.8978329133242369,9.860249934718013,4.763999953866005,2.715499955229461,155.16650001518428,1.9526670221239328,3.9897500537335873,0.010707997716963291,180.40304095484316,5.543143811252666
33,1.0020419722422957,0.8593329694122076,6.095499964430928,5.970958969555795,2.7790419990196824,95.07583302911371,1.8735419725999236,12.627040967345238,0.008499948307871819,126.29179179202765,7.918170973825129
34,1.4876670902594924,0.8915829239413142,17.709000036120415,5.892332992516458,2.7730410220101476,177.97179205808789,1.863708021119237,26.472916011698544,0.010666903108358383,235.07270705886185,4.254002995548103
35,2.4400000693276525,0.9109170641750097,11.05683296918869,4.376749973744154,2.7621249901130795,162.9882500274107,2.002583001740277,13.658499927259982,0.008792034350335598,200.20475005730987,4.994886483531204
36,1.1453329352661967,0.9332920890301466,19.280417007394135,5.384249961934984,2.792750019580126,136.4681669510901,1.8408329924568534,9.893000009469688,0.008375034667551517,177.74641700088978,5.625992449653678
37,0.9140829788520932,0.8500410476699471,17.39904109854251,3.855832968838513,2.7241669595241547,169.41500001121312,1.8047920893877745,18.57416599523276,0.008167000487446785,215.54529014974833,4.639396199774341
38,0.9553340496495366,0.9380000410601497,16.545291990041733,8.534290944226086,3.004042082466185,214.70995794516057,1.9274159567430615,6.996333948336542,0.008416012860834599,253.6190829705447,3.942920967489422
39,0.934917014092207,1.0013339342549443,14.048708020709455,4.854582948610187,2.706040977500379,237.8737919498235,1.9180839881300926,5.266249994747341,0.0085409265011549,268.61224975436926,3.7228384070884464
40,3.636125009506941,0.9538750164210796,27.66845899168402,4.884541966021061,2.821083995513618,161.78004199173301,1.876375055871904,35.28516599908471,0.008999952115118504,238.91466797795147,4.1855948337683735
41,2.8845410561189055,1.0633330093696713,7.330083986744285,5.896416958421469,2.719875075854361,190.22200000472367,1.8649999983608723,16.03041705675423,0.008624978363513947,228.02029212471098,4.385574593743046
42,1.275207963772118,0.8489579195156693,9.424832998774946,4.673665971495211,2.890750067308545,209.48499999940395,1.8206669483333826,19.38345900271088,0.00837491825222969,249.81091578956693,4.003027637280548
43,1.2884580064564943,0.8519170805811882,22.892249980941415,4.566167015582323,2.694999915547669,192.17987498268485,1.9154170295223594,9.702333016321063,0.009124982170760632,236.10054200980812,4.235483711674232
44,1.1060830438509583,1.1167089687660336,9.462208021432161,4.798708949238062,2.7860410045832396,170.02033290918916,1.8688749987632036,9.378708084113896,0.00900006853044033,200.54666604846716,4.986370602432876
45,2.6211669901385903,0.9011670481413603,9.906457969918847,4.5153339160606265,2.7817910304293036,172.58562496863306,1.857166993431747,2.5619169464334846,0.010458985343575478,197.7410848485306,5.057118002391858
46,0.8898330852389336,0.8712080307304859,3.086209064349532,10.358708910644054,2.8378329006955028,126.76258396822959,1.8324579577893019,11.561958002857864,0.008750008419156075,158.20954192895442,6.320731277062037
47,0.9749169694259763,0.9797910461202264,14.147415990009904,4.756249953061342,2.8425410855561495,173.18108293693513,1.842792029492557,0.7855420699343085,0.008458970114588737,199.51879105065018,5.012059238801915
48,1.0434590512886643,1.1141248978674412,12.933333055116236,5.6619999231770635,2.7437909739091992,144.1742080496624,1.8780410755425692,16.59404207020998,0.008458970114588737,186.15145806688815,5.371969741116284
49,0.9227079572156072,0.861415988765657,12.522208038717508,4.727874998934567,2.743332996033132,202.59350002743304,1.9201660761609674,17.95775000937283,0.008333008736371994,244.25728910136968,4.094043636032446
