timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-1.392586671261726e-10,3.721956373266528e-10,-3.4934819372192957e-09,0.0,6.986787677190617e-10,7.16682575980883e-08,4.3667422982441355e-09
1,0.0,0.0,-2.757321609098217e-10,7.369473619067725e-10,-6.917094235694205e-09,6.986787677190617e-10,1.3833839600837422e-09,7.16682575980883e-08,4.3667422982441355e-09
2,0.0,0.0,-4.0947618481779784e-10,1.0944040519952898e-09,-1.0272234288199616e-08,1.3833839600837422e-09,2.054395048601129e-09,7.16682575980883e-08,4.3667422982441355e-09
3,0.0,0.0,-5.405453282476145e-10,1.4447116082820369e-09,-1.356027153965492e-08,2.054395048601129e-09,2.711985915348168e-09,7.16682575980883e-08,4.3667422982441355e-09
4,0.0,0.0,-6.689930888088347e-10,1.7880130134430488e-09,-1.6782548046081117e-08,2.711985915348168e-09,3.3564249647602665e-09,7.16682575980883e-08,4.3667422982441355e-09
5,162.0,200.0,-7.935074387459843e-10,2.2249653559127935e-09,-1.988908885297693e-08,3.3564249647602665e-09,3.96761476653164e-09,8.504548890655382e-08,4.256424133524896e-09
6,0.0,0.0,-9.168959570972373e-10,2.5526616861211905e-09,-2.2984789013136686e-08,3.96761476653164e-09,4.586857663171974e-09,7.16682575980883e-08,4.3667422982441355e-09
7,0.0,0.0,-1.0378167050814652e-09,2.8738040897254194e-09,-2.601857517009325e-08,4.586857663171974e-09,5.193737961508869e-09,7.16682575980883e-08,4.3667422982441355e-09
8,127.0,90.0,-1.1563190381060085e-09,3.188523645257564e-09,-2.899168560391068e-08,5.193737961508869e-09,5.7884953071033856e-09,7.16682575980883e-08,4.3667422982441355e-09
9,0.0,0.0,-1.2724513244700608e-09,3.4969488096790654e-09,-3.190533382905176e-08,5.7884953071033856e-09,6.37136763714225e-09,7.16682575980883e-08,4.3667422982441355e-09
10,29.0,242.0,-1.386260965106832e-09,3.799205470812137e-09,-3.4760709089690015e-08,6.37136763714225e-09,6.942589799686641e-09,7.16682575980883e-08,4.3667422982441355e-09
11,0.0,0.0,-1.4977944129308685e-09,4.095416998722547e-09,-3.755897684511551e-08,6.942589799686641e-09,7.502392912794205e-09,7.16682575980883e-08,4.3667422982441355e-09
12,0.0,0.0,-1.6070971917984235e-09,4.385704296074749e-09,-4.030127924543249e-08,7.502392912794205e-09,8.051004063137484e-09,7.16682575980883e-08,4.3667422982441355e-09
13,0.0,0.0,-1.7142139150886276e-09,4.670185847479907e-09,-4.298873559774314e-08,8.051004063137484e-09,8.58864617305559e-09,7.16682575980883e-08,4.3667422982441355e-09
14,0.0,0.0,-1.8191883039130276e-09,4.948977767856961e-09,-4.5622442823007564e-08,8.58864617305559e-09,9.115537956419318e-09,7.16682575980883e-08,4.3667422982441355e-09
15,0.0,0.0,-1.9220632049609393e-09,5.222193849826475e-09,-4.8203475903766705e-08,9.115537956419318e-09,9.631893923596256e-09,7.16682575980883e-08,4.3667422982441355e-09
16,0.0,0.0,-2.0228806079878926e-09,5.489945610156598e-09,-5.0732888322910664e-08,9.631893923596256e-09,1.0137924414542757e-08,7.16682575980883e-08,4.3667422982441355e-09
17,0.0,0.0,-2.1216816629543074e-09,5.752342335280119e-09,-5.321171249367174e-08,1.0137924414542757e-08,1.063383564840293e-08,7.16682575980883e-08,4.3667422982441355e-09
18,0.0,0.0,-2.2185066968213933e-09,6.0094911259011695e-09,-5.56409601810176e-08,1.063383564840293e-08,1.1119829782910086e-08,7.16682575980883e-08,4.3667422982441355e-09
19,0.0,0.0,-2.3133952300111383e-09,6.261496940709799e-09,-5.802162291461654e-08,1.1119829782910086e-08,1.159610497958545e-08,7.16682575980883e-08,4.3667422982441355e-09
20,0.0,0.0,-2.406385992537088e-09,6.508462639222256e-09,-6.03546723935435e-08,1.159610497958545e-08,1.206285547226962e-08,7.16682575980883e-08,4.3667422982441355e-09
21,0.0,0.0,-2.497516939812518e-09,6.7504890237644635e-09,-6.264106088289192e-08,1.206285547226962e-08,1.2520271637431274e-08,7.16682575980883e-08,4.3667422982441355e-09
22,134.0,113.0,-2.5868252681424407e-09,6.987674880615827e-09,-6.488172160245338e-08,1.2520271637431274e-08,1.296854006525028e-08,7.16682575980883e-08,4.3667422982441355e-09
23,0.0,0.0,-2.674347429905764e-09,7.220117020330163e-09,-6.707756910762361e-08,1.296854006525028e-08,1.3407843630817356e-08,7.16682575980883e-08,4.3667422982441355e-09
24,73.0,2.0,-2.7601191484338215e-09,7.4479103172502125e-09,-6.922949966269043e-08,1.3407843630817356e-08,1.3838361565012602e-08,7.16682575980883e-08,4.3667422982441355e-09
25,0.0,0.0,-2.8441754325913175e-09,7.671147748231861e-09,-7.133839160665592e-08,1.3838361565012602e-08,1.4260269524769166e-08,7.16682575980883e-08,4.3667422982441355e-09
26,75.5,160.75,-2.9185409222271905e-09,7.884135097704089e-09,-7.337513648735453e-08,1.4260269524769166e-08,1.4653409997870095e-08,1.1082861791967449e-07,4.334994054779786e-09
27,0.0,0.0,-2.999428770908819e-09,8.098648033076659e-09,-7.540111569482673e-08,1.4653409997870095e-08,1.5058975823850276e-08,7.16682575980883e-08,4.3667422982441355e-09
28,95.0,216.0,-3.0764069356609924e-09,8.322525748530627e-09,-7.739395758847454e-08,1.5058975823850276e-08,1.5452746309756267e-08,7.278420729335396e-08,4.344989598098512e-09
29,0.0,0.0,-3.154137464073945e-09,8.528270870886668e-09,-7.933956037392435e-08,1.5452746309756267e-08,1.584233326160248e-08,7.16682575980883e-08,4.3667422982441355e-09
30,0.0,0.0,-3.2303133819186388e-09,8.729901090795587e-09,-8.124625110366516e-08,1.584233326160248e-08,1.62241316198033e-08,7.16682575980883e-08,4.3667422982441355e-09
31,0.0,0.0,-3.3049657814064385e-09,8.927498706306329e-09,-8.311480801881115e-08,1.62241316198033e-08,1.659829682318774e-08,7.16682575980883e-08,4.3667422982441355e-09
32,0.0,0.0,-3.378125132904483e-09,9.121144369506856e-09,-8.494599379565423e-08,1.659829682318774e-08,1.69649812447474e-08,7.16682575980883e-08,4.3667422982441355e-09
33,226.0,235.0,-3.449821297372566e-09,9.310917119443371e-09,-8.674055585696045e-08,1.69649812447474e-08,1.7324334246402914e-08,7.16682575980883e-08,4.3667422982441355e-09
34,0.0,0.0,-3.5200835385512876e-09,9.496894414381155e-09,-8.849922667704053e-08,1.7324334246402914e-08,1.767650223382592e-08,7.16682575980883e-08,4.3667422982441355e-09
35,0.0,0.0,-3.5889405349064337e-09,9.679152163420186e-09,-9.022272408071902e-08,1.767650223382592e-08,1.8021628711087595e-08,7.16682575980883e-08,4.3667422982441355e-09
36,88.0,106.0,-3.653195225019801e-09,9.8213029335132e-09,-9.237617728194836e-08,1.8021628711087595e-08,1.8444385019340803e-08,8.497785776677065e-08,4.964957610404008e-09
37,0.0,0.0,-3.7193899876455785e-09,9.997072512169589e-09,-9.40221356735287e-08,1.8444385019340803e-08,1.8774150102482276e-08,7.16682575980883e-08,4.3667422982441355e-09
38,0.0,0.0,-3.7842608550188396e-09,1.016932669925285e-08,-9.563517489727742e-08,1.8774150102482276e-08,1.9097321766185378e-08,7.16682575980883e-08,4.3667422982441355e-09
