timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-1.392586671261726e-10,3.721956373266528e-10,-3.4934819372192957e-09,0.0,6.986787677190617e-10,7.16682575980883e-08,4.3667422982441355e-09
1,63.0,151.0,-2.7322237124054507e-10,7.114221283010783e-10,-6.939724138643318e-09,6.986787677190617e-10,1.386913484198992e-09,7.278675826249785e-08,4.38982592730726e-09
2,0.0,0.0,-4.0701659094190686e-10,1.0693893230617094e-09,-1.0294411593089748e-08,1.386913484198992e-09,2.057798061645697e-09,7.16682575980883e-08,4.3667422982441355e-09
3,0.0,0.0,-5.381349262492412e-10,1.420197173927128e-09,-1.3582005298447248e-08,2.057798061645697e-09,2.715293436897115e-09,7.16682575980883e-08,4.3667422982441355e-09
4,39.0,89.0,-6.690490251794804e-10,1.6695072452345073e-09,-1.6797599524345443e-08,2.715293436897115e-09,3.3595650598547174e-09,7.708923557069623e-08,4.372626241870111e-09
5,177.0,93.5,-8.165898431379643e-10,2.0799745506290125e-09,-2.0190432434412437e-08,3.3595650598547174e-09,4.030017410465014e-09,8.875807582079085e-08,4.632863972485802e-09
6,0.0,0.0,-9.395167134013775e-10,2.410570696943085e-09,-2.3280105722943485e-08,4.030017410465014e-09,4.647955630088756e-09,7.16682575980883e-08,4.3667422982441355e-09
7,0.0,0.0,-1.0599850462595226e-09,2.734554920330876e-09,-2.6307985545703913e-08,4.647955630088756e-09,5.253571999536755e-09,7.16682575980883e-08,4.3667422982441355e-09
8,0.0,0.0,-1.178044012460505e-09,3.0520594592509114e-09,-2.927530777200913e-08,5.253571999536755e-09,5.847100476523167e-09,7.16682575980883e-08,4.3667422982441355e-09
9,173.0,104.0,-1.2832394311188463e-09,3.3686165385194648e-09,-3.210843033894607e-08,5.847100476523167e-09,6.406324838884538e-09,8.506555001954383e-08,4.2541464826406e-09
10,0.0,0.0,-1.396833309622642e-09,3.673439845075728e-09,-3.495974366938644e-08,6.406324838884538e-09,6.9767743315376516e-09,7.16682575980883e-08,4.3667422982441355e-09
11,0.0,0.0,-1.5081553105563616e-09,3.9721666855008665e-09,-3.7754030733218e-08,6.9767743315376516e-09,7.535833700406316e-09,7.16682575980883e-08,4.3667422982441355e-09
