timestep,power_in_focal,power_send
0,259636192.68522802,390000000.0
1,259346703.1588897,390000000.0
2,258971716.2069175,390000000.0
3,258503113.33609185,390000000.0
4,257973742.89100176,390000000.0
5,257438437.2902792,390000000.0
6,256896805.30132568,390000000.0
7,256299639.3091564,390000000.0
8,255579519.88789177,390000000.0
9,254805317.7927745,390000000.0
10,254071791.32107508,390000000.0
11,253382244.92095268,390000000.0
12,252763635.89236453,390000000.0
13,252202712.87326595,390000000.0
14,251588442.2083256,390000000.0
15,250925118.12642276,390000000.0
16,250266703.3087556,390000000.0
17,249643747.0523847,390000000.0
18,249120254.82819915,390000000.0
19,248698970.89892244,390000000.0
20,248257834.7337774,390000000.0
21,247865827.612966,390000000.0
22,247519956.86434892,390000000.0
23,247255675.40754902,390000000.0
24,247058388.5232537,390000000.0
25,246913863.9936364,390000000.0
26,246859769.17319775,390000000.0
27,246933220.0506489,390000000.0
28,247105324.14365163,390000000.0
29,247404727.36622134,390000000.0
30,247781244.74504322,390000000.0
31,248238819.3044982,390000000.0
32,248769368.1371691,390000000.0
33,249357472.82437074,390000000.0
34,250033369.92762765,390000000.0
35,250761982.7852351,390000000.0
36,251556715.9300932,390000000.0
37,252390575.6015482,390000000.0
38,253304821.58544803,390000000.0
39,254303051.56071913,390000000.0
40,255392853.08482882,390000000.0
41,256484593.78867882,390000000.0
42,257507252.08754012,390000000.0
43,258530331.61647913,390000000.0
44,259583539.92810446,390000000.0
45,260624389.20350382,390000000.0
46,261723658.51748955,390000000.0
47,262824825.46661168,390000000.0
48,263976565.767303,390000000.0
49,265098130.2670068,390000000.0
