timestep,power_in_focal,power_send
0,118239470.29857565,390000000.0
1,119759695.82006043,390000000.0
2,121250642.3313005,390000000.0
3,122718393.4584991,390000000.0
4,124229298.46012844,390000000.0
5,125692235.3889459,390000000.0
6,127064446.38169254,390000000.0
7,128462732.8918799,390000000.0
8,129839481.22492863,390000000.0
9,131207811.43127303,390000000.0
10,132562586.95124024,390000000.0
11,133870461.51766604,390000000.0
12,135040878.91491053,390000000.0
13,136202250.2528811,390000000.0
14,137454323.91761363,390000000.0
15,138625253.99549103,390000000.0
16,139705521.50476477,390000000.0
17,140779352.72049594,390000000.0
18,141840950.30054277,390000000.0
19,142800888.09324118,390000000.0
20,143686485.9760235,390000000.0
21,144487851.65232491,390000000.0
22,145190408.55877158,390000000.0
23,145739919.97440392,390000000.0
24,146195349.43696183,390000000.0
25,146552012.91565576,390000000.0
26,146939916.2830372,390000000.0
27,147306903.08280575,390000000.0
28,147619016.0527559,390000000.0
29,147936103.07872897,390000000.0
30,148228152.81278774,390000000.0
31,148460570.71609035,390000000.0
32,148573576.8033415,390000000.0
33,148641881.04136527,390000000.0
34,148677418.71922857,390000000.0
35,148672384.86035207,390000000.0
36,148626497.4120669,390000000.0
37,148529243.94324124,390000000.0
38,148481367.376835,390000000.0
39,148432279.56920362,390000000.0
40,148334064.00362992,390000000.0
41,148170236.56074554,390000000.0
42,148020157.2700702,390000000.0
43,147777263.9181829,390000000.0
44,147514888.07451963,390000000.0
45,147326617.88775557,390000000.0
46,147073467.96718982,390000000.0
47,146875546.94293305,390000000.0
48,146685345.92323563,390000000.0
49,146532485.39704102,390000000.0
