timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-3.467738238423162e-10,1.8104778325155307e-10,-1.1665352265659215e-08,0.0,1.824467303128255e-09,7.16682575980883e-08,1.612616502618902e-08
1,72.0,160.0,-6.883634276146422e-10,3.6747153451668197e-10,-2.313696039972327e-08,1.824467303128255e-09,3.619127226072681e-09,7.278444082605952e-08,1.618533167839441e-08
2,193.0,159.0,-1.0163642115111685e-09,5.230624588293685e-10,-3.4329608154146164e-08,3.619127226072681e-09,5.3687421860507766e-09,7.708903854107107e-08,1.6105239667407628e-08
3,0.0,0.0,-1.3428107511232615e-09,6.936489929043341e-10,-4.5308368256722454e-08,5.3687421860507766e-09,7.085819535092765e-09,7.16682575980883e-08,1.612616502618902e-08
4,0.0,0.0,-1.6627283599431123e-09,8.608237962978005e-10,-5.606755315724722e-08,7.085819535092765e-09,8.768561562252556e-09,7.16682575980883e-08,1.612616502618902e-08
5,0.0,0.0,-1.9762476165865662e-09,1.0246551036233976e-09,-6.661155435976149e-08,8.768561562252556e-09,1.0417651829934478e-08,7.16682575980883e-08,1.612616502618902e-08
6,151.0,232.0,-2.3028311869079816e-09,1.1485753826781838e-09,-7.721310679250321e-08,1.0417651829934478e-08,1.2078759704549819e-08,8.16629861019964e-08,1.652760095069737e-08
7,81.0,96.0,-2.6097017390421138e-09,1.3018404895605738e-09,-8.737235784809557e-08,1.2078759704549819e-08,1.3669267457114643e-08,7.708135930947192e-08,1.6195131549722668e-08
8,0.0,0.0,-2.9042815281035878e-09,1.4568514630209154e-09,-9.729026295679287e-08,1.3669267457114643e-08,1.522033563074078e-08,7.16682575980883e-08,1.612616502618902e-08
9,0.0,0.0,-3.192969721383832e-09,1.60876221701205e-09,-1.0700980996331622e-07,1.522033563074078e-08,1.674038541457814e-08,7.16682575980883e-08,1.612616502618902e-08
