timestep,power_in_focal,power_send
0,254276505.08982152,390000000.0
1,249730210.05897063,390000000.0
2,245413659.15326568,390000000.0
3,240733604.6968031,390000000.0
4,235934872.99268836,390000000.0
5,231114211.16562992,390000000.0
6,226055341.47624874,390000000.0
7,220912257.03606725,390000000.0
8,216085504.40448183,390000000.0
9,210775683.91688898,390000000.0
10,205457052.2968137,390000000.0
11,200155118.1065575,390000000.0
12,194703672.98304793,390000000.0
13,188946633.1826887,390000000.0
14,182845935.14929008,390000000.0
15,176415997.27456433,390000000.0
16,170067498.77275097,390000000.0
17,163616468.27001327,390000000.0
18,156547559.97271022,390000000.0
19,149446449.44524932,390000000.0
20,142056227.9261885,390000000.0
21,134304397.29606298,390000000.0
22,126977942.47415227,390000000.0
23,119457201.24461456,390000000.0
24,112272145.22734013,390000000.0
25,105148508.54646459,390000000.0
26,98391130.45103903,390000000.0
27,92111447.50883073,390000000.0
28,86290937.16604438,390000000.0
29,80707998.89467424,390000000.0
30,75667028.13053787,390000000.0
31,70847362.07277524,390000000.0
32,66455213.85218234,390000000.0
33,62358488.13860653,390000000.0
34,58549376.63212236,390000000.0
35,54964596.00631302,390000000.0
36,51516610.20534153,390000000.0
37,48217560.64928543,390000000.0
38,44955518.130238235,390000000.0
39,41986196.60325542,390000000.0
40,39256016.167506725,390000000.0
41,36873099.65421068,390000000.0
42,34687151.31949307,390000000.0
43,32889706.969542786,390000000.0
44,31485714.898063995,390000000.0
45,30248346.408995133,390000000.0
46,29175144.31311093,390000000.0
47,28045571.148161754,390000000.0
48,26836748.494320873,390000000.0
49,25274051.309735704,390000000.0
