timestep,power_in_focal,power_send
0,78510948.50177485,390000000.0
1,80608842.03508995,390000000.0
2,82736528.48557732,390000000.0
3,84813444.48703125,390000000.0
4,86931905.6854486,390000000.0
5,89057033.19917023,390000000.0
6,91241071.89736909,390000000.0
7,93501439.29311031,390000000.0
8,95831852.81840128,390000000.0
9,98168317.09871876,390000000.0
10,100362758.67120206,390000000.0
11,102571297.69545452,390000000.0
12,104721246.18351948,390000000.0
13,106900634.59111124,390000000.0
14,108983772.41688053,390000000.0
15,111136005.45085394,390000000.0
16,113257900.84598793,390000000.0
17,115430643.44998065,390000000.0
18,117495444.43879172,390000000.0
19,119480431.30487916,390000000.0
20,121478889.17829886,390000000.0
21,123460491.36759752,390000000.0
22,125362877.2955474,390000000.0
23,127268995.43909183,390000000.0
24,129202396.62218648,390000000.0
25,131203885.8470551,390000000.0
26,133239691.97529368,390000000.0
27,135275638.21939534,390000000.0
28,137344949.10231724,390000000.0
29,139273955.99747378,390000000.0
30,141206800.43671545,390000000.0
31,142995284.15162373,390000000.0
32,144912480.869915,390000000.0
33,146887511.3640645,390000000.0
34,148906052.4193445,390000000.0
35,151001728.18315214,390000000.0
36,153098296.6604789,390000000.0
37,155098612.44506398,390000000.0
38,157201739.10712236,390000000.0
39,159308730.05004507,390000000.0
40,161366426.8995961,390000000.0
41,163372776.28033453,390000000.0
42,165546879.01230115,390000000.0
43,167774634.15808117,390000000.0
44,169976498.42449534,390000000.0
45,172220142.1632432,390000000.0
46,174472374.24660468,390000000.0
47,176629470.8860826,390000000.0
48,178613910.6423114,390000000.0
49,180610504.22422636,390000000.0
