timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,86.0,71.0,-2.0757292449474174e-09,6.288063682914567e-09,-5.376500700126889e-08,0.0,1.0706584850360016e-08,7.708880165480987e-08,4.46107702098334e-09
1,0.0,0.0,-4.143851959390731e-09,1.1808117605985084e-08,-1.0562958598954773e-07,1.0706584850360016e-08,2.1070173478932666e-08,7.16682575980883e-08,4.366742298244329e-09
2,0.0,0.0,-6.1912934466896115e-09,1.7272970989824897e-08,-1.5697551918794376e-07,2.1070173478932666e-08,3.133646457235282e-08,7.16682575980883e-08,4.366742298244329e-09
3,0.0,0.0,-8.218260519115504e-09,2.268317583982631e-08,-2.0780799305435583e-07,3.133646457235282e-08,4.1501694931223746e-08,7.16682575980883e-08,4.366742298244329e-09
4,0.0,0.0,-1.0224957920817137e-08,2.8039278641327707e-08,-2.581321421821038e-07,4.1501694931223746e-08,5.1565914597984044e-08,7.16682575980883e-08,4.366742298244329e-09
5,0.0,0.0,-1.2211588348501755e-08,3.3341820414814094e-08,-3.0795304981857433e-07,5.1565914597984044e-08,6.152981232871125e-08,7.16682575980883e-08,4.366742298244329e-09
6,0.0,0.0,-1.4178352471909523e-08,3.859133677056561e-08,-3.572757483786801e-07,6.152981232871125e-08,7.139425354537345e-08,7.16682575980883e-08,4.366742298244329e-09
7,0.0,0.0,-1.6125448954083215e-08,4.378835796275962e-08,-4.0610521995318486e-07,7.139425354537345e-08,8.116016397257135e-08,7.16682575980883e-08,4.366742298244329e-09
8,0.0,0.0,-1.8053074471435172e-08,4.893340894303168e-08,-4.5444639681194455e-07,8.116016397257135e-08,9.082849073499206e-08,7.16682575980883e-08,4.366742298244329e-09
9,0.0,0.0,-1.996142373361361e-08,5.402700941350102e-08,-5.023041619021167e-07,9.082849073499206e-08,1.0040018680702787e-07,7.16682575980883e-08,4.366742298244329e-09
10,0.0,0.0,-2.185068950317026e-08,5.906967387926567e-08,-5.49683349341387e-07,1.0040018680702787e-07,1.0987620398172502e-07,7.16682575980883e-08,4.366742298244329e-09
11,0.0,0.0,-2.3721062615031345e-08,6.406191170037268e-08,-5.965887449062646e-07,1.0987620398172502e-07,1.1925748939748302e-07,7.16682575980883e-08,4.366742298244329e-09
12,0.0,0.0,-2.5572731995773822e-08,6.900422714326861e-08,-6.430250865154934e-07,1.1925748939748302e-07,1.2854498370931607e-07,7.16682575980883e-08,4.366742298244329e-09
13,0.0,0.0,-2.740588468270887e-08,7.389711943173559e-08,-6.8899706470863e-07,1.2854498370931607e-07,1.3773962008312505e-07,7.16682575980883e-08,4.366742298244329e-09
14,0.0,0.0,-2.922070584277457e-08,7.87410827973179e-08,-7.345093231198352e-07,1.3773962008312505e-07,1.4684232362899308e-07,7.16682575980883e-08,4.366742298244329e-09
15,0.0,0.0,-3.1017378791239615e-08,8.353660652924437e-08,-7.795664589469283e-07,1.4684232362899308e-07,1.558540110812678e-07,7.16682575980883e-08,4.366742298244329e-09
16,0.0,0.0,-3.2796085010220004e-08,8.828417502385159e-08,-8.241730234157505e-07,1.558540110812678e-07,1.6477559062355451e-07,7.16682575980883e-08,4.366742298244329e-09
17,209.0,88.0,-3.453691866206823e-08,9.21823014056383e-08,-8.679498431609662e-07,1.6477559062355451e-07,1.7338330077183248e-07,7.708893057087812e-08,4.280776151732909e-09
18,191.0,157.0,-3.645727847928999e-08,9.553001873687639e-08,-9.107870621752622e-07,1.7338330077183248e-07,1.8206114083414464e-07,8.504792069051334e-08,4.358256106504732e-09
19,0.0,0.0,-3.8181585701389875e-08,1.0015765310940728e-07,-9.540814206118011e-07,1.8206114083414464e-07,1.907204889683169e-07,7.16682575980883e-08,4.366742298244329e-09
20,0.0,0.0,-3.9888649851268765e-08,1.0473901113821286e-07,-9.969428354639746e-07,1.907204889683169e-07,1.992932668498721e-07,7.16682575980883e-08,4.366742298244329e-09
21,0.0,0.0,-4.1578643359648866e-08,1.092745555867304e-07,-1.0393756361676264e-06,1.992932668498721e-07,2.0778033690103442e-07,7.16682575980883e-08,4.366742298244329e-09
22,0.0,0.0,-4.325173693294516e-08,1.1376474459076276e-07,-1.0813841088642418e-06,2.0778033690103442e-07,2.1618255350035675e-07,7.16682575980883e-08,4.366742298244329e-09
23,0.0,0.0,-4.49080995705085e-08,1.1821003170475479e-07,-1.1229724968338909e-06,2.1618255350035675e-07,2.245007629409264e-07,7.16682575980883e-08,4.366742298244329e-09
24,8.0,127.0,-4.654789858169621e-08,1.226108659476069e-07,-1.1641450009238436e-06,2.245007629409264e-07,2.3273580341853412e-07,7.16682575980883e-08,4.366742298244329e-09
25,0.0,0.0,-4.817129960277203e-08,1.269676918480305e-07,-1.2049057799728967e-06,2.3273580341853412e-07,2.408885050415105e-07,7.16682575980883e-08,4.366742298244329e-09
26,0.0,0.0,-4.97784666136371e-08,1.3128094948944986e-07,-1.2452589512314594e-06,2.408885050415105e-07,2.4895968985639685e-07,7.16682575980883e-08,4.366742298244329e-09
27,78.0,134.0,-5.1263369345746755e-08,1.350485015105917e-07,-1.2831166326212811e-06,2.4895968985639685e-07,2.5660626923857375e-07,7.94028258476145e-08,4.260507981035091e-09
28,0.0,0.0,-5.283961565918207e-08,1.3928095105538544e-07,-1.32268769535336e-06,2.5660626923857375e-07,2.6452015773064414e-07,7.16682575980883e-08,4.366742298244329e-09
29,0.0,0.0,-5.440009950948304e-08,1.4347107610473124e-07,-1.361863047458118e-06,2.6452015773064414e-07,2.7235492497520766e-07,7.16682575980883e-08,4.366742298244329e-09
30,0.0,0.0,-5.594497852128099e-08,1.4761929990358359e-07,-1.4006466460418284e-06,2.7235492497520766e-07,2.8011136038319204e-07,7.16682575980883e-08,4.366742298244329e-09
31,148.0,104.0,-5.7673136334508154e-08,1.5146281560200397e-07,-1.4379976800484722e-06,2.8011136038319204e-07,2.8786695728362196e-07,9.014359500602527e-08,4.428298475692276e-09
32,0.0,0.0,-5.9185284978055856e-08,1.5553112200588358e-07,-1.476019932306279e-06,2.8786695728362196e-07,2.954682499843815e-07,7.16682575980883e-08,4.366742298244329e-09
33,0.0,0.0,-6.06823121351681e-08,1.595587453457244e-07,-1.5136619620415079e-06,2.954682499843815e-07,3.0299354484878893e-07,7.16682575980883e-08,4.366742298244329e-09
34,0.0,0.0,-6.216436902070918e-08,1.635460924521668e-07,-1.5509275714793844e-06,3.0299354484878893e-07,3.104436004792929e-07,7.16682575980883e-08,4.366742298244329e-09
35,94.0,0.0,-6.36316053373949e-08,1.674935660875448e-07,-1.5878205248228821e-06,3.104436004792929e-07,3.178191680500013e-07,7.16682575980883e-08,4.366742298244329e-09
36,0.0,0.0,-6.508416929091374e-08,1.71401564986569e-07,-1.6243445486329448e-06,3.178191680500013e-07,3.25120991359255e-07,7.16682575980883e-08,4.366742298244329e-09
37,0.0,0.0,-6.652220760489738e-08,1.7527048389660297e-07,-1.660503332204907e-06,3.25120991359255e-07,3.3234980688514797e-07,7.16682575980883e-08,4.366742298244329e-09
38,0.0,0.0,-6.79458655357412e-08,1.791007136175366e-07,-1.6963005279411496e-06,3.3234980688514797e-07,3.395063438433337e-07,7.16682575980883e-08,4.366742298244329e-09
39,79.0,31.0,-6.933830576933054e-08,1.8313733005234448e-07,-1.7325875384176527e-06,3.395063438433337e-07,3.4671502357851426e-07,7.274981506209872e-08,4.419479367900995e-09
40,0.0,0.0,-7.073380271853003e-08,1.868888913117207e-07,-1.7676638920917677e-06,3.4671502357851426e-07,3.537279278026219e-07,7.16682575980883e-08,4.366742298244329e-09
41,80.0,230.0,-7.202507582596718e-08,1.9072740196955897e-07,-1.801245806924526e-06,3.537279278026219e-07,3.6049064122556076e-07,7.715685413948537e-08,4.293559152165538e-09
42,0.0,0.0,-7.33937050746003e-08,1.9440306250976305e-07,-1.8356355779135723e-06,3.6049064122556076e-07,3.673657911401558e-07,7.16682575980883e-08,4.366742298244329e-09
43,118.0,157.0,-7.474864803074708e-08,1.9804196644456509e-07,-1.8696814511927282e-06,3.673657911401558e-07,3.7417219653332794e-07,7.16682575980883e-08,4.366742298244329e-09
44,0.0,0.0,-7.60900415573324e-08,2.016444813400191e-07,-1.9033868657390925e-06,3.7417219653332794e-07,3.8091054434481584e-07,7.16682575980883e-08,4.366742298244329e-09
45,89.0,175.0,-7.731946903577463e-08,2.0465780698931684e-07,-1.934207834199857e-06,3.8091054434481584e-07,3.870774685279221e-07,7.708914307937565e-08,4.167543658378327e-09
46,55.0,104.0,-7.865906935657464e-08,2.0773118326305145e-07,-1.967195882306363e-06,3.870774685279221e-07,3.936371173828107e-07,7.278686518202962e-08,4.348090269412818e-09
47,0.0,0.0,-7.99613586699017e-08,2.112368059903206e-07,-1.999926152541591e-06,3.936371173828107e-07,4.001808272591261e-07,7.16682575980883e-08,4.366742298244329e-09
48,0.0,0.0,-8.125062509009547e-08,2.1470737249031706e-07,-2.0323291200744667e-06,4.001808272591261e-07,4.066591051890463e-07,7.16682575980883e-08,4.366742298244329e-09
49,41.666666666666664,88.66666666666667,-8.245267588050974e-08,2.1825033211132684e-07,-2.0633847084137074e-06,4.066591051890463e-07,4.1292303054495045e-07,7.714441953056283e-08,4.312463325274604e-09
50,0.0,0.0,-8.371702912859744e-08,2.2165076335011322e-07,-2.095153090387862e-06,4.1292303054495045e-07,4.1927387402574985e-07,7.16682575980883e-08,4.366742298244329e-09
51,0.0,0.0,-8.496873884420423e-08,2.2501719027651175e-07,-2.126603788542275e-06,4.1927387402574985e-07,4.2556121435123647e-07,7.16682575980883e-08,4.366742298244329e-09
52,0.0,0.0,-8.6207931462655e-08,2.283499529336463e-07,-2.157739979715144e-06,4.2556121435123647e-07,4.3178568622185534e-07,7.16682575980883e-08,4.366742298244329e-09
53,0.0,0.0,-8.743473215492124e-08,2.3164938796420949e-07,-2.188564808976284e-06,4.3178568622185534e-07,4.379479180168824e-07,7.16682575980883e-08,4.366742298244329e-09
54,111.0,165.0,-8.940505089586266e-08,2.3522614628510416e-07,-2.2343105420383425e-06,4.379479180168824e-07,4.469535067095928e-07,8.741172632043201e-08,5.686973253385515e-09
55,0.0,0.0,-9.059988039379682e-08,2.3845681938215277e-07,-2.2643696656762506e-06,4.469535067095928e-07,4.529639978657476e-07,7.16682575980883e-08,4.366742298244329e-09
56,0.0,0.0,-9.178276159675165e-08,2.416551857482309e-07,-2.29412819807778e-06,4.529639978657476e-07,4.589143911676245e-07,7.16682575980883e-08,4.366742298244329e-09
57,223.0,176.0,-9.293517564405675e-08,2.4542299792653334e-07,-2.323297569244833e-06,4.589143911676245e-07,4.6476100046272427e-07,7.277056274022333e-08,4.3502054795487595e-09
58,87.0,238.0,-9.405088288074083e-08,2.492250873415672e-07,-2.351703895439239e-06,4.6476100046272427e-07,4.7042077211149817e-07,7.41571387392024e-08,4.302926787330467e-09
59,0.0,0.0,-9.519925405882623e-08,2.523157710280512e-07,-2.380589085543138e-06,4.7042077211149817e-07,4.761966229086474e-07,7.16682575980883e-08,4.366742298244329e-09
60,0.0,0.0,-9.633614152513073e-08,2.5537554787767034e-07,-2.4091854237459983e-06,4.761966229086474e-07,4.819147205206909e-07,7.16682575980883e-08,4.366742298244329e-09
61,0.0,0.0,-9.746166011677224e-08,2.584047269587933e-07,-2.43749579856683e-06,4.819147205206909e-07,4.875756421900015e-07,7.16682575980883e-08,4.366742298244329e-09
62,0.0,0.0,-9.857592352249728e-08,2.61403614249105e-07,-2.465523069639453e-06,4.875756421900015e-07,4.9317995940596e-07,7.16682575980883e-08,4.366742298244329e-09
63,0.0,0.0,-9.96790442941651e-08,2.6437251266651364e-07,-2.4932700680013503e-06,4.9317995940596e-07,4.987282379609194e-07,7.16682575980883e-08,4.366742298244329e-09
64,0.0,0.0,-1.0077113385811624e-07,2.6731172209974816e-07,-2.5207395963796282e-06,4.987282379609194e-07,5.042210380057584e-07,7.16682575980883e-08,4.366742298244329e-09
65,0.0,0.0,-1.0185230252642787e-07,2.702215394386503e-07,-2.5479344294741234e-06,5.042210380057584e-07,5.096589141050093e-07,7.16682575980883e-08,4.366742298244329e-09
66,0.0,0.0,-1.0292265950805639e-07,2.7310225860416347e-07,-2.5748573142376737e-06,5.096589141050093e-07,5.150424152915528e-07,7.16682575980883e-08,4.366742298244329e-09
67,0.0,0.0,-1.039823129198686e-07,2.759541705780215e-07,-2.6015109701535884e-06,5.150424152915528e-07,5.203720851208712e-07,7.16682575980883e-08,4.366742298244329e-09
68,0.0,0.0,-1.0503136979756273e-07,2.787775634321409e-07,-2.627898089510344e-06,5.203720851208712e-07,5.256484617248518e-07,7.16682575980883e-08,4.366742298244329e-09
69,88.0,189.0,-1.0608459092437654e-07,2.814597060729051e-07,-2.654249441410923e-06,5.256484617248518e-07,5.311560224593117e-07,8.504682137501015e-08,4.5013515246239216e-09
70,0.0,0.0,-1.0711262502202557e-07,2.842280435720757e-07,-2.6801091760551052e-06,5.311560224593117e-07,5.363245373688922e-07,7.16682575980883e-08,4.366742298244329e-09
71,0.0,0.0,-1.0813037877869811e-07,2.8696869769625464e-07,-2.7057103133528458e-06,5.363245373688922e-07,5.414413712270265e-07,7.16682575980883e-08,4.366742298244329e-09
72,0.0,0.0,-1.091379549978039e-07,2.8968194527919175e-07,-2.731055439277609e-06,5.414413712270265e-07,5.465070406498759e-07,7.16682575980883e-08,4.366742298244329e-09
73,0.0,0.0,-1.1013545545471865e-07,2.923680603862995e-07,-2.7561471139431245e-06,5.465070406498759e-07,5.515220570987006e-07,7.16682575980883e-08,4.366742298244329e-09
74,48.0,184.0,-1.1114970641261831e-07,2.954410821307405e-07,-2.780878136574907e-06,5.515220570987006e-07,5.564815578945582e-07,7.278486078235629e-08,4.366484331439095e-09
75,0.0,0.0,-1.1212708935538492e-07,2.9806960586933275e-07,-2.8054715842674493e-06,5.564815578945582e-07,5.613968431596462e-07,7.16682575980883e-08,4.366742298244329e-09
76,0.0,0.0,-1.1309469846872384e-07,3.006718443705391e-07,-2.8298190974830664e-06,5.613968431596462e-07,5.662629785432263e-07,7.16682575980883e-08,4.366742298244329e-09
77,0.0,0.0,-1.140526314909294e-07,3.0324806048673337e-07,-2.8539231355665275e-06,5.662629785432263e-07,5.710804554105459e-07,7.16682575980883e-08,4.366742298244329e-09
78,0.0,0.0,-1.1500098518291288e-07,3.057985144417657e-07,-2.877786133269154e-06,5.710804554105459e-07,5.758497602204986e-07,7.16682575980883e-08,4.366742298244329e-09
79,200.0,184.0,-1.1588748378459926e-07,3.086395922312921e-07,-2.9013133838698974e-06,5.758497602204986e-07,5.804632429641752e-07,7.278451495535547e-08,4.323026132048897e-09
