timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-2.088880006892788e-09,5.582934559899662e-09,-5.240222905829153e-08,0.0,1.048018151578639e-08,7.16682575980883e-08,4.366742298244329e-09
1,0.0,0.0,-4.156871213716649e-09,1.1110039774200327e-08,-1.0428043582600013e-07,1.048018151578639e-08,2.0855561216414914e-08,7.16682575980883e-08,4.366742298244329e-09
2,129.0,119.0,-6.204182508472271e-09,1.6581873936357986e-08,-1.5563986052603166e-07,2.0855561216414914e-08,3.1127187120037156e-08,7.16682575980883e-08,4.366742298244329e-09
3,0.0,0.0,-8.231020690280334e-09,2.1998989756894067e-08,-2.0648569097906286e-07,3.1127187120037156e-08,4.129609676462317e-08,7.16682575980883e-08,4.366742298244329e-09
4,104.0,15.0,-1.0200129746214813e-08,2.678258221256187e-08,-2.5710998801619343e-07,4.129609676462317e-08,5.1382943770440704e-08,7.259046181703538e-08,4.376514394926105e-09
5,111.0,146.0,-1.2187008455645454e-08,3.2097690950335915e-08,-3.06941117194323e-07,5.1382943770440704e-08,6.134912961391231e-08,7.16682575980883e-08,4.366742298244329e-09
6,0.0,0.0,-1.4154018377981789e-08,3.7359648600732216e-08,-3.5627393508067135e-07,6.134912961391231e-08,7.121570228048531e-08,7.16682575980883e-08,4.366742298244329e-09
7,193.0,103.0,-1.618113382712761e-08,4.239695553348041e-08,-4.0699917079402053e-07,7.121570228048531e-08,8.12846827700197e-08,7.708722104855693e-08,4.499821093645834e-09
8,97.0,110.0,-1.810820249574912e-08,4.755592053804527e-08,-4.5533140814437186e-07,8.12846827700197e-08,9.095159316857745e-08,7.16682575980883e-08,4.366742298244329e-09
9,0.0,0.0,-2.0016000477684415e-08,5.2663295892564473e-08,-5.031803231212196e-07,9.095159316857745e-08,1.0052192248992793e-07,7.16682575980883e-08,4.366742298244329e-09
10,84.0,162.0,-2.1883031372087437e-08,5.857895681847929e-08,-5.469842460138249e-07,1.0052192248992793e-07,1.095767577599402e-07,1.055654428301546e-07,4.30087393872584e-09
11,0.0,0.0,-2.3753081065259353e-08,6.357610181019416e-08,-5.939166326119782e-07,1.095767577599402e-07,1.1895820548836573e-07,7.16682575980883e-08,4.366742298244329e-09
12,0.0,0.0,-2.5604430261499542e-08,6.852327535199188e-08,-6.403796953441499e-07,1.1895820548836573e-07,1.2824632104052475e-07,7.16682575980883e-08,4.366742298244329e-09
13,0.0,0.0,-2.7437265965777343e-08,7.342097715837162e-08,-6.863781274489998e-07,1.2824632104052475e-07,1.3744193230353805e-07,7.16682575980883e-08,4.366742298244329e-09
14,96.0,109.0,-2.925177331301235e-08,7.826970194668756e-08,-7.319165752328013e-07,1.3744193230353805e-07,1.4654588728614047e-07,7.16682575980883e-08,4.366742298244329e-09
15,0.0,0.0,-3.104813558677502e-08,8.306993948712034e-08,-7.769996385387648e-07,1.4654588728614047e-07,1.5555904498809228e-07,7.16682575980883e-08,4.366742298244329e-09
16,0.0,0.0,-3.282653423780006e-08,8.78221746521488e-08,-8.216318712116687e-07,1.5555904498809228e-07,1.6448226952532303e-07,7.16682575980883e-08,4.366742298244329e-09
17,110.0,119.0,-3.458714890231484e-08,9.252688746552697e-08,-8.658177815578435e-07,1.6448226952532303e-07,1.7331642624405375e-07,7.16682575980883e-08,4.366742298244329e-09
