wavelength,r0_ref,run_number,focal_dim,power0_in_bucket,power0_total,frac0,power1_in_bucket,power1_total,frac1,Energy_conv,sent_signal,noise_var,time
1.55e-06,0.075,1,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.0015818610283315371,47.977051974734096,3.2971201089316294e-05,99.4014622847314,True,10000.0,2025-12-05 02:51:03
1.55e-06,0.075,2,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.011249706547930395,47.98148133505058,0.00023445934212357173,99.41063927402777,True,10000.0,2025-12-05 02:51:16
1.55e-06,0.075,3,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.017335756674361446,47.97674912087658,0.00036133662642886264,99.40083481565907,True,10000.0,2025-12-05 02:51:27
1.55e-06,0.075,4,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.014295994015627296,47.98304229460663,0.0002979384660074834,99.41387335482374,True,10000.0,2025-12-05 02:51:39
1.55e-06,0.075,5,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.02535954252850907,47.981009968187436,0.0005285329038576523,99.40966267055715,True,10000.0,2025-12-05 02:51:51
1.55e-06,0.075,6,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.02892981185613609,47.979530498010185,0.0006029615453893587,99.40659742388247,True,10000.0,2025-12-05 02:52:02
1.55e-06,0.075,7,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.0045250855914436595,47.979235410458884,9.431341605867372e-05,99.40598604546524,True,10000.0,2025-12-05 02:52:14
1.55e-06,0.075,8,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.03704594561449086,47.98167765256241,0.0007720852505979949,99.41104601531231,True,10000.0,2025-12-05 02:52:25
1.55e-06,0.075,9,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.048937117455557864,47.98511241102849,0.0010198395918378754,99.41816233447052,True,10000.0,2025-12-05 02:52:38
1.55e-06,0.075,10,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.005413064409935899,47.98127223540813,0.00011281619177119879,99.41020605003071,True,10000.0,2025-12-05 02:52:49
1.55e-06,0.075,11,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.0026781983956876004,47.98105902900067,5.5817825823078355e-05,99.40976431741487,True,10000.0,2025-12-05 02:53:02
1.55e-06,0.075,12,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.0016317872230186782,47.982278440758314,3.4008122916325796e-05,99.41229076093003,True,10000.0,2025-12-05 02:53:14
1.55e-06,0.075,13,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.008699218489961818,47.979713049434785,0.0001813103484174401,99.40697564383976,True,10000.0,2025-12-05 02:53:25
1.55e-06,0.075,14,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.06617705116670375,47.9799592285522,0.0013792644310402565,99.40748569110708,True,10000.0,2025-12-05 02:53:38
1.55e-06,0.075,15,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.002150338082470685,47.98354662508266,4.4814071358089835e-05,99.41491825409805,True,10000.0,2025-12-05 02:53:50
1.55e-06,0.075,16,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.01106390074542732,47.97975630480883,0.00023059518425103855,99.40706526267324,True,10000.0,2025-12-05 02:54:02
1.55e-06,0.075,17,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.003816821556110074,47.9791939180386,7.955159819129589e-05,99.40590007921512,True,10000.0,2025-12-05 02:54:14
1.55e-06,0.075,18,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.0026480724293144963,47.98286229156875,5.518787964801756e-05,99.41350041475253,True,10000.0,2025-12-05 02:54:26
1.55e-06,0.075,19,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.009389514022390674,47.98521169843786,0.00019567516095164684,99.41836804351834,True,10000.0,2025-12-05 02:54:38
1.55e-06,0.075,20,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.03044736062855418,47.97660452229589,0.0006346293351044582,99.4005352284653,True,10000.0,2025-12-05 02:54:50
1.55e-06,0.075,21,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.03140579490000409,47.98104930189021,0.0006545458125019968,99.40974416425907,True,10000.0,2025-12-05 02:55:03
1.55e-06,0.075,22,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.013884201918480079,47.97831254548158,0.00028938495711616357,99.40407400367734,True,10000.0,2025-12-05 02:55:15
1.55e-06,0.075,23,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.020170391465878467,47.985650238634626,0.0004203421515717777,99.41927663491848,True,10000.0,2025-12-05 02:55:30
1.55e-06,0.075,24,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.030689950892104793,47.98507711485323,0.0006395728159120759,99.41808920593742,True,10000.0,2025-12-05 02:55:45
1.55e-06,0.075,25,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.017694085966664663,47.980014291169525,0.0003687803396490686,99.40759977282856,True,10000.0,2025-12-05 02:56:01
1.55e-06,0.075,26,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.007454282904371663,47.97949191605657,0.00015536394002282154,99.40651748769531,True,10000.0,2025-12-05 02:56:17
1.55e-06,0.075,27,0.0005,0.5732063905798359,48.018890789996526,0.011937101860321363,0.010414795969892659,47.978485217815134,0.0002170722131516042,99.40443175559716,True,10000.0,2025-12-05 02:56:33
