timestep,E_power_sum,D_power_sum,num_airy,r0_ref
300,189201197.05587608,311670284.6760778,2,0.013
320,187084566.68617028,311885457.97666484,2,0.013
340,179766914.61903268,311587282.8334907,2,0.013
360,168788110.18189633,309893882.8317188,2,0.013
380,153247690.01970693,308523091.8855564,2,0.013
400,141188399.63269937,306878771.81585765,2,0.013
420,128079638.6073792,307407039.06350017,2,0.013
440,120810708.47301702,308675275.7742326,2,0.013
460,119203042.65761612,310287977.7292074,2,0.013
480,121449200.50475398,310375152.3982719,2,0.013
500,125801170.32371077,309955078.6701369,2,0.013
520,129516284.33350953,309122335.6576154,2,0.013
540,132893582.4058059,307486815.8653213,2,0.013
560,134005893.13389492,308079046.49062777,2,0.013
580,131096650.95099069,307586191.0693203,2,0.013
600,121609205.00847137,308723090.4118992,2,0.013
620,117662711.68423945,309898019.74907076,2,0.013
640,118752367.93040054,311693717.5849395,2,0.013
660,124487567.61301352,312182874.7028784,2,0.013
680,134423406.80478907,310391073.0998581,2,0.013
700,142052763.88685536,309860327.5338787,2,0.013
720,143607065.72868282,310361314.11119,2,0.013
740,143743306.27664375,309766850.0925298,2,0.013
760,146343927.6389308,309963327.8753604,2,0.013
780,148448395.9728492,309438126.0577486,2,0.013
0,115669960.37806593,115669960.37806593,2,0.014
20,103120764.95774782,310348893.42632216,2,0.014
40,90889391.34532376,312896386.9692047,2,0.014
60,77927400.56327116,312452760.35858846,2,0.014
80,68763758.81713581,312886609.2949196,2,0.014
100,58114873.187291026,312529868.9505318,2,0.014
120,41096573.22572437,312974745.1382464,2,0.014
140,26520989.718060225,313760782.69014734,2,0.014
160,22172181.523504853,313380912.4636692,2,0.014
180,27707325.246122003,314412348.0899268,2,0.014
200,36780362.424001805,313953797.07069105,2,0.014
220,46101351.51105076,312267465.9339594,2,0.014
240,53361445.439799845,310146304.6011983,2,0.014
260,63730942.215850994,309342364.61492777,2,0.014
280,70827458.00366679,310231512.548941,2,0.014
300,81414078.91617082,311489759.6811926,2,0.014
320,93995435.04984328,312738655.2387451,2,0.014
340,99825495.35180378,311961319.34826577,2,0.014
360,103990516.01375175,312976823.4080848,2,0.014
380,105860239.82739443,312539855.5205968,2,0.014
400,104638161.65655652,313181476.1952102,2,0.014
420,99163699.04260376,310916645.9725212,2,0.014
440,95594748.92980221,308957539.0072371,2,0.014
460,96693658.15822682,309893873.9915007,2,0.014
480,103407825.40227564,309022990.3430379,2,0.014
500,114650721.017888,311497874.11561126,2,0.014
520,125578668.45734367,313357857.0610528,2,0.014
540,136357234.15576455,312823440.9887227,2,0.014
560,139102472.12316525,314200840.9835366,2,0.014
580,138811212.38838956,312569712.4391316,2,0.014
600,139556478.14594132,313715577.79139006,2,0.014
620,139476924.5154827,314618615.374037,2,0.014
640,141929671.8610757,312963387.1451576,2,0.014
660,144114916.39765233,311624508.9836051,2,0.014
680,147591369.95544788,311823414.82037705,2,0.014
700,155040489.36954448,311280471.5173681,2,0.014
720,154323707.5866464,309864179.2329988,2,0.014
740,154735056.4224763,310645415.2594148,2,0.014
760,162004833.2058886,310226306.85940236,2,0.014
780,164736261.9046967,310672808.10939676,2,0.014
0,123813771.70211685,123813771.70211685,2,0.015
20,125058848.93126315,308401631.76055634,2,0.015
40,121584732.04086317,309466315.8165513,2,0.015
60,114105120.54142243,308988461.56539655,2,0.015
80,107757479.8293662,308871044.0730139,2,0.015
100,97861365.49579477,307537516.25074476,2,0.015
120,85828827.8705168,309304886.02441406,2,0.015
140,84954017.76705116,310860944.3953804,2,0.015
160,88228189.47388957,310129929.87015235,2,0.015
180,93583693.52022263,309033317.9735477,2,0.015
200,101311969.61908524,308330493.7348856,2,0.015
220,105893667.94887699,309843798.3643729,2,0.015
240,111547634.53465845,309058376.50420946,2,0.015
260,118321954.7422488,310810871.47722787,2,0.015
280,127699611.12969227,310785095.3830292,2,0.015
300,143320391.2085495,313226092.7311198,2,0.015
320,156289547.98045477,311904465.6863856,2,0.015
340,163506284.2475767,313299020.8113859,2,0.015
360,168107986.7574128,313674788.95515114,2,0.015
380,171623121.26701608,315297487.3666101,2,0.015
400,170980669.74774128,314740190.8251973,2,0.015
420,162588306.72122192,310205153.21678984,2,0.015
440,145581353.41341826,304069678.3279917,2,0.015
460,123082005.65182252,302104325.8250129,2,0.015
480,107602515.40873149,304000463.82278585,2,0.015
500,97310579.79004566,309611625.51743764,2,0.015
520,93379236.04188204,311601270.2754478,2,0.015
540,98147618.83764231,311563581.6138444,2,0.015
560,99322273.13412957,309784044.50372934,2,0.015
580,92670420.15371637,310052742.5293817,2,0.015
600,93358304.74619952,304810574.4897411,2,0.015
620,94687658.77486694,302167011.46351314,2,0.015
640,92684783.75207467,303285814.46402395,2,0.015
660,97518522.76630032,307991997.44453245,2,0.015
680,100705027.26700985,313329256.4358141,2,0.015
700,101539188.60248499,314862329.6480218,2,0.015
720,105689744.93129563,315475489.7127108,2,0.015
740,112831735.20211124,315641618.4045191,2,0.015
760,115492255.9733186,314186602.1129203,2,0.015
780,127927577.93179303,314798374.05864257,2,0.015
0,193277578.0423062,193277578.0423062,2,0.016
20,198931505.34871763,316560020.89950883,2,0.016
40,205262752.74484554,316690870.7441587,2,0.016
60,201481236.67622977,317018091.1816346,2,0.016
80,189090606.62184647,314266604.582106,2,0.016
100,173439489.34583616,312068250.1744706,2,0.016
120,158283514.3388381,310941299.0121003,2,0.016
140,151220706.2681877,310602410.2277439,2,0.016
160,146110077.8622493,312823410.2288157,2,0.016
180,150837272.64407647,314378880.5119835,2,0.016
200,160180067.25472334,315845158.17216396,2,0.016
220,169396448.35356408,314620518.4203217,2,0.016
240,169632227.1677233,311669250.97940075,2,0.016
260,160809630.2056967,309769743.20429647,2,0.016
280,151858736.90765226,311914192.14852357,2,0.016
300,145498809.28441882,313255724.24121207,2,0.016
320,155513521.85131866,313611852.8484033,2,0.016
340,169389961.84054917,312456856.706997,2,0.016
360,174685306.3048147,312639681.7042166,2,0.016
380,167900441.47906953,309931097.4645316,2,0.016
400,146769280.3040818,309752375.65525055,2,0.016
420,130273014.3026261,309937448.01923263,2,0.016
440,118396762.76915368,311010483.1366955,2,0.016
460,118167724.67164202,310346887.14857364,2,0.016
480,117238391.9412688,313610700.4922314,2,0.016
500,118435652.90762743,315813729.5350846,2,0.016
520,125912284.12688231,316039812.06542337,2,0.016
540,132750916.28415456,315301408.66507936,2,0.016
560,137784371.1906162,312238896.12686765,2,0.016
580,133516334.80250633,309014097.0713048,2,0.016
600,124984166.97807787,304462249.22808087,2,0.016
620,122233927.02944803,305912432.5847665,2,0.016
640,128790367.27809434,308963577.594751,2,0.016
660,138085105.21666658,309996389.0989892,2,0.016
680,147685017.4214883,310255381.5472198,2,0.016
700,148169455.80527216,310866071.1701175,2,0.016
720,146856719.78605923,311091209.56577045,2,0.016
740,141104845.46091998,309491120.1020714,2,0.016
760,130623028.57623462,309420710.07014203,2,0.016
780,122746355.36898758,310739341.5296129,2,0.016
0,211355386.8518411,211355386.8518411,2,0.017
20,200944607.18418434,312819254.0858167,2,0.017
40,200453596.17107424,311438489.8368095,2,0.017
60,208840743.23397458,311635280.3276634,2,0.017
80,221305567.65355402,314122278.36116743,2,0.017
100,227695864.4935283,316896168.9622795,2,0.017
120,226198703.82223624,317713724.08779323,2,0.017
140,215874230.3716858,316458069.7678091,2,0.017
160,190164259.67792112,315314105.98241997,2,0.017
180,165684678.86886775,313690601.9611119,2,0.017
200,157260882.34776783,314733554.06792027,2,0.017
220,162495214.140864,315796289.0090271,2,0.017
240,173349695.25732726,316605435.2843457,2,0.017
260,177255685.74919802,314388798.23817766,2,0.017
280,166657588.94446966,314247714.28409654,2,0.017
300,158868500.6576988,313967258.9891053,2,0.017
320,154374082.98362812,314456107.6687738,2,0.017
340,154799075.6057238,314574077.5787585,2,0.017
360,164095291.29649016,312660079.2914019,2,0.017
380,180891355.6290598,311821819.99658394,2,0.017
400,197567163.81455785,313660588.9156536,2,0.017
420,209552775.4058049,313890841.44839144,2,0.017
440,215862976.04078457,314480978.4108943,2,0.017
460,220167299.18806636,313820337.3391756,2,0.017
480,216371365.75053477,314546173.43459165,2,0.017
500,204972781.12003988,316127833.1130007,2,0.017
520,198223276.89650685,317117167.5528375,2,0.017
540,195201369.05469233,316588398.14541745,2,0.017
560,197344782.12950528,315620910.09304166,2,0.017
580,190718852.97673285,315327580.4595684,2,0.017
600,182003807.11040047,314226119.2333859,2,0.017
620,167273454.20823196,313247518.55588603,2,0.017
640,156678467.04736555,311117192.7164389,2,0.017
660,156097761.85594335,311945412.3269148,2,0.017
680,161696464.17095074,310930789.89958644,2,0.017
700,162548882.63788274,311976643.05403167,2,0.017
720,163941128.5897777,313457297.25799084,2,0.017
740,154989730.40831536,314099420.19657624,2,0.017
760,141813918.29027268,315388605.36776185,2,0.017
780,132498344.47898747,314106363.6851696,2,0.017
0,163490763.50758144,163490763.50758144,2,0.018
20,180112702.69047135,314828953.8831893,2,0.018
40,186656433.88206422,313660637.2833868,2,0.018
60,185191844.77413315,313681201.5054242,2,0.018
80,176405698.26322243,313336509.96959627,2,0.018
100,179382048.72871867,315191188.6854503,2,0.018
120,185903443.43746984,317382239.38222444,2,0.018
140,194682044.63637826,318262507.3927705,2,0.018
160,185776657.8852204,315917095.99520546,2,0.018
180,165640228.5197544,314654076.1083633,2,0.018
200,149718336.82401994,314367219.6646416,2,0.018
220,145718375.83541825,314768950.6787072,2,0.018
240,156968242.13966575,314846164.33342206,2,0.018
260,175398403.28862298,315400737.57605225,2,0.018
280,190330101.09935576,313866022.33807325,2,0.018
300,201557652.972308,314394681.3275069,2,0.018
320,204182945.69870785,313845663.0713148,2,0.018
340,196459345.26003528,313053060.5453763,2,0.018
360,195777351.6839097,311005169.4857838,2,0.018
380,198140067.34976733,312405511.53446317,2,0.018
400,195771975.6217792,313327267.0826141,2,0.018
420,195700935.6428876,313833666.3106631,2,0.018
440,188981255.91980767,312041650.28991497,2,0.018
460,183178313.31568444,312043050.36036587,2,0.018
480,177544322.8067091,312898587.7680111,2,0.018
500,180778086.69880998,312557368.03925383,2,0.018
520,187576376.7591182,313052776.9517374,2,0.018
540,199909168.52470475,312935162.1096005,2,0.018
560,209668185.67201215,314509127.78504395,2,0.018
580,208055139.36078373,316310330.03749764,2,0.018
600,191115564.43890023,315449922.6043973,2,0.018
620,166911743.182553,315262187.5389467,2,0.018
640,161712705.66270334,315823763.5147251,2,0.018
660,174203739.23929802,313816491.8391031,2,0.018
680,187946722.1079408,312355485.33147776,2,0.018
700,194230958.6250769,311834709.3127582,2,0.018
720,182910993.11688393,312578628.8634786,2,0.018
740,171513727.5131088,314634732.4889612,2,0.018
760,161453175.06037652,317679016.4264589,2,0.018
780,159812269.23034942,318733462.85687065,2,0.018
0,193851231.42448223,193851231.42448223,2,0.019
20,183819537.37258318,314110676.2635571,2,0.019
40,180080104.11546308,314363784.38238883,2,0.019
60,186480297.85614738,316872202.28476703,2,0.019
80,199094096.5042414,319016454.7112293,2,0.019
100,213642391.60458007,319706619.19355035,2,0.019
120,215744175.14466518,317737694.3757005,2,0.019
140,208662053.27906895,317620315.9807802,2,0.019
160,205736204.29916656,319560635.65797305,2,0.019
180,206635753.4536258,320042598.63533413,2,0.019
200,215615752.40204132,317270816.8579049,2,0.019
220,221345206.5895058,315304035.3973699,2,0.019
240,229757464.42593935,317352259.3313751,2,0.019
260,240932387.13031375,317477696.8069221,2,0.019
280,241377984.38240767,318860772.24234486,2,0.019
300,235867875.93278843,317701554.03726125,2,0.019
320,228231991.14722967,317833240.12516195,2,0.019
340,222074248.3415528,320540252.79978895,2,0.019
360,216824755.98474163,320346197.5208397,2,0.019
380,210932783.9411335,318815097.2102502,2,0.019
400,204569186.4151059,316948725.492097,2,0.019
420,202444470.3993047,317795978.820451,2,0.019
440,198649844.2258669,317837801.87584746,2,0.019
460,199215527.31396353,316817245.9215539,2,0.019
480,189947940.80574644,317362236.6576209,2,0.019
500,181293528.5719135,316267406.850026,2,0.019
520,184166019.9979303,317045071.254534,2,0.019
540,184760382.90925872,315897956.59240746,2,0.019
560,176514821.33680594,315801821.65638375,2,0.019
580,171814704.35558367,314966570.4086083,2,0.019
600,184837494.1242639,313836339.4652666,2,0.019
620,204096056.27472866,313274674.86952543,2,0.019
640,215954688.31480315,315014123.1585773,2,0.019
660,217380448.2841656,315890576.9879891,2,0.019
680,218339427.9571998,317123804.150135,2,0.019
700,220025382.88219124,317007347.7306008,2,0.019
720,219118235.21408904,319098764.25485975,2,0.019
740,221717881.50860012,319177329.1281062,2,0.019
760,232763143.04350856,319123955.22850764,2,0.019
780,246305399.2013625,319381316.8444287,2,0.019
0,211553846.46554187,211553846.46554187,2,0.02
20,212129385.80713218,315926940.86682606,2,0.02
40,212748081.86814025,316150923.1200055,2,0.02
60,212699190.4309346,316412656.70414305,2,0.02
80,217137626.8068128,318080292.21255153,2,0.02
100,228206875.64158565,317271696.9474901,2,0.02
120,238317777.3489069,315629505.5731328,2,0.02
140,239108365.8837114,315689822.383528,2,0.02
160,238420350.84320927,317544731.25823444,2,0.02
180,239683369.25392514,319054179.3653506,2,0.02
200,234527741.32991025,317973781.1302911,2,0.02
220,238401534.58040643,317496196.32436526,2,0.02
240,241257425.4898039,317390155.6665833,2,0.02
260,248137416.81271598,316784989.06884867,2,0.02
280,251423323.66143107,318138325.0595648,2,0.02
300,240349035.5722379,316696247.9266126,2,0.02
320,233740962.9260524,315386316.06402504,2,0.02
340,231665618.55118585,314505487.55932254,2,0.02
360,227134215.53410378,315536917.4203027,2,0.02
380,221009915.09039178,316403883.63841593,2,0.02
400,215754622.69940123,316249232.7280793,2,0.02
420,207715718.65215933,315078577.5556659,2,0.02
440,188601636.4859187,314246447.22812533,2,0.02
460,168549067.69179717,316423401.7362027,2,0.02
480,161796569.8999746,318806934.7417543,2,0.02
500,157395523.11136797,318906491.3779577,2,0.02
520,155511829.43597543,320196186.6860156,2,0.02
540,133815935.1234929,320528724.0321089,2,0.02
560,110164342.49607997,319017300.3797653,2,0.02
580,82235385.7250016,317032199.18470216,2,0.02
600,60471127.11852455,317971215.76877767,2,0.02
620,56526937.862353064,320345563.8357199,2,0.02
640,73423454.25266114,323374189.23602384,2,0.02
660,91003632.25221992,323250072.002054,2,0.02
680,105735478.6599024,321397675.03893,2,0.02
700,122575835.37089774,319944273.8042603,2,0.02
720,140588094.21993032,319678173.1711943,2,0.02
740,155878874.87765312,321547108.3186399,2,0.02
760,173164410.2210165,321634258.45131195,2,0.02
780,181740240.63863057,321412531.0294556,2,0.02
