r0_ref,noise_var,threshold,cv_accuracy
0.01,10000.0,1.2153490303035142e-06,0.9875
0.01,31622.776601683792,3.3463215913798194e-06,0.975
0.01,100000.0,4.441063720150851e-05,0.85
0.01,316227.7660168379,1.2696627436525887e-05,0.65
0.01,1000000.0,0.00013454112922772765,0.45
0.01,3162277.6601683795,0.007494941586628556,0.625
0.01,10000000.0,0.0007088384008966386,0.4875
0.0566666666666666,10000.0,0.00020947004253457635,1.0
0.0566666666666666,31622.776601683792,7.143255641040014e-05,0.9875
0.0566666666666666,100000.0,0.00012807816437998554,1.0
0.0566666666666666,316227.7660168379,0.0003664920586743392,0.975
0.0566666666666666,1000000.0,0.0017262395122088492,0.7625
0.0566666666666666,3162277.6601683795,0.007613724796101451,0.7
0.0566666666666666,10000000.0,0.0003162996144965291,0.4875
0.075,10000.0,0.00023701727282343654,1.0
0.075,100000.0,0.0004451812128536403,1.0
0.075,1000000.0,0.0036623922642320395,0.925
0.075,10000000.0,0.0026531709590926766,0.475
0.075,100000000.0,0.015258446335792542,0.475
0.1033333333333333,10000.0,1.298347797273891e-06,0.9875
0.1033333333333333,31622.776601683792,0.000855111133319042,1.0
0.1033333333333333,100000.0,0.00011055953655159101,0.9875
0.1033333333333333,316227.7660168379,0.0012951412645634264,0.975
0.1033333333333333,1000000.0,0.004156393115408719,0.975
0.1033333333333333,3162277.6601683795,0.006518649170175195,0.7125
0.1033333333333333,10000000.0,0.01553292851895094,0.6875
0.15,10000.0,0.0014503254109001773,1.0
0.15,31622.776601683792,0.0009102962212068633,1.0
0.15,100000.0,0.0004439459698915016,0.9625
0.15,316227.7660168379,0.002452416854794137,0.9875
0.15,1000000.0,0.0021291898447088897,0.9375
0.15,3162277.6601683795,0.021024265326559544,0.775
0.15,10000000.0,0.073598712682724,0.65
