timestep,cog_x,cog_y,dm_mean,dm_max,dm_min
0,127.46802113421667,127.43794907640594,0.0,0.0,0.0
1,127.24755706984668,127.52866098807496,-1.6845973352376738e-09,6.10710794770104e-08,-6.551957077155789e-08
2,127.76051198407652,127.81363171426202,-3.2268712408754513e-09,1.1438618105454323e-07,-1.344153470067909e-07
3,127.29938579812045,127.81829747069203,-4.837865463256828e-09,1.542988590221307e-07,-1.8450083213596392e-07
4,127.1538701508423,127.97023525525746,-5.748302518311609e-09,1.9377176898875996e-07,-2.2760489548128052e-07
5,127.02550247357564,127.504791982329,-4.51721373813475e-09,2.264356338614721e-07,-2.5759402184314225e-07
6,127.4349199433613,127.53676070144864,-5.109799154588752e-09,2.5017112682689085e-07,-2.9199304998783365e-07
7,127.52612612612613,127.51804236669102,-4.684143431414809e-09,2.645399099204534e-07,-3.343851163146772e-07
8,127.9547215496368,127.50033898305085,-5.689166494933061e-09,2.7998871475375323e-07,-3.2741129850895996e-07
9,127.05268683783525,128.72186694664504,-7.397435249244113e-09,2.873441754763892e-07,-3.422171253321063e-07
10,126.7666753517457,127.62128712871286,-8.416602394553081e-09,3.059535899602556e-07,-3.3314934784396944e-07
11,126.43455768235903,127.94348163476461,-1.123893199474632e-08,3.0438357425576845e-07,-3.4581537417157114e-07
12,128.20110410094637,127.30178759200841,-1.1130702137026445e-08,3.4026571942083244e-07,-3.41659270722283e-07
13,126.83378196500674,128.84589502018844,-1.5172069861660932e-08,3.4246131053364807e-07,-3.4551114252818025e-07
14,125.90598290598291,127.1769943019943,-1.5889227054710884e-08,3.7591013868257616e-07,-3.2079202004995983e-07
15,123.94862518089725,124.49421128798842,-1.919531439271815e-08,3.645114799541039e-07,-3.734203814358684e-07
16,126.43521897810218,125.99817518248175,-1.4315082011289585e-08,3.4926969430511054e-07,-3.88705028630907e-07
17,129.10376492194675,126.82185491276401,-1.4953168071018464e-08,3.794600426912236e-07,-3.8085501556466203e-07
18,123.75142314990512,126.36432637571157,-1.8701489869334286e-08,3.2788630173730664e-07,-4.3774019414262454e-07
19,123.92753623188406,131.3840579710145,-2.026724668977255e-08,3.487014877522079e-07,-3.5520298874477346e-07
20,125.0578947368421,128.9842105263158,-1.9783563994179776e-08,3.399093994701836e-07,-3.833570038695096e-07
21,122.72384937238493,132.80753138075315,-1.959391500359535e-08,3.4111560765132977e-07,-4.1113834463867e-07
22,124.41958041958041,131.74125874125875,-2.141631675535707e-08,3.252896970381123e-07,-3.8571132902466426e-07
23,138.29861111111111,120.20833333333333,-2.370151286548018e-08,3.193283751122368e-07,-4.2089074653683843e-07
24,136.62962962962962,126.0246913580247,-2.520752190537994e-08,3.3273636206558686e-07,-4.5478662681821e-07
25,134.625,125.83928571428571,-2.3894358027722327e-08,3.3896514867496895e-07,-4.5523907621329155e-07
26,127.86666666666666,142.84444444444443,-2.3947905549819293e-08,3.315407679606792e-07,-4.366509869588827e-07
27,118.75757575757575,140.03030303030303,-2.4782646660093958e-08,3.238587061510872e-07,-4.2133352116065943e-07
28,144.65217391304347,121.04347826086956,-2.5827365893903132e-08,3.2422388851737984e-07,-4.270951462764149e-07
29,137.3684210526316,121.6842105263158,-2.7240796254415044e-08,3.1767556254862003e-07,-4.1582251050369706e-07
30,137.8181818181818,159.8181818181818,-2.803050402939796e-08,3.142339291279306e-07,-4.1504925200157806e-07
31,118.25,131.83333333333334,-2.9043198790496417e-08,3.040744741142877e-07,-4.067803182366173e-07
32,166.0,127.66666666666667,-2.9746077179447413e-08,3.0278437674601506e-07,-4.0494482649153667e-07
33,137.28571428571428,118.14285714285714,-2.8857159676417198e-08,3.055248707331232e-07,-4.002827632867311e-07
34,116.75,83.0,-2.9631897913976767e-08,3.011386028415981e-07,-3.8377794783945357e-07
35,229.0,74.0,-3.062312705295955e-08,2.9658324044375116e-07,-4.035116966492892e-07
36,0.0,0.0,-3.1356699712351705e-08,2.935330879225373e-07,-4.2200801414916706e-07
37,0.0,0.0,-3.209904170666281e-08,2.905977570433293e-07,-4.406656975991228e-07
38,187.0,75.0,-3.28339602810308e-08,2.876917794729134e-07,-4.59136804214579e-07
39,0.0,0.0,-3.3702088865535324e-08,2.840026047771135e-07,-4.781690014372364e-07
40,0.0,0.0,-3.44209769683146e-08,2.811625787293598e-07,-4.962650750143115e-07
41,0.0,0.0,-3.513267619006608e-08,2.783509529420836e-07,-5.141801878556158e-07
42,0.0,0.0,-3.583725841960003e-08,2.755674434126802e-07,-5.319161495685071e-07
43,0.0,0.0,-3.653479482683866e-08,2.728117689785708e-07,-5.494747516642695e-07
44,0.0,0.0,-3.72253558700049e-08,2.700836512888025e-07,-5.668577677390743e-07
45,0.0,0.0,-3.790901130273946e-08,2.673828147759319e-07,-5.84066953653131e-07
46,0.0,0.0,-3.858583018114669e-08,2.6470898662819e-07,-6.011040477080471e-07
47,0.0,0.0,-3.925588087076985e-08,2.620618967619255e-07,-6.179707708224142e-07
48,162.0,104.0,-3.991923105349677e-08,2.5944127779432365e-07,-6.346688267056375e-07
49,0.0,0.0,-4.1011715307443435e-08,2.5761844321364417e-07,-6.60531579965631e-07
