timestep,cog_x,cog_y,dm_mean,dm_max,dm_min
0,127.67864036906755,127.58108682406312,0.0,0.0,0.0
1,127.61437395873382,127.51255414584135,2.93201711875751e-10,1.3886754882530219e-08,-4.361889750013515e-09
2,127.60800768737988,127.47619730941705,-2.3846185597346e-10,1.8236394222332148e-08,-1.0496116652107491e-08
3,127.64466157390069,127.45055844282439,-4.3933136212100005e-10,2.528507217007088e-08,-1.7155504360987435e-08
4,127.59742247653878,127.80604623927103,-6.083205673426112e-10,3.1159957499472405e-08,-2.1674101228509248e-08
5,127.62345834188385,127.62046480607428,-6.500396280219551e-10,3.5822699624309825e-08,-2.741892816185254e-08
6,127.58355423399334,127.57481040960745,-5.449608032931154e-11,2.9236453657426617e-08,-2.8861426065641767e-08
7,127.48294176791595,127.43852512491462,6.078142716935433e-10,2.3820097498136154e-08,-2.6824165774155307e-08
8,127.4758613279851,127.57811300868747,1.6371619925978032e-12,2.8930275990063043e-08,-2.774328830409429e-08
9,127.59178867955367,127.36713173305547,-1.4278046268810174e-10,2.6607913211110367e-08,-3.517547060448245e-08
10,127.53550127986895,127.64451735974716,-3.8256312464014173e-10,2.7068517141239747e-08,-3.502947825134771e-08
11,127.50156151924678,127.66223275475565,3.4520786516796884e-11,3.850276174651847e-08,-3.771798917322131e-08
12,127.41379195396699,127.6247124859929,6.023690772680892e-10,3.962540125563926e-08,-3.680242815707217e-08
13,127.45129202214162,127.35847778912105,4.4416640466929106e-10,4.647191833858876e-08,-3.680022016227174e-08
14,127.39401022156997,127.59222247308628,2.284787638673833e-10,4.910172191628294e-08,-4.182151936949943e-08
15,127.54783429036003,127.59226828108461,1.3023534937878428e-11,4.028036747893556e-08,-4.4674710388226283e-08
16,127.52911024326701,127.5832305510753,-1.6001181675914585e-11,3.873422344640906e-08,-4.31847682631679e-08
17,127.54364201974496,127.48014962978198,-5.437259465549434e-12,3.6059025466834046e-08,-4.1770351206627076e-08
18,127.59531805104788,127.51946802084507,2.7907872783510886e-10,4.280705233234481e-08,-4.3898747514373916e-08
19,127.71389675116909,127.58563817786529,-1.1744461416443792e-10,4.322329330549971e-08,-5.051739458986494e-08
20,127.46598104726348,127.41609824752798,-5.43727095289454e-10,4.309333218349883e-08,-5.174860055602337e-08
21,127.51631722880583,127.59276387587146,-9.54920786983982e-10,4.525347991125027e-08,-5.322059797989654e-08
22,127.60839336529341,127.65473120209194,-1.0325899278205507e-10,5.0115974254518976e-08,-5.1732748025636143e-08
23,127.47279943484683,127.40589043735149,-4.1527565317103523e-10,5.390392233209218e-08,-5.579715144503686e-08
24,127.32078786306654,127.61609525448367,-1.3979750300273426e-09,4.5357127086216285e-08,-5.941259030179555e-08
25,127.54361900272339,127.43283383249258,-7.610041537784397e-10,5.278402051179791e-08,-5.933122408992467e-08
26,127.46665300318956,127.50458196164833,-1.1192295467201006e-09,4.38103016958761e-08,-6.074143620125411e-08
27,127.56014826116775,127.63126841384695,-4.684335482576461e-10,5.1410314280288797e-08,-5.849209199984197e-08
28,127.73527441645601,127.58952893018004,-4.798785955102474e-10,5.374272153505166e-08,-6.131331397785725e-08
29,127.5897841752457,127.63676126903827,-7.019998286679893e-10,5.709006205279795e-08,-6.396839449134761e-08
30,127.5794784475674,127.47393778763971,-6.14521977493547e-10,5.630111689019376e-08,-7.065610380746802e-08
31,127.54871101348265,127.58493248410258,-3.39537386801293e-10,5.38795308722478e-08,-6.863324732442029e-08
32,127.41535731867411,127.49141573679029,3.126789185634763e-10,5.595606758065553e-08,-6.611455913818928e-08
33,127.59663919271067,127.42983656278051,1.174735334187489e-09,6.096194771772898e-08,-7.113987902789451e-08
34,127.52734522334177,127.42984407513747,1.0172660766274557e-10,5.6487474560126596e-08,-7.361583020867405e-08
35,127.62726168075757,127.47019118860969,-5.261173326232095e-10,5.6320845123820645e-08,-8.072767242659613e-08
36,127.47699004496566,127.55381387343435,-2.1525895092976343e-10,6.338581573638969e-08,-8.541901793078371e-08
37,127.35009943312866,127.45293327729541,2.2554854425230146e-10,6.464062673951381e-08,-9.159034325350598e-08
38,127.64095492699515,127.45683981952361,5.019051226407379e-10,6.637484399479665e-08,-9.58477133939164e-08
39,127.47935582774745,127.56133063084846,5.072255726027358e-10,6.557734409232833e-08,-9.832527655202603e-08
40,127.62613565905376,127.48602108111155,1.7221643469084496e-10,6.040534695672947e-08,-9.583545240370859e-08
41,127.68119919771983,127.46301297912166,-6.066861879230763e-11,6.228254650721039e-08,-1.0166363403707828e-07
42,127.55462803012051,127.4718683842262,1.412457986404683e-10,6.43038763814252e-08,-1.023501129495045e-07
43,127.41148881173038,127.53751647596432,-5.792153489534939e-10,5.0367186288769735e-08,-1.0047482898119382e-07
44,127.51138589335174,127.53125697900971,-4.405982235721491e-10,6.582291909724336e-08,-1.0128460013906369e-07
45,127.52869494336373,127.51630647927182,-7.907511157544815e-10,5.786761488042665e-08,-1.002363083215602e-07
46,127.52805565741863,127.42690347910154,-7.778690223772208e-10,5.652411731565019e-08,-1.0421854492518374e-07
47,127.48135370292827,127.39268585285905,-1.1840742627112205e-09,5.876953145740567e-08,-1.0653822427841871e-07
48,127.31647694365714,127.40569630309211,-1.5802861796878548e-09,5.5764453198414475e-08,-1.1002430588852237e-07
49,127.40977302306078,127.35941211515302,-1.892533044659062e-09,5.388804169247514e-08,-1.12303333194729e-07
