timestep,power_in_focal,power_send
0,228493233.9862681,390000000.0
1,227695054.2560235,390000000.0
2,226390274.35656834,390000000.0
3,225387874.77267355,390000000.0
4,221089126.53977165,390000000.0
5,217585369.8393344,390000000.0
6,217694483.68391773,390000000.0
7,218930813.48113123,390000000.0
8,217828954.92564508,390000000.0
9,218843715.5480702,390000000.0
10,218685969.7285949,390000000.0
11,216891208.2209349,390000000.0
12,217146364.19603604,390000000.0
13,216675094.61805993,390000000.0
14,216610756.23158383,390000000.0
15,216401567.3633749,390000000.0
16,215032896.93350804,390000000.0
17,215321639.61256957,390000000.0
18,213738266.5157451,390000000.0
19,212934154.8571895,390000000.0
20,212096146.0687178,390000000.0
21,210398042.27269265,390000000.0
22,209306872.13120478,390000000.0
23,207421425.95905375,390000000.0
24,206881372.1281032,390000000.0
25,205564532.67161465,390000000.0
26,205317658.75925514,390000000.0
27,205470533.87771606,390000000.0
28,205223672.12874117,390000000.0
29,204996374.85982472,390000000.0
30,203997781.1494861,390000000.0
31,202955473.69081444,390000000.0
32,202110496.3615123,390000000.0
33,199960591.47377986,390000000.0
34,198686303.43704176,390000000.0
35,196052661.46097243,390000000.0
36,192908589.50820184,390000000.0
37,189888587.4407672,390000000.0
38,186468311.15578428,390000000.0
39,183975413.69808203,390000000.0
40,183393997.98905012,390000000.0
41,181139380.5921862,390000000.0
42,179337491.194672,390000000.0
43,179000352.36502331,390000000.0
44,176430366.1455106,390000000.0
45,174524621.7309255,390000000.0
46,172168765.54861546,390000000.0
47,170707901.12593257,390000000.0
48,169253557.28413987,390000000.0
49,168343916.6545946,390000000.0
