timestep,power_in_focal,power_send
0,262800844.1334848,390000000.0
1,262789212.44932038,390000000.0
2,261845545.28492135,390000000.0
3,259481454.09624174,390000000.0
4,257455934.03100404,390000000.0
5,255801745.42144823,390000000.0
6,254824561.2078173,390000000.0
7,253054853.305563,390000000.0
8,251256488.0273283,390000000.0
9,250585290.46444944,390000000.0
10,248857002.12213585,390000000.0
11,248445136.8337604,390000000.0
12,248046312.59840888,390000000.0
13,248906611.19383645,390000000.0
14,247106484.35251868,390000000.0
15,247532551.64796996,390000000.0
16,246344218.2513226,390000000.0
17,241677237.048846,390000000.0
18,241477808.4804132,390000000.0
19,240707576.178191,390000000.0
20,238142144.17032722,390000000.0
21,237913459.35866165,390000000.0
22,237328487.66410232,390000000.0
23,234940405.46213156,390000000.0
24,233739275.16524678,390000000.0
25,231787794.20134354,390000000.0
26,228868671.74701527,390000000.0
27,226417400.804223,390000000.0
28,224234855.58349514,390000000.0
29,224546486.22256607,390000000.0
30,222370933.5008649,390000000.0
31,220269413.44799042,390000000.0
32,216436084.44408342,390000000.0
33,212985770.4851158,390000000.0
34,213859203.93525177,390000000.0
35,212201092.49909785,390000000.0
36,210736914.20239538,390000000.0
37,208829354.79163772,390000000.0
38,207251311.57454064,390000000.0
39,205830335.7697372,390000000.0
40,206093356.6837212,390000000.0
41,203388362.54679886,390000000.0
42,202913949.9534909,390000000.0
43,201773472.94626743,390000000.0
44,199503726.69904596,390000000.0
45,200016020.06194973,390000000.0
46,198977858.96101838,390000000.0
47,196170319.04866645,390000000.0
48,195088887.64395982,390000000.0
49,191676846.72188827,390000000.0
