timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,136.0,143.0,-2.0888800068929108e-10,5.582934559899443e-10,-5.2402229058292915e-09,0.0,1.0480181515786656e-09,7.16682575980883e-08,4.36674229824444e-09
1,0.0,0.0,-4.1568712137168914e-10,1.1110039774199893e-09,-1.042804358260029e-08,1.0480181515786656e-09,2.0855561216415445e-09,7.16682575980883e-08,4.36674229824444e-09
2,164.5,150.5,-6.356318164706859e-10,1.5458091793864102e-09,-1.5572166288930795e-08,2.0855561216415445e-09,3.116173941409903e-09,7.708960934700822e-08,4.386608979358375e-09
3,210.5,117.5,-7.336259343106124e-10,2.295830696885117e-09,-2.0715162807300517e-08,3.116173941409903e-09,4.180360134267517e-09,1.032834361307683e-07,4.63625922267141e-09
4,0.0,0.0,-9.35177675656797e-10,2.8311658459062105e-09,-2.57482340850568e-08,4.180360134267517e-09,5.1849321796013486e-09,7.16682575980883e-08,4.36674229824444e-09
5,0.0,0.0,-1.13471389958952e-09,3.361147643437093e-09,-3.073097465003552e-08,5.1849321796013486e-09,6.180012387710361e-09,7.16682575980883e-08,4.36674229824444e-09
6,149.5,150.5,-1.332254761282916e-09,3.885829622992667e-09,-3.566388780936446e-08,6.180012387710361e-09,7.1654584870211165e-09,7.16682575980883e-08,4.36674229824444e-09
7,0.0,0.0,-1.527820214359378e-09,4.405264782752684e-09,-4.054747183710011e-08,7.1654584870211165e-09,8.141247801010114e-09,7.16682575980883e-08,4.36674229824444e-09
8,0.0,0.0,-1.7214300129050752e-09,4.919505590915101e-09,-4.53822200245584e-08,8.141247801010114e-09,9.10741068807281e-09,7.16682575980883e-08,4.36674229824444e-09
9,0.0,0.0,-1.9131037134653153e-09,5.428603990995894e-09,-5.016862073014211e-08,9.10741068807281e-09,1.0064003685622813e-08,7.16682575980883e-08,4.36674229824444e-09
10,193.0,145.0,-2.1320290086452763e-09,5.934434483479458e-09,-5.519824251607811e-08,1.0064003685622813e-08,1.1062991118030651e-08,8.128911743687687e-08,4.609841659097034e-09
11,120.0,138.0,-2.3195967192481147e-09,6.433383594634607e-09,-5.988648299674662e-08,1.1062991118030651e-08,1.200022840498326e-08,7.16682575980883e-08,4.36674229824444e-09
12,45.0,178.0,-2.5047727434904553e-09,7.0674190566428e-09,-6.457017447125066e-08,1.200022840498326e-08,1.2895062890102113e-08,9.575024573092521e-08,4.256102584483238e-09
13,0.0,0.0,-2.6886130167448413e-09,7.555038322066316e-09,-6.916469563236743e-08,1.2895062890102113e-08,1.3813965908423287e-08,7.16682575980883e-08,4.36674229824444e-09
14,0.0,0.0,-2.8706148872666838e-09,8.037781394835597e-09,-7.371327158187304e-08,1.3813965908423287e-08,1.472370319616246e-08,7.16682575980883e-08,4.36674229824444e-09
15,0.0,0.0,-3.0507967390833083e-09,8.515697036877187e-09,-7.821636177188359e-08,1.472370319616246e-08,1.5624361957923785e-08,7.16682575980883e-08,4.36674229824444e-09
16,0.0,0.0,-3.229176772381766e-09,8.98883352249836e-09,-8.267442105999404e-08,1.5624361957923785e-08,1.6516029581870153e-08,7.16682575980883e-08,4.36674229824444e-09
17,0.0,0.0,-3.4057730053472392e-09,9.457238643263321e-09,-8.708789975522339e-08,1.6516029581870153e-08,1.739879334376768e-08,7.16682575980883e-08,4.36674229824444e-09
18,0.0,0.0,-3.5806032759830587e-09,9.920959712820633e-09,-9.145724366350043e-08,1.739879334376768e-08,1.8272740206954396e-08,7.16682575980883e-08,4.36674229824444e-09
19,143.0,168.0,-3.721351693579079e-09,1.0366551331507991e-08,-9.557873236935387e-08,1.8272740206954396e-08,1.9098794109762217e-08,7.239239301376873e-08,4.211092462384788e-09
20,94.0,200.0,-3.875736765800204e-09,1.0906166306708938e-08,-9.98075115699945e-08,1.9098794109762217e-08,1.9933212382261832e-08,7.708821782276148e-08,4.279229634755283e-09
21,171.5,202.0,-4.055188766525196e-09,1.133875841932938e-08,-1.0407374238717889e-07,1.9933212382261832e-08,2.0786864969802332e-08,7.278867027528028e-08,4.389735157600401e-09
22,233.0,224.0,-4.223524879549236e-09,1.1783664291126032e-08,-1.0827322786913639e-07,2.0786864969802332e-08,2.1626941427628256e-08,7.16682575980883e-08,4.36674229824444e-09
