timestep,power_in_focal,power_send
0,4069.2727086909526,6181.083450598342
1,4085.1990616198773,6181.083450598342
2,4100.265397372901,6181.083450598342
3,4114.384828508281,6181.083450598342
4,4127.647511146455,6181.083450598342
5,4140.251054259318,6181.083450598342
6,4151.889113891908,6181.083450598342
7,4162.72314744033,6181.083450598342
8,4172.797888238469,6181.083450598342
9,4182.125866217606,6181.083450598342
10,4190.719677185478,6181.083450598342
11,4198.559748487294,6181.083450598342
12,4205.691047061062,6181.083450598342
13,4212.0334618225515,6181.083450598342
14,4217.503863177944,6181.083450598342
15,4222.622578598318,6181.083450598342
16,4227.138324864614,6181.083450598342
17,4231.115525371328,6181.083450598342
18,4234.5936541527335,6181.083450598342
19,4237.981938222216,6181.083450598342
20,4240.482922464744,6181.083450598342
21,4242.169933710771,6181.083450598342
22,4243.779475303529,6181.083450598342
23,4245.022711815556,6181.083450598342
24,4245.750212058934,6181.083450598342
25,4245.957102711835,6181.083450598342
26,4245.982053186486,6181.083450598342
27,4245.617028162463,6181.083450598342
28,4244.855747795489,6181.083450598342
29,4243.395846028969,6181.083450598342
30,4241.993390447482,6181.083450598342
31,4240.288061275238,6181.083450598342
32,4238.262718765667,6181.083450598342
33,4235.988979638992,6181.083450598342
34,4233.3879728510965,6181.083450598342
35,4231.048883949517,6181.083450598342
36,4227.820363166587,6181.083450598342
37,4224.311686400344,6181.083450598342
38,4220.5412854220285,6181.083450598342
39,4216.513762694012,6181.083450598342
40,4212.227382485377,6181.083450598342
41,4208.533119717984,6181.083450598342
42,4203.871147180919,6181.083450598342
43,4198.538921732632,6181.083450598342
44,4193.5647484089,6181.083450598342
45,4188.280390964807,6181.083450598342
46,4182.969547753404,6181.083450598342
47,4177.525720696504,6181.083450598342
48,4171.941024442465,6181.083450598342
49,4166.208471442508,6181.083450598342
