timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,175.0,160.0,-1.3304442199706268e-10,3.832887575282606e-10,-3.4774265858495038e-09,0.0,6.957951450016241e-10,7.278077435992278e-08,4.348719656260151e-09
1,0.0,0.0,-2.696422006833197e-10,7.478186197043368e-10,-6.901359991351975e-09,6.957951450016241e-10,1.3803598660958963e-09,7.16682575980883e-08,4.366742298244351e-09
2,104.0,200.0,-4.055073589187553e-10,1.07419253688543e-09,-1.0252007888091966e-08,1.3803598660958963e-09,2.0481834305913295e-09,7.278686518203044e-08,4.348090269412799e-09
3,0.0,0.0,-5.366558788665784e-10,1.4249043234743628e-09,-1.3540449667549589e-08,2.0481834305913295e-09,2.7058421482092223e-09,7.16682575980883e-08,4.366742298244351e-09
4,150.0,176.0,-6.540630186964932e-10,1.7344508505849619e-09,-1.6755582679822063e-08,2.7058421482092223e-09,3.348185748835441e-09,7.708138945544745e-08,4.365144761460626e-09
5,0.0,0.0,-7.802404254487615e-10,2.071957470899904e-09,-1.9913952963445083e-08,3.348185748835441e-09,3.979771315946975e-09,7.16682575980883e-08,4.366742298244351e-09
6,0.0,0.0,-9.038942840659846e-10,2.402713958808547e-09,-2.3009155841395643e-08,3.979771315946975e-09,4.598764119681369e-09,7.16682575980883e-08,4.366742298244351e-09
7,0.0,0.0,-1.0250750655108632e-09,2.7268553169590174e-09,-2.604245466178719e-08,4.598764119681369e-09,5.205401127067863e-09,7.16682575980883e-08,4.366742298244351e-09
8,0.0,0.0,-1.143832231326844e-09,3.044513847946478e-09,-2.9015087505770907e-08,5.205401127067863e-09,5.799921249740018e-09,7.16682575980883e-08,4.366742298244351e-09
9,144.0,130.0,-1.2602142538265053e-09,3.3558192083141895e-09,-3.1928267692874945e-08,5.799921249740018e-09,6.382561941710522e-09,7.16682575980883e-08,4.366742298244351e-09
10,0.0,0.0,-1.3742686358761734e-09,3.660898461474547e-09,-3.4783184276236906e-08,6.382561941710522e-09,6.9535577079894904e-09,7.16682575980883e-08,4.366742298244351e-09
11,0.0,0.0,-1.486041930284848e-09,3.9598761295716976e-09,-3.7581002527931626e-08,6.9535577079894904e-09,7.513139407216883e-09,7.16682575980883e-08,4.366742298244351e-09
12,160.0,79.0,-1.6043458940405559e-09,4.264457354483083e-09,-4.039747013196415e-08,7.513139407216883e-09,8.077839775695849e-09,7.278682396378804e-08,4.470579526395791e-09
13,168.0,173.0,-1.7037178130572392e-09,4.540504439721174e-09,-4.287687108681473e-08,8.077839775695849e-09,8.574527723114858e-09,8.504653549834098e-08,4.14361409246387e-09
14,0.0,0.0,-1.8089021239222927e-09,4.8218899882533915e-09,-4.5512815602297894e-08,8.574527723114858e-09,9.101699636068993e-09,7.16682575980883e-08,4.366742298244351e-09
15,0.0,0.0,-1.911982748570045e-09,5.097647825814965e-09,-4.809604122747139e-08,9.101699636068993e-09,9.618330455174758e-09,7.16682575980883e-08,4.366742298244351e-09
16,0.0,0.0,-2.013001760724842e-09,5.367890506625307e-09,-5.062760234014142e-08,9.618330455174758e-09,1.0124630564749817e-08,7.16682575980883e-08,4.366742298244351e-09
17,0.0,0.0,-2.1120003926365435e-09,5.632728333819442e-09,-5.3108532230558046e-08,1.0124630564749817e-08,1.0620806241534657e-08,7.16682575980883e-08,4.366742298244351e-09
18,29.0,142.0,-2.207524744258852e-09,5.758565547406913e-09,-5.56501366851523e-08,1.0620806241534657e-08,1.1108395240657399e-08,8.863812189267805e-08,4.404383211821751e-09
19,0.0,0.0,-2.3026329164998735e-09,6.015589873785416e-09,-5.803061588866871e-08,1.1108395240657399e-08,1.158487913752948e-08,7.16682575980883e-08,4.366742298244351e-09
20,102.5,104.0,-2.4129682170226884e-09,6.279546813787084e-09,-6.05287522942282e-08,1.158487913752948e-08,1.2087899729524559e-08,7.709675125583439e-08,4.600572348730485e-09
21,0.0,0.0,-2.503967519808433e-09,6.5261515148379835e-09,-6.28116591855631e-08,1.2087899729524559e-08,1.2544788672945344e-08,7.16682575980883e-08,4.366742298244351e-09
22,106.5,155.0,-2.583821946273409e-09,6.75554353102669e-09,-6.49687806599991e-08,1.2544788672945344e-08,1.2977484194879262e-08,7.278511883804904e-08,4.274196201548682e-09
23,0.0,0.0,-2.6714041744741387e-09,6.992628297732797e-09,-6.716288698401857e-08,1.2977484194879262e-08,1.341658329084435e-08,7.16682575980883e-08,4.366742298244351e-09
24,208.0,73.0,-2.76508615211829e-09,7.15079862899835e-09,-6.92944313331519e-08,1.341658329084435e-08,1.3845931565330834e-08,7.708898517886433e-08,4.369823494316043e-09
25,46.0,144.0,-2.8469119610844533e-09,7.348544125517096e-09,-7.133069110129693e-08,1.3845931565330834e-08,1.424006007175745e-08,7.713180790345783e-08,4.203464329276313e-09
26,0.0,0.0,-2.9292323889889623e-09,7.573768880333395e-09,-7.339755921649045e-08,1.424006007175745e-08,1.46539119591086e-08,7.16682575980883e-08,4.366742298244351e-09
27,0.0,0.0,-3.009906408335381e-09,7.794489140053368e-09,-7.54230899693801e-08,1.46539119591086e-08,1.505948916756921e-08,7.16682575980883e-08,4.366742298244351e-09
28,110.0,206.0,-3.0919150937856484e-09,8.106559612647566e-09,-7.746656693887598e-08,1.505948916756921e-08,1.547984811286788e-08,8.129032862369735e-08,4.529404573493095e-09
29,0.0,0.0,-3.1693354590361338e-09,8.316624057721257e-09,-7.941071753731792e-08,1.547984811286788e-08,1.5868906144207046e-08,7.16682575980883e-08,4.366742298244351e-09
30,0.0,0.0,-3.2452074169816087e-09,8.522487213893474e-09,-8.131598512379102e-08,1.5868906144207046e-08,1.6250185038784523e-08,7.16682575980883e-08,4.366742298244351e-09
31,0.0,0.0,-3.319561935768174e-09,8.724233106942246e-09,-8.318314735853465e-08,1.6250185038784523e-08,1.6623840165430745e-08,7.16682575980883e-08,4.366742298244351e-09
32,63.0,200.0,-3.391977498665413e-09,8.942393604847885e-09,-8.503942829639434e-08,1.6623840165430745e-08,1.6990065491477943e-08,7.27834582606372e-08,4.368012256825988e-09
33,0.0,0.0,-3.4633966158183027e-09,9.135741370077569e-09,-8.68321216676859e-08,1.6990065491477943e-08,1.734892532815044e-08,7.16682575980883e-08,4.366742298244351e-09
34,81.0,79.0,-3.5330401578215763e-09,9.307306726759523e-09,-8.853013543071805e-08,1.734892532815044e-08,1.7691031302010166e-08,7.708913112443391e-08,4.316434413828704e-09
35,123.0,140.0,-3.601638021791342e-09,9.493356229550975e-09,-9.025301465932315e-08,1.7691031302010166e-08,1.8035874467023586e-08,7.16682575980883e-08,4.366742298244351e-09
36,0.0,0.0,-3.6688639284817137e-09,9.675684742286597e-09,-9.194143630335614e-08,1.8035874467023586e-08,1.8373821896333248e-08,7.16682575980883e-08,4.366742298244351e-09
