timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,127.52127392387416,127.6085915796164,1.7358828347527137e-10,1.0501468323876184e-08,-1.8352163159254865e-09,0.0,1.4111560197215995e-09,1.5707031642616448e-07,8.819725123259997e-09
1,127.5798451044224,127.33011125904605,3.226056120667189e-10,2.0751591329988986e-08,-3.85214039849718e-09,1.4111560197215995e-09,2.799104189653227e-09,1.5879525114431583e-07,8.859091199166426e-09
2,127.67394068339699,127.35129578836738,5.211113821869396e-10,3.0829363273543676e-08,-5.619410687533265e-09,2.799104189653227e-09,4.163901326355827e-09,1.5449078876991306e-07,8.895677251103025e-09
3,127.50384821033798,127.23493876795574,6.860630732107781e-10,4.043585153220679e-08,-7.476726863464268e-09,4.163901326355827e-09,5.462571997381416e-09,1.562964743761029e-07,8.649179311058862e-09
4,127.71000094858904,127.31036295067594,8.542349454157977e-10,4.962631377308153e-08,-8.94546712515625e-09,5.462571997381416e-09,6.704930303777168e-09,1.5546292215040415e-07,8.472313951848551e-09
5,127.50892198828492,127.29419264326384,1.0000035604675481e-09,5.86132643608131e-08,-1.0628469286598336e-08,6.704930303777168e-09,7.911859934211568e-09,1.5481574310689878e-07,8.402680619373869e-09
6,127.39147454074714,127.42088932725106,1.1306755343617093e-09,6.697230535306023e-08,-1.267635182415409e-08,7.911859934211568e-09,9.051064227837104e-09,1.5643813950160724e-07,8.148350333338372e-09
7,127.44363034621908,127.3588320221119,1.286348344940874e-09,7.53449694662081e-08,-1.489481815163193e-08,9.051064227837104e-09,1.019232023207639e-08,1.5697353598428486e-07,8.32191902981371e-09
8,127.56836097184728,127.20418562797275,1.3851675344017422e-09,8.331819116333312e-08,-1.6666438131620862e-08,1.019232023207639e-08,1.1264818085000994e-08,1.5504574600965208e-07,8.033753576702156e-09
9,127.64230350968987,127.37777128025196,1.4920642856509108e-09,9.183558510161048e-08,-1.8531149888175124e-08,1.1264818085000994e-08,1.2391898619793054e-08,1.54150081643675e-07,8.526997072048452e-09
10,127.4578442654392,127.27826876358522,1.6297640896958442e-09,9.9576691383839e-08,-2.0278016539071984e-08,1.2391898619793054e-08,1.3438050490157413e-08,1.533604477228767e-07,8.140317932972558e-09
11,127.53856901655968,127.32245020983773,1.776013084807076e-09,1.0722283293283543e-07,-2.1808640477389296e-08,1.3438050490157413e-08,1.4469173269679095e-08,1.512422648992401e-07,8.185862677783124e-09
12,127.59401212332382,127.27624627871347,1.9051731073534513e-09,1.141284149090669e-07,-2.305335442264523e-08,1.4469173269679095e-08,1.540476830820022e-08,1.5037388394892214e-07,7.732296229171055e-09
13,127.59210401491202,127.45149107355758,2.0580876004999686e-09,1.2105102503741575e-07,-2.415575004118536e-08,1.540476830820022e-08,1.6341348643842494e-08,1.5026355153967297e-07,7.860988132648114e-09
14,127.39132067126451,127.39524478113958,2.1547481444570355e-09,1.2768852554618267e-07,-2.5716447530004983e-08,1.6341348643842494e-08,1.724094254575878e-08,1.5154486716246888e-07,7.733117931526183e-09
15,127.3900517575742,127.36504886788333,2.296400295285347e-09,1.3409177923404367e-07,-2.6429411869928218e-08,1.724094254575878e-08,1.809536865926912e-08,1.5066703037402184e-07,7.598230202185084e-09
16,127.57830037413149,127.35462958937599,2.418202760383627e-09,1.4084940841884775e-07,-2.7010811606047665e-08,1.809536865926912e-08,1.8981242431865145e-08,1.5588575502607306e-07,7.892024217374867e-09
17,127.433818565455,127.32781532601079,2.515931853757773e-09,1.470296613523202e-07,-2.7764403898532027e-08,1.8981242431865145e-08,1.980519555831708e-08,1.543999717614075e-07,7.626686078126112e-09
18,127.62828431635835,127.52321944207864,2.615566588469166e-09,1.5348353447608742e-07,-2.8327732662550198e-08,1.980519555831708e-08,2.065250716870481e-08,1.5371817003376129e-07,7.877539707332673e-09
19,127.62140124256688,127.248641422652,2.718515365714532e-09,1.5969726081392854e-07,-2.8583681651770853e-08,2.065250716870481e-08,2.145943416768742e-08,1.5269394844548888e-07,7.754042425571792e-09
20,127.42546325320397,127.4291990832571,2.792492306447172e-09,1.6538786496936664e-07,-2.8642200972448616e-08,2.145943416768742e-08,2.2208373602909594e-08,1.527722978802649e-07,7.504718080690312e-09
21,127.68150364498186,127.45060766834264,2.889599686291423e-09,1.7126918900732405e-07,-2.8843938230328776e-08,2.2208373602909594e-08,2.2979895518792775e-08,1.50277841694866e-07,7.71946306513784e-09
22,127.37150434934426,127.42507522773721,3.0081606764771534e-09,1.767830965999706e-07,-2.848213153336704e-08,2.2979895518792775e-08,2.369817771957418e-08,1.521086724685958e-07,7.536315823109471e-09
23,127.49565125758845,127.29085170582762,3.099992449291955e-09,1.8224256085729186e-07,-2.8298462806991997e-08,2.369817771957418e-08,2.4409607210791596e-08,1.5190368156020672e-07,7.61501112438543e-09
24,127.62206623015248,127.25866946558389,3.204313610278039e-09,1.8727464492515212e-07,-2.830646037230088e-08,2.4409607210791596e-08,2.507839114465963e-08,1.5297589090702104e-07,7.441282265211208e-09
25,127.56496159545155,127.36094625931224,3.2870976166141364e-09,1.9221243641740078e-07,-2.822825030985056e-08,2.507839114465963e-08,2.572495894572756e-08,1.5246895018476358e-07,7.421919161882855e-09
26,127.33869158686608,127.32278622339375,3.357960921914252e-09,1.96820937458713e-07,-2.8041144652806667e-08,2.572495894572756e-08,2.6323876284147414e-08,1.5339860351509513e-07,7.175164980221641e-09
27,127.41054450723583,127.27952021004913,3.4439893247999683e-09,2.0140983269963175e-07,-2.8108208695933115e-08,2.6323876284147414e-08,2.6923640872475317e-08,1.5271679950413997e-07,7.255312236386579e-09
28,127.62380794608436,127.37172819244431,3.5504533999441646e-09,2.0636624525085908e-07,-2.8544064165570567e-08,2.6923640872475317e-08,2.7579039729408394e-08,1.5393491794801965e-07,7.702461583797522e-09
29,127.55487870426775,127.40992787267915,3.5970538755523425e-09,2.107324136710685e-07,-2.8540766329634017e-08,2.7579039729408394e-08,2.814295809511667e-08,1.5054613296381233e-07,7.1712101430933365e-09
30,127.44030596812148,127.18449344537126,3.7057083261913236e-09,2.152482925399039e-07,-2.8113522732439077e-08,2.814295809511667e-08,2.8727210687660426e-08,1.5008532732380373e-07,7.3757201677717524e-09
31,127.55978936066873,127.44627930161813,3.796524216554858e-09,2.1979700809708413e-07,-2.7442088660485207e-08,2.8727210687660426e-08,2.9304397228057457e-08,1.4984418859223884e-07,7.4100947028813044e-09
