timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-6.935476476845885e-10,3.6209556650308324e-10,-2.3330704531318437e-08,0.0,3.6489346062565104e-09,7.16682575980883e-08,1.612616502618902e-08
1,0.0,0.0,-1.373224342415485e-09,7.169492216761048e-10,-4.6194794972010506e-08,3.6489346062565104e-09,7.22489052038789e-09,7.16682575980883e-08,1.612616502618902e-08
2,0.0,0.0,-2.039307503251764e-09,1.064705803745666e-09,-6.860160360388874e-08,7.22489052038789e-09,1.0729327316236642e-08,7.16682575980883e-08,1.612616502618902e-08
3,0.0,0.0,-2.6920690008713176e-09,1.405507254173836e-09,-9.05602760631294e-08,1.0729327316236642e-08,1.416367537616842e-08,7.16682575980883e-08,1.612616502618902e-08
4,0.0,0.0,-3.3317752685384795e-09,1.7394926755934423e-09,-1.1207977507318525e-07,1.416367537616842e-08,1.7529336474901564e-08,7.16682575980883e-08,1.612616502618902e-08
5,0.0,0.0,-3.958687410852298e-09,2.0667983885846567e-09,-1.3316888410304e-07,1.7529336474901564e-08,2.0827684351660043e-08,7.16682575980883e-08,1.612616502618902e-08
6,0.0,0.0,-4.573061310319842e-09,2.387557987316047e-09,-1.5383621095229762e-07,2.0827684351660043e-08,2.4060065270883353e-08,7.16682575980883e-08,1.612616502618902e-08
7,210.0,19.0,-5.175147731798032e-09,2.7019023940728095e-09,-1.740901912645701e-07,2.4060065270883353e-08,2.7227798571722195e-08,7.16682575980883e-08,1.612616502618902e-08
8,142.0,93.0,-5.76519242484666e-09,3.0099599126944366e-09,-1.9393909197059712e-07,2.7227798571722195e-08,3.033217720654426e-08,7.16682575980883e-08,1.612616502618902e-08
9,0.0,0.0,-6.343436224034316e-09,3.3118562809436313e-09,-2.133910146625036e-07,3.033217720654426e-08,3.3374468268669886e-08,7.16682575980883e-08,1.612616502618902e-08
10,0.0,0.0,-6.910115147238218e-09,3.6077147218278418e-09,-2.3245389890057197e-07,3.3374468268669886e-08,3.6355913509553e-08,7.16682575980883e-08,1.612616502618902e-08
11,0.0,0.0,-7.465460491978043e-09,3.897655993894368e-09,-2.51135525453879e-07,3.6355913509553e-08,3.927772984561845e-08,7.16682575980883e-08,1.612616502618902e-08
12,192.0,199.0,-8.011487727537603e-09,4.190832694653389e-09,-2.69449265935058e-07,3.927772984561845e-08,4.214227820103349e-08,7.27847829699694e-08,1.6131448463138688e-08
13,0.0,0.0,-8.544805620671441e-09,4.469111607263404e-09,-2.873909851476753e-07,4.214227820103349e-08,4.494836703837492e-08,7.16682575980883e-08,1.612616502618902e-08
14,0.0,0.0,-9.067457155942602e-09,4.741824941621219e-09,-3.049738699760402e-07,4.494836703837492e-08,4.7698334130004974e-08,7.16682575980883e-08,1.612616502618902e-08
15,0.0,0.0,-9.579655660508338e-09,5.009084009291877e-09,-3.2220509710783786e-07,4.7698334130004974e-08,5.03933019047286e-08,7.16682575980883e-08,1.612616502618902e-08
16,0.0,0.0,-1.0081610194982761e-08,5.2709978956091225e-09,-3.3909169969699956e-07,5.03933019047286e-08,5.303437034424692e-08,7.16682575980883e-08,1.612616502618902e-08
17,0.0,0.0,-1.0573525638767692e-08,5.527673504200023e-09,-3.55640570234378e-07,5.303437034424692e-08,5.562261743168454e-08,7.16682575980883e-08,1.612616502618902e-08
18,0.0,0.0,-1.1055602773676926e-08,5.779215600619105e-09,-3.718584633610089e-07,5.562261743168454e-08,5.815909959127856e-08,7.16682575980883e-08,1.612616502618902e-08
