timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-6.935476476845885e-10,3.6209556650308324e-10,-2.3330704531318437e-08,0.0,3.6489346062565104e-09,7.16682575980883e-08,1.612616502618902e-08
1,103.0,193.0,-1.3405823387057676e-09,7.061527973242634e-10,-4.552909400376199e-08,3.6489346062565104e-09,7.115961487393468e-09,7.708722104855695e-08,1.5648263418616997e-08
2,79.0,136.0,-2.0207376243799556e-09,1.0525164559628302e-09,-6.869126965567464e-08,7.115961487393468e-09,1.0745052757619515e-08,7.332779089777211e-08,1.667176651264039e-08
3,134.0,167.0,-2.7359680080691086e-09,1.3828151751424799e-09,-9.20348283971753e-08,1.0745052757619515e-08,1.438978847600242e-08,7.746500494364294e-08,1.7074125827195202e-08
4,0.0,0.0,-3.3747962955923148e-09,1.7172544381427136e-09,-1.1352483636055022e-07,1.438978847600242e-08,1.775083844047347e-08,7.16682575980883e-08,1.612616502618902e-08
5,0.0,0.0,-4.000848017365057e-09,2.0450049158829425e-09,-1.3458504416465766e-07,1.775083844047347e-08,2.104469791619208e-08,7.16682575980883e-08,1.612616502618902e-08
6,0.0,0.0,-4.614378704702345e-09,2.366200384068367e-09,-1.5522404781268293e-07,2.104469791619208e-08,2.4272697573925627e-08,7.16682575980883e-08,1.612616502618902e-08
7,183.0,193.0,-5.223947969285243e-09,2.6858584989778463e-09,-1.756537387704877e-07,2.4272697573925627e-08,2.7464161565233687e-08,7.708892332189721e-08,1.625047049130751e-08
8,122.5,127.0,-5.813016657584126e-09,2.9942368955013725e-09,-1.9547136852639638e-07,2.7464161565233687e-08,3.056377780011747e-08,7.16682575980883e-08,1.612616502618902e-08
9,0.0,0.0,-6.390303972117032e-09,3.296447724094428e-09,-2.148926456871869e-07,3.056377780011747e-08,3.3601409265997124e-08,7.16682575980883e-08,1.612616502618902e-08
10,0.0,0.0,-6.9560455403592795e-09,3.5926143361156227e-09,-2.3392549730476158e-07,3.3601409265997124e-08,3.65782935509639e-08,7.16682575980883e-08,1.612616502618902e-08
11,0.0,0.0,-7.510472277236683e-09,3.882857615896393e-09,-2.525776918899848e-07,3.65782935509639e-08,3.949564419952551e-08,7.16682575980883e-08,1.612616502618902e-08
12,0.0,0.0,-8.053810479376537e-09,4.167296030081548e-09,-2.708568425835036e-07,3.949564419952551e-08,4.235465092034807e-08,7.16682575980883e-08,1.612616502618902e-08
13,78.0,145.0,-8.624553425410925e-09,4.453714993487322e-09,-2.9077728437260377e-07,4.235465092034807e-08,4.54885718615367e-08,8.111157129250197e-08,1.7614656319058827e-08
14,232.0,134.0,-9.1352648690246e-09,4.679944528535893e-09,-3.083346563347835e-07,4.54885718615367e-08,4.823160181043041e-08,7.540290149031986e-08,1.6145225370966128e-08
15,0.0,0.0,-9.646107219328697e-09,4.948441204468258e-09,-3.2549866773940627e-07,4.823160181043041e-08,5.0915856460581945e-08,7.16682575980883e-08,1.612616502618902e-08
16,0.0,0.0,-1.014673272262671e-08,5.211567946881976e-09,-3.423193989159366e-07,5.0915856460581945e-08,5.3546432483404e-08,7.16682575980883e-08,1.612616502618902e-08
17,214.0,200.0,-1.0623699715888818e-08,5.493316730091429e-09,-3.585580721120883e-07,5.3546432483404e-08,5.6085698818112575e-08,7.71606484325941e-08,1.5955884753860415e-08
18,0.0,0.0,-1.110477336925563e-08,5.745545961992683e-09,-3.7471761520116497e-07,5.6085698818112575e-08,5.861288342254475e-08,7.16682575980883e-08,1.612616502618902e-08
