timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-6.935476476845885e-10,3.6209556650308324e-10,-2.3330704531318437e-08,0.0,3.6489346062565104e-09,7.16682575980883e-08,1.612616502618902e-08
1,0.0,0.0,-1.373224342415485e-09,7.169492216761048e-10,-4.6194794972010506e-08,3.6489346062565104e-09,7.22489052038789e-09,7.16682575980883e-08,1.612616502618902e-08
2,0.0,0.0,-2.039307503251764e-09,1.064705803745666e-09,-6.860160360388874e-08,7.22489052038789e-09,1.0729327316236642e-08,7.16682575980883e-08,1.612616502618902e-08
3,87.0,101.0,-2.7165891133838304e-09,1.4440202147761072e-09,-9.112009860849767e-08,1.0729327316236642e-08,1.4273949441687851e-08,8.51154242028022e-08,1.6619671025004522e-08
4,0.0,0.0,-3.3558049788007426e-09,1.7772353769836682e-09,-1.1262840116764614e-07,1.4273949441687851e-08,1.763730402371036e-08,7.16682575980883e-08,1.612616502618902e-08
5,200.0,136.0,-3.983486256142422e-09,2.0936744728712813e-09,-1.3371885498380654e-07,1.763730402371036e-08,2.0934013081810795e-08,7.337786913713916e-08,1.6129058548344126e-08
6,129.0,176.0,-4.597364178704162e-09,2.413896549916939e-09,-1.5437518241544883e-07,2.0934013081810795e-08,2.416422074784342e-08,7.16682575980883e-08,1.612616502618902e-08
7,135.0,168.5,-5.1965421227291446e-09,2.741485162697533e-09,-1.7453373900732284e-07,2.416422074784342e-08,2.731613176326797e-08,7.336915968337741e-08,1.606614457720036e-08
8,0.0,0.0,-5.7861589279591504e-09,3.0487510259466654e-09,-1.943737687584948e-07,2.731613176326797e-08,3.0418717706123016e-08,7.16682575980883e-08,1.612616502618902e-08
9,121.0,222.0,-6.404411366475492e-09,3.3685615088122817e-09,-2.1423824318752438e-07,3.0418717706123016e-08,3.354005839034592e-08,7.954318704995875e-08,1.648740007717714e-08
10,0.0,0.0,-6.96987078683057e-09,3.6632858451391194e-09,-2.3328418285509232e-07,3.354005839034592e-08,3.651815410291483e-08,7.16682575980883e-08,1.612616502618902e-08
11,0.0,0.0,-7.524021018778547e-09,3.95211569473942e-09,-2.519492037293089e-07,3.651815410291483e-08,3.943669481266279e-08,7.16682575980883e-08,1.612616502618902e-08
12,0.0,0.0,-8.067088246087566e-09,4.2351689473477145e-09,-2.702409241860412e-07,3.943669481266279e-08,4.2296869971728287e-08,7.16682575980883e-08,1.612616502618902e-08
13,152.0,81.0,-8.589587642611081e-09,4.535083691873479e-09,-2.873177226403241e-07,4.2296869971728287e-08,4.4962964751933275e-08,7.710330354991036e-08,1.552846755879522e-08
14,0.0,0.0,-9.111343537443449e-09,4.806477584539092e-09,-3.049020727188361e-07,4.4962964751933275e-08,4.771259555069068e-08,7.16682575980883e-08,1.612616502618902e-08
15,0.0,0.0,-9.622664314379169e-09,5.0724435993513934e-09,-3.2213473579577783e-07,4.771259555069068e-08,5.040724011342376e-08,7.16682575980883e-08,1.612616502618902e-08
16,0.0,0.0,-1.012375867577617e-08,5.333090293867449e-09,-3.3902274561118073e-07,5.040724011342376e-08,5.3047996978345783e-08,7.16682575980883e-08,1.612616502618902e-08
17,0.0,0.0,-1.0614831149945235e-08,5.588524054493182e-09,-3.5557299523027555e-07,5.3047996978345783e-08,5.5635942983421455e-08,7.16682575980883e-08,1.612616502618902e-08
18,0.0,0.0,-1.1096082174630922e-08,5.8388491399064015e-09,-3.717922398569885e-07,5.5635942983421455e-08,5.817213362811061e-08,7.16682575980883e-08,1.612616502618902e-08
