timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,0.0,0.0,-6.935476476845885e-10,3.6209556650308324e-10,-2.3330704531318437e-08,0.0,3.6489346062565104e-09,7.16682575980883e-08,1.612616502618902e-08
1,0.0,0.0,-1.373224342415485e-09,7.169492216761048e-10,-4.6194794972010506e-08,3.6489346062565104e-09,7.22489052038789e-09,7.16682575980883e-08,1.612616502618902e-08
2,124.0,95.0,-2.039307503251764e-09,1.064705803745666e-09,-6.860160360388874e-08,7.22489052038789e-09,1.0729327316236642e-08,7.16682575980883e-08,1.612616502618902e-08
3,206.0,162.0,-2.6820797433486554e-09,1.5687005050180063e-09,-9.048228221133388e-08,1.0729327316236642e-08,1.4154604430710834e-08,8.875808169099371e-08,1.608773235722926e-08
4,0.0,0.0,-3.321985796166271e-09,1.8994220614207296e-09,-1.1200334109842563e-07,1.4154604430710834e-08,1.752042047839995e-08,7.16682575980883e-08,1.612616502618902e-08
5,158.0,168.0,-3.915054092112562e-09,2.203435533077691e-09,-1.3263171412931312e-07,1.752042047839995e-08,2.0742148905503743e-08,7.703309747863135e-08,1.5788873462532223e-08
6,0.0,0.0,-4.5303006579549006e-09,2.5214623889192205e-09,-1.5330978437804528e-07,2.0742148905503743e-08,2.397620335982176e-08,7.16682575980883e-08,1.612616502618902e-08
7,0.0,0.0,-5.1332422924803904e-09,2.8331287076439195e-09,-1.735742932218028e-07,2.397620335982176e-08,2.7145586618946123e-08,7.16682575980883e-08,1.612616502618902e-08
8,78.0,160.0,-5.717251885696857e-09,3.1481840374253242e-09,-1.9335719003712215e-07,2.7145586618946123e-08,3.0236531790638156e-08,7.709675125583447e-08,1.6061314124014396e-08
9,0.0,0.0,-6.296454495667509e-09,3.447315923179901e-09,-2.1282075076769814e-07,3.0236531790638156e-08,3.328071039316762e-08,7.16682575980883e-08,1.612616502618902e-08
10,0.0,0.0,-6.864073053438747e-09,3.7404651712193864e-09,-2.318950402836626e-07,3.328071039316762e-08,3.6264010477687026e-08,7.16682575980883e-08,1.612616502618902e-08
11,172.33333333333334,133.0,-7.420822226398025e-09,4.086010504282728e-09,-2.502819963332432e-07,3.6264010477687026e-08,3.913420152183982e-08,9.924577432888806e-08,1.589721555726056e-08
12,170.0,143.0,-7.715048325750662e-09,4.342356477523366e-09,-2.6527124280693276e-07,3.913420152183982e-08,4.150556570858123e-08,8.261393253885301e-08,1.4076054657110745e-08
13,0.0,0.0,-8.25429500692024e-09,4.617604914475981e-09,-2.8329652248211256e-07,4.150556570858123e-08,4.4324048962030484e-08,7.16682575980883e-08,1.612616502618902e-08
14,0.0,0.0,-8.782756754466422e-09,4.8873483826895446e-09,-3.0096129656378874e-07,4.4324048962030484e-08,4.7086214723404926e-08,7.16682575980883e-08,1.612616502618902e-08
15,0.0,0.0,-9.300649267061682e-09,5.1516969815388365e-09,-3.1827277516383143e-07,4.7086214723404926e-08,4.979317893664976e-08,7.16682575980883e-08,1.612616502618902e-08
16,0.0,0.0,-9.808183929405035e-09,5.410758608411143e-09,-3.3523802419187325e-07,4.979317893664976e-08,5.2446037766677824e-08,7.16682575980883e-08,1.612616502618902e-08
17,0.0,0.0,-1.0305567898501525e-08,5.664639002746003e-09,-3.518639682393542e-07,5.2446037766677824e-08,5.5045867270688115e-08,7.16682575980883e-08,1.612616502618902e-08
