timestep,E_power_sum,D_power_sum,num_airy,r0_ref
380,320426583.77045584,337623645.2218394,5,0.017
400,326907108.42151475,337725872.5933173,5,0.017
420,323615227.91812307,336743333.710732,5,0.017
440,324901675.15532637,338392116.8833379,5,0.017
460,318225855.93864965,338068355.77509075,5,0.017
480,321453760.40849245,337106733.43543863,5,0.017
500,329790493.93945825,340441912.67995644,5,0.017
520,332743737.6279216,339809093.14903706,5,0.017
540,333263694.5157982,339664029.0546989,5,0.017
560,316354886.867133,337670218.915127,5,0.017
580,317713018.9029306,338115967.0588852,5,0.017
600,319675831.3028112,335217121.4591465,5,0.017
620,321899433.30713475,336019673.53099334,5,0.017
640,324509359.0978135,336221419.75259197,5,0.017
660,321102215.4704151,335333087.1026551,5,0.017
680,314302778.059668,335376606.25028616,5,0.017
700,323987901.9862305,338213181.1038521,5,0.017
720,317560149.69297624,339635923.840733,5,0.017
740,325987665.9664626,338688819.763625,5,0.017
760,325177610.028681,337367326.7072744,5,0.017
780,322858672.74194527,337736640.1447467,5,0.017
0,332934644.1546217,332934644.1546217,5,0.017
20,332326168.53832346,339991905.1464266,5,0.017
40,329999416.08273363,338469368.1583123,5,0.017
60,329018700.30171895,338502086.25748867,5,0.017
80,324233387.90735674,335288757.01906145,5,0.017
100,320309402.7565652,333422020.055759,5,0.017
120,320163164.75097346,335430408.92645645,5,0.017
140,320075584.9201474,333743383.41504264,5,0.017
160,323762091.46751976,336464047.66107965,5,0.017
180,321671663.1093949,336314642.2170715,5,0.017
200,318631153.61822844,334448461.36637425,5,0.017
220,322171883.34642047,335856733.70909625,5,0.017
240,316385081.85056674,336937394.39225703,5,0.017
260,318106357.0158424,334799374.83349186,5,0.017
280,316972481.89849627,333515089.540117,5,0.017
300,313409578.61587274,334463144.8038541,5,0.017
320,310951986.1657369,335881916.20863205,5,0.017
340,316085691.9092877,337215601.84891915,5,0.017
360,317411545.85013974,340350423.889509,5,0.017
380,315729930.234394,340739857.7465042,5,0.017
400,323359492.75135815,339760183.54609,5,0.017
420,327903083.5708198,340565353.9611505,5,0.017
440,329372375.0921916,339010517.26098526,5,0.017
460,333880416.56990814,339099527.7252855,5,0.017
480,328615765.61408854,337133570.43759584,5,0.017
500,318348522.3160811,336015683.10185546,5,0.017
520,325879905.0097964,339058328.9839444,5,0.017
540,321323334.0223465,338025515.37656045,5,0.017
560,326478126.1892475,339517800.15474963,5,0.017
580,330567850.2344229,339274326.1479269,5,0.017
600,330838176.799113,338488185.61881876,5,0.017
620,331471823.097397,342066110.3928014,5,0.017
640,323233136.95634735,338905397.56002635,5,0.017
660,316474637.8129139,338114416.9332787,5,0.017
680,313573107.2015709,339736682.5226462,5,0.017
700,313527175.0661758,338428503.92695844,5,0.017
720,324845226.4047235,338717008.1076069,5,0.017
740,326062556.53262126,339056940.64128953,5,0.017
760,327915171.09301865,339720308.4886586,5,0.017
780,326732962.6130552,335903823.92332494,5,0.017
0,50712630.71813768,50712630.71813768,1,0.01
20,11022710.26891491,24763662.135551605,1,0.01
40,20031530.85298787,37664202.20529592,1,0.01
60,15265440.788826857,16405334.59561916,1,0.01
80,32301003.867538616,32970733.317467317,1,0.01
100,20050761.373512164,29849959.50432343,1,0.01
120,16914016.84976594,22217934.47798365,1,0.01
140,10799513.803035058,31448168.972328626,1,0.01
160,32923336.25089382,36584754.34098908,1,0.01
180,19283545.54607318,26239801.160703264,1,0.01
200,21945461.37355803,47666867.42413004,1,0.01
220,13561045.583992738,41125672.91980644,1,0.01
240,9578267.325358476,23479986.881291505,1,0.01
260,36459900.96796675,44921608.85916897,1,0.01
280,28038935.139694724,33882834.244767345,1,0.01
300,19794331.64566472,46363674.8003878,1,0.01
320,17525872.502885617,26083493.83406894,1,0.01
340,5924285.3799884245,43941312.81708129,1,0.01
360,14934291.094030108,35352989.08419709,1,0.01
380,40016973.20175563,66437040.959767066,1,0.01
400,23566599.959225263,34786773.87964615,1,0.01
420,37459192.22073912,18293323.818615414,1,0.01
440,9426487.628188107,18344153.72601793,1,0.01
460,8835970.605485603,30085336.25253675,1,0.01
480,9418782.379425902,34161723.01717362,1,0.01
500,36154325.72860666,26751692.84008466,1,0.01
520,13284570.002594296,43480793.0986687,1,0.01
540,3901041.1190298297,17428051.76113887,1,0.01
560,8613138.94787718,24966212.3351786,1,0.01
580,6987946.839068564,59133014.13940309,1,0.01
600,35270246.34426163,46524012.57781981,1,0.01
620,15165504.05898204,21617286.83790281,1,0.01
640,25960314.0949556,42769514.72082217,1,0.01
660,11176725.059244543,19496669.744777925,1,0.01
680,24180232.311392155,48310750.570787854,1,0.01
700,11337640.84542841,25624541.694758657,1,0.01
720,27437392.07654464,44477603.346140906,1,0.01
740,30648810.398941323,41127421.17058618,1,0.01
760,5874210.05217413,22259521.42737174,1,0.01
780,23228090.258056916,25241432.310541704,1,0.01
0,206071729.9186079,206071729.9186079,1,0.05
20,197579425.6395133,204554432.07657993,1,0.05
40,210068594.17943788,213670265.33379605,1,0.05
60,203826433.01208663,209534952.49243137,1,0.05
80,106968522.92490406,191370354.87207973,1,0.05
100,192714640.57794145,207265864.83135247,1,0.05
120,195492356.96036795,221876212.8226642,1,0.05
140,171508157.5604441,202060176.87618828,1,0.05
160,201370317.58860317,196437952.37363487,1,0.05
180,191449039.92818367,189499023.5169233,1,0.05
200,110300573.909613,211366040.21209812,1,0.05
220,111118378.10158192,167875681.70589682,1,0.05
240,171902216.94323972,184139749.88643345,1,0.05
260,185005955.76149213,205051792.4457431,1,0.05
280,209758115.08987528,212956316.1699651,1,0.05
300,154199424.8217588,166747464.65379763,1,0.05
320,179096308.8134743,216726138.65600505,1,0.05
340,183497948.2979874,173791461.20927903,1,0.05
360,183833195.77931708,202811601.03480655,1,0.05
380,170235619.79671395,181361025.63473213,1,0.05
400,180048582.04857862,184356094.87742695,1,0.05
420,180098930.74701858,194411938.4015824,1,0.05
440,209557817.5548209,207813236.57688993,1,0.05
460,130506959.26087028,154609070.1035447,1,0.05
480,143331998.4100244,191118425.11987895,1,0.05
500,82401553.78497401,171510583.3400445,1,0.05
520,127861395.1498576,180868544.26947245,1,0.05
540,175718545.33198673,177990390.88607216,1,0.05
560,175750358.15560353,201025705.4409369,1,0.05
580,210016861.6270475,216041124.00089064,1,0.05
600,186993312.19027787,195276020.66287327,1,0.05
620,203559478.36594725,212727927.36798185,1,0.05
640,200712526.60904935,208359039.5067705,1,0.05
660,163164585.98709255,221991760.904614,1,0.05
680,130577700.46337126,139773988.39098516,1,0.05
700,211155296.3359254,217439620.7134751,1,0.05
720,219945867.5700106,219671102.18006992,1,0.05
740,130477741.95286344,191573521.32384,1,0.05
760,193244111.9849897,211007095.482841,1,0.05
780,194274163.5540283,209301644.76767248,1,0.05
0,114469127.8416214,114469127.8416214,1,0.03
20,40723436.13973121,151287392.24954084,1,0.03
40,145976362.39996237,180115883.3135654,1,0.03
60,104283022.5028784,143196136.58658338,1,0.03
80,169772124.93477872,169816729.37166128,1,0.03
100,72227670.51028438,115965172.29705842,1,0.03
120,140691372.5469646,148032468.39149117,1,0.03
140,139355730.79976666,143841807.0989533,1,0.03
160,81003410.04389384,162214166.80402625,1,0.03
180,172597846.8492823,176821434.9352941,1,0.03
200,96822432.97394964,148988197.99036488,1,0.03
220,56947681.86440263,105156946.3520258,1,0.03
240,143445379.26142478,142906021.23509818,1,0.03
260,33428458.984407604,127637488.54799798,1,0.03
280,69102991.06561638,128338576.45196287,1,0.03
300,83612705.42967793,176677828.37595987,1,0.03
320,47763166.77362465,170406465.34257224,1,0.03
340,92288602.91071296,116262681.35423794,1,0.03
360,93024890.11544126,151888435.560673,1,0.03
380,154018363.5891345,163970861.73905784,1,0.03
400,192712605.05049863,199283247.30915195,1,0.03
420,145171856.03131992,170187299.0363781,1,0.03
440,90974775.61888836,95678240.05767833,1,0.03
460,163833137.51871145,187231291.81575185,1,0.03
480,79914439.34709552,132948524.07761246,1,0.03
500,33012390.48367317,163574649.15551403,1,0.03
520,106949043.94048028,160863001.75067472,1,0.03
540,183693765.5708849,190858949.73922583,1,0.03
560,187468048.31406027,187909111.06884408,1,0.03
580,166351709.26760548,172078696.33774284,1,0.03
600,140819437.36309382,167124472.08088756,1,0.03
620,145469746.17203864,149186193.003234,1,0.03
640,149314971.93941998,153766547.98089927,1,0.03
660,93402183.40234378,143903499.6103024,1,0.03
680,101586844.86200672,187476074.89313343,1,0.03
700,73947531.3001413,126549589.62182409,1,0.03
720,136275544.64289117,155057043.90291953,1,0.03
740,125870118.93636563,180299680.52398857,1,0.03
760,85359604.36038883,172027983.0468988,1,0.03
780,102858005.95402008,124699269.14894895,1,0.03
0,222252609.50186032,222252609.50186032,1,0.07
20,225429692.5128159,230785809.6065301,1,0.07
40,180599970.66307068,220894824.0486026,1,0.07
60,219383647.5193183,225601852.1396098,1,0.07
80,206933434.88128135,220465375.77706385,1,0.07
100,187467780.51105088,227797481.1412542,1,0.07
120,138682733.6051575,199312203.68531063,1,0.07
140,197548720.20329973,225016078.40352905,1,0.07
160,215484516.44790775,224745493.22349143,1,0.07
180,216584609.4990642,229439166.723338,1,0.07
200,214572622.21099323,225512160.51630753,1,0.07
220,105361765.6539467,218449657.8007124,1,0.07
240,223006295.0745014,221230931.65366703,1,0.07
260,203130610.82702556,212778189.86467743,1,0.07
280,224938888.0721267,221306805.7739215,1,0.07
300,221878816.15172732,229195452.3434872,1,0.07
320,207013573.620212,231639309.58083215,1,0.07
340,205162417.63387424,214992580.0644516,1,0.07
360,194471036.08286113,217258852.64677343,1,0.07
380,224931381.32425493,226109518.4829698,1,0.07
400,217823431.210621,220772075.91140395,1,0.07
420,223910818.3745323,235543179.6433429,1,0.07
440,212114202.21831924,223472027.89718115,1,0.07
460,235212785.68922964,234905251.64271563,1,0.07
480,128525983.30475166,204621695.29165524,1,0.07
500,210232935.39271167,227530189.73300168,1,0.07
520,202391830.7825524,205270620.46890545,1,0.07
540,200841083.8850978,220749917.5130743,1,0.07
560,193885097.0309475,225216123.77688336,1,0.07
580,219703693.46820977,226913204.8199531,1,0.07
600,204726808.742056,213750420.8102208,1,0.07
620,203382371.05029276,219880739.8265279,1,0.07
640,225412635.9253536,227610893.39479852,1,0.07
660,168682444.3780391,190417867.50616735,1,0.07
680,139198221.56687862,222409627.24700215,1,0.07
700,183399352.4349835,208167198.20220575,1,0.07
720,185582744.0552704,191131492.47221017,1,0.07
740,201377640.3211415,219482786.50098592,1,0.07
760,185729001.2039976,226496740.8838258,1,0.07
780,195602014.69700927,217742302.1870219,1,0.07
0,232668376.9003037,232668376.9003037,1,0.2
20,240645319.86276817,241888412.01494423,1,0.2
40,242886087.13726312,244390877.13575447,1,0.2
60,241952081.7847727,242701107.54951105,1,0.2
80,240668530.89473635,239902121.81822947,1,0.2
100,242994127.5604777,241553833.3096351,1,0.2
120,239552234.06795284,240272505.0822985,1,0.2
140,240598551.2182552,242058310.49398428,1,0.2
160,243664144.23363575,244290098.34653747,1,0.2
180,239402952.17856792,239342146.95304835,1,0.2
200,240883039.9984706,241811245.93255204,1,0.2
220,240936973.99229103,240537334.5134061,1,0.2
240,244429749.8052942,243389416.52902868,1,0.2
260,240485346.47493052,241952881.38293576,1,0.2
280,240457389.65851095,240971394.0708671,1,0.2
300,238657301.86057597,239557396.9601085,1,0.2
320,242425861.71407968,244177493.1329772,1,0.2
340,239856000.8897286,242160664.21223652,1,0.2
360,238160616.24207345,240440796.0260248,1,0.2
380,241848257.93953025,241140336.92775592,1,0.2
400,237952555.3554126,240560643.00066903,1,0.2
420,242919148.38638577,242950056.08678415,1,0.2
440,242148186.4228381,242297361.7812197,1,0.2
460,240738839.28574583,243727266.36483485,1,0.2
480,239035492.20782897,242768850.4855716,1,0.2
500,240053895.6785541,242576672.3497441,1,0.2
520,235046514.99725065,240699490.3875996,1,0.2
540,237331773.21137553,242824747.9250176,1,0.2
560,240626728.0385029,242020312.72313297,1,0.2
580,237703183.49686208,241180599.79288536,1,0.2
600,238508000.91454387,243370679.71672377,1,0.2
620,228060728.17804337,237100410.09956467,1,0.2
640,240653221.66443235,241541759.53457797,1,0.2
660,243767230.56156367,242774586.36121315,1,0.2
680,233905486.36261767,242442516.87905863,1,0.2
700,239035727.21064308,240401509.63227352,1,0.2
720,239194789.75072157,242805040.29847687,1,0.2
740,243438999.89836437,243431354.96815687,1,0.2
760,236270811.8265633,241665116.4928619,1,0.2
780,240355993.249184,242507688.7411033,1,0.2
0,19742132.025700927,19742132.025700927,1,0.01
20,18781212.100308925,24776468.415740885,1,0.01
40,25018140.904274732,41695148.24606623,1,0.01
60,5652738.178493362,27039795.777066886,1,0.01
80,17169632.16932649,25864354.77383409,1,0.01
100,10673558.99286282,44522368.123472385,1,0.01
120,25471723.433821224,29204151.001268446,1,0.01
140,7407441.352772584,55644992.14743447,1,0.01
160,14891463.781302948,21475005.06429766,1,0.01
180,17207622.871350944,25325500.0071063,1,0.01
200,1966015.7157287684,11483243.761781989,1,0.01
220,2146342.0701716784,31642181.76589655,1,0.01
240,6212235.572507692,44297081.38110182,1,0.01
260,28000934.422442596,10827116.61051816,1,0.01
280,20553149.492255896,39414993.8113057,1,0.01
300,17724694.65493957,11124173.071529374,1,0.01
320,8689747.650585799,25749831.186538447,1,0.01
340,20046097.47125034,56699071.33735125,1,0.01
360,32942718.2334215,46752603.74905011,1,0.01
380,87076763.4890913,79273369.24584818,1,0.01
400,44495885.9595766,42610961.08330773,1,0.01
420,19432983.822477613,38223538.32415269,1,0.01
440,27345192.79194104,22582346.86474762,1,0.01
460,22302598.72294048,19286040.50715842,1,0.01
480,12923906.139259811,23338338.854123995,1,0.01
500,4376928.2708241865,17637392.782200098,1,0.01
520,7762146.706100313,65148459.332549855,1,0.01
540,7462402.982509363,41184361.42038437,1,0.01
560,35482403.76005162,15041602.844945371,1,0.01
580,33786498.133740425,43393520.13171905,1,0.01
600,20356481.973232787,20681265.36038397,1,0.01
620,10773294.14485089,24621178.711425528,1,0.01
640,37041625.44162654,31648916.063357662,1,0.01
660,33272582.81028607,49032351.9809123,1,0.01
680,10913558.72661806,34705397.506427296,1,0.01
700,8512738.068758572,36127694.98833923,1,0.01
720,5093305.7825856805,44010071.75842129,1,0.01
740,12052846.264822207,38857885.44831076,1,0.01
760,17772778.683281824,34743747.75677952,1,0.01
780,11620342.150685672,32291306.054722227,1,0.01
0,199220524.58633697,199220524.58633697,1,0.05
20,192445649.5625379,206360411.8749261,1,0.05
40,184109638.83321407,226896189.2515012,1,0.05
60,57689547.581807405,198470605.81711423,1,0.05
80,195290424.86958575,208617018.3683645,1,0.05
100,190014686.6108848,199481906.9482085,1,0.05
120,216210953.07830125,219795930.24082056,1,0.05
140,160593374.63648435,224818633.61235535,1,0.05
160,217208543.77671465,216050408.0172739,1,0.05
180,165269351.1336242,169240037.4822126,1,0.05
200,191026151.06541532,204608871.56427908,1,0.05
220,183056775.80828303,212725307.41616607,1,0.05
240,190363053.8396481,218171270.50829655,1,0.05
260,162403567.29840237,178064829.23918945,1,0.05
280,171449867.41091615,185461044.31689444,1,0.05
300,165740828.84187928,204101621.31723484,1,0.05
320,223238234.77879947,215584515.01533005,1,0.05
340,206287503.06921545,206422978.29477632,1,0.05
360,86365192.24245489,198334974.90413263,1,0.05
380,210438528.15122417,219750012.1561014,1,0.05
400,115193846.74955156,171256410.60990375,1,0.05
420,102531503.61185606,215066871.8384511,1,0.05
440,128233336.23868324,215659458.55679417,1,0.05
460,222898928.9757653,226512380.61961773,1,0.05
480,197254895.59890875,193164995.3988068,1,0.05
500,176772304.54647535,190312759.2226821,1,0.05
520,174951942.90951508,196878877.1323357,1,0.05
540,199600093.78080785,208137054.59479028,1,0.05
560,168095902.15956163,183684084.0232134,1,0.05
580,174905762.9827312,203929289.00296655,1,0.05
600,203044203.62310952,206782198.68335095,1,0.05
620,216169491.23417845,219713341.2525812,1,0.05
640,122131845.7750532,155592601.64870682,1,0.05
660,216585253.5439189,219783623.567809,1,0.05
680,198689648.11009693,208258813.8797404,1,0.05
700,184679739.94640392,200826542.7183352,1,0.05
720,213359084.87981004,225210161.48355415,1,0.05
740,167534371.10951406,208796320.06245425,1,0.05
760,204333857.79135656,208136046.70900947,1,0.05
780,191616652.21770263,226773092.12907237,1,0.05
0,150939222.82400197,150939222.82400197,1,0.03
20,163514739.1097951,182162085.33364472,1,0.03
40,151341962.19777572,160962823.2136264,1,0.03
60,157171269.95101514,192303824.2370281,1,0.03
80,109087938.29559374,167657724.95898166,1,0.03
100,60583372.70683172,120579112.76529944,1,0.03
120,44757871.334142566,156202997.87235183,1,0.03
140,113994316.11160478,176666197.73648807,1,0.03
160,131577780.49127606,185073175.9845851,1,0.03
180,40814350.04098018,150786999.20733085,1,0.03
200,113312042.44638982,118456983.27047051,1,0.03
220,166917521.88842624,173365515.03866586,1,0.03
240,136631988.59789014,169121287.23198774,1,0.03
260,118549977.86429553,182551731.6964131,1,0.03
280,53634130.98252965,156084952.46627504,1,0.03
300,143610690.71951836,170646739.47102866,1,0.03
320,110439376.82365936,176743462.92470852,1,0.03
340,78047354.59332868,137560047.26415697,1,0.03
360,40150527.56070317,161224235.105879,1,0.03
380,105348849.73997214,122579375.05008642,1,0.03
400,184236639.51491073,187004172.8429,1,0.03
420,121194566.2871191,150383948.57470912,1,0.03
440,154018907.76044607,176694051.06727323,1,0.03
460,55423135.16424623,171434595.27806634,1,0.03
480,49622497.2631982,142585230.1577087,1,0.03
500,138148611.62815085,173054161.93325698,1,0.03
520,80173640.23569308,142011462.4040519,1,0.03
540,162931856.1999073,186218242.3404697,1,0.03
560,184215392.12151635,175279577.69033036,1,0.03
580,123163459.06395896,134532561.6697041,1,0.03
600,143695167.10391572,181906722.3481145,1,0.03
620,189791473.5499161,191705520.86663973,1,0.03
640,198136066.168006,197807150.1533661,1,0.03
660,132574837.71094751,166849781.88924402,1,0.03
680,183195917.73610935,181820196.1680793,1,0.03
700,125280766.64849444,175668781.07592186,1,0.03
720,138130369.57633883,160416471.10427424,1,0.03
740,158239431.6661262,172337749.86048555,1,0.03
760,66796105.20203817,156767855.27668414,1,0.03
780,119070444.2685894,133095956.41591348,1,0.03
0,191931964.51430503,191931964.51430503,1,0.07
20,208398440.74051595,225990106.0650133,1,0.07
40,211585759.9822158,217306593.64477724,1,0.07
60,216028258.51780817,218419339.8262869,1,0.07
80,167343552.61606288,221505424.6697657,1,0.07
100,226473212.22826624,230935224.66675875,1,0.07
120,205529488.81858772,229697689.15788183,1,0.07
140,198408736.9596117,218799988.5247044,1,0.07
160,228296242.8141615,225598312.1143188,1,0.07
180,213183518.23391044,220868864.74657655,1,0.07
200,229178425.65980825,229400912.27463567,1,0.07
220,216612495.7508208,219060135.27163368,1,0.07
240,208093231.9474495,209632896.0232718,1,0.07
260,208555461.6224301,220741396.83027577,1,0.07
280,197756101.4448093,206276147.3439889,1,0.07
300,214031561.2031733,226306186.03884944,1,0.07
320,210789204.171198,231646925.40797096,1,0.07
340,213899404.66870552,221887339.22357005,1,0.07
360,202499509.51716748,226258759.559557,1,0.07
380,223844701.27834028,222504841.0796436,1,0.07
400,219309444.59791255,226413075.22759303,1,0.07
420,216957984.91028348,221817458.73229492,1,0.07
440,226437175.84385413,225466738.9726538,1,0.07
460,216892471.13529864,222352906.96574873,1,0.07
480,209892984.3668185,216580015.92770553,1,0.07
500,202942670.89136523,217276339.18964657,1,0.07
520,190812954.1255577,209876186.15928343,1,0.07
540,221591354.5468983,235819334.36654416,1,0.07
560,206768221.28440344,213265001.99907896,1,0.07
580,198949950.6705616,223824666.0325796,1,0.07
600,218918819.78422993,221422988.1451902,1,0.07
620,213631678.80432647,214931703.4550994,1,0.07
640,216672362.6108183,217574583.7401861,1,0.07
660,220176408.60458055,225066721.366354,1,0.07
680,216695548.80840588,229607575.3932091,1,0.07
700,214597747.3881478,217199747.1071086,1,0.07
720,228609737.52674097,230189908.86650127,1,0.07
740,231048379.71048105,236014997.87022653,1,0.07
760,226818298.80994973,231870517.99674475,1,0.07
780,228844999.1720057,232978613.75338465,1,0.07
0,243027851.17373988,243027851.17373988,1,0.2
20,242362335.2460431,244136913.72315103,1,0.2
40,241242348.2388747,242375267.08469677,1,0.2
60,242695867.60175687,242240787.233794,1,0.2
80,241703550.81402656,241876516.34861457,1,0.2
100,241673674.17489633,242939016.3978848,1,0.2
120,243482706.48683652,243776298.2217158,1,0.2
140,240742609.1847629,242307399.3188168,1,0.2
160,240786064.3265268,242701226.55070135,1,0.2
180,243237835.06202605,243012101.6618387,1,0.2
200,241286541.11392903,241919100.4242347,1,0.2
220,239431311.96921176,240839978.89818656,1,0.2
240,241457599.74556723,241460506.31881413,1,0.2
260,241075538.07976627,240930563.1935464,1,0.2
280,242413861.1234998,242453881.23242065,1,0.2
300,238532807.39918423,237810077.58312553,1,0.2
320,237747185.86493993,242281479.59117556,1,0.2
