iteration,1. PAM Modulation_ms,2. WFS Propagation (layer_ao)_ms,3. DM Application_ms,4. SH Sensing (shwfs)_ms,5. Poisson Noise_ms,6. Slope Estimation_ms,7. Reconstruction & DM Update_ms,9. Data Logging_ms,total_ms,loop_rate_hz
0,1.3661250122822821,6.758709030691534,4.942665982525796,4.858417029026896,1.2356669758446515,1.9257920212112367,15.453541011083871,0.023250002413988113,36.564167065080255,27.349180366124802
1,0.6235409528017044,5.576708004809916,4.12287499057129,4.132208006922156,0.8475829963572323,1.9167910213582218,13.281708001159132,0.012000033166259527,30.51341400714591,32.77247179767596
2,1.0767499916255474,6.1098330188542604,30.587041983380914,5.451291974168271,0.7112910388968885,1.9303340231999755,3.7547089741565287,0.00929099041968584,49.63054199470207,20.14888332484355
3,1.0478749754838645,7.871292007621378,8.947541005909443,4.7933749738149345,0.8499589748680592,1.9010829855687916,44.45837502134964,0.011415977496653795,69.88091592211276,14.310058573281594
4,0.9591660345904529,6.0837920173071325,52.7376250247471,5.068042024504393,0.7449999684467912,1.9564160029403865,8.659832994453609,0.010458985343575478,76.22033305233344,13.119858703758124
5,1.0435000294819474,5.705457995645702,3.3486249740235507,4.1335420100949705,0.7285000174306333,1.9065419910475612,9.959375020116568,0.01670804340392351,26.842250081244856,37.25470096483146
6,0.9797499515116215,4.5765829854644835,7.796916994266212,5.042709002736956,0.724624958820641,1.8769999733194709,8.232041960582137,0.01066701952368021,29.240292846225202,34.19938388644065
7,1.1299579637125134,5.928875005338341,22.175499994773418,26.41066600335762,0.9137499728240073,1.8894579843617976,22.461333021055907,0.018250022549182177,80.92778996797279,12.356694781801783
8,0.9122079936787486,8.690708025824279,15.016541990917176,4.576000035740435,0.7049579871818423,1.8603749922476709,16.18370896903798,0.010082963854074478,47.954582958482206,20.85306426010989
9,0.979500007815659,5.043749988544732,22.266499989200383,4.823792027309537,0.7980000227689743,1.9712080247700214,19.55774996895343,0.010957999620586634,55.451458028983325,18.0337909145206
10,0.9499160223640501,5.983834038488567,9.929666994139552,6.064666958991438,0.7196670048870146,1.9243750139139593,35.665165982209146,0.008834002073854208,61.24612601706758,16.32756330941369
11,1.0391250252723694,5.882333032786846,11.161333008203655,5.714207945857197,0.795917003415525,1.9242080161347985,20.8531660027802,0.009208975825458765,47.37949901027605,21.106175052275496
12,1.057624991517514,5.359124974347651,17.724208009894937,5.3418330498971045,0.7708750199526548,1.8560829921625555,22.778542013838887,0.009541981853544712,54.89783303346485,18.215655240716256
13,1.21795799350366,7.170542026869953,15.897916979156435,5.254457995761186,0.7372090476565063,1.847792009357363,22.862583049573004,0.009083014447242022,54.99754211632535,18.182630741659313
14,1.3392919790931046,5.1869170274585485,34.060665988363326,5.198165948968381,0.8085000445134938,1.855375012382865,12.664459005463868,0.01070898724719882,61.124083993490785,16.360163370407182
15,1.0690829949453473,6.2238749815151095,26.236708043143153,5.267459026072174,0.8191249798983335,1.8515420379117131,13.416374975349754,0.014708028174936771,54.89887506701052,18.215309490028396
16,1.1844169930554926,6.402208004146814,27.06220804248005,5.173000041395426,0.760916038416326,1.9356249831616879,17.60900003137067,0.009458046406507492,60.136832180432975,16.628744211195333
17,1.0701660066843033,6.640249979682267,14.82741697691381,5.6563340476714075,0.7186249713413417,1.974417013116181,22.095917025581002,0.009624985978007317,52.99275100696832,18.870505512508764
18,0.9365829755552113,3.9213340496644378,9.53333399957046,3.9577080169692636,0.8470839820802212,1.9128750427626073,20.780583028681576,0.009709037840366364,41.89921013312414,23.866798367385755
19,1.0669170296750963,5.934415967203677,19.03687504818663,5.700166977476329,0.7089589489623904,1.8772499752230942,21.062790998257697,0.009792041964828968,55.39716698694974,18.051464621567675
20,1.0195839568041265,6.962250045035034,19.726499973330647,4.974249983206391,0.705457990989089,1.9591670134104788,7.769167015794665,0.015625031664967537,43.1320010102354,23.184641949783316
21,1.022125012241304,6.611582997720689,15.42316604172811,4.688625049311668,0.8104579756036401,1.862292003352195,23.319083033129573,0.009292038157582283,53.74662415124476,18.605819728992973
22,2.233958977740258,5.9317079721949995,33.76679198117927,5.216958001255989,0.749582948628813,1.9081669743172824,18.215666990727186,0.013584038242697716,68.0364178842865,14.698010728618288
23,17.134624999016523,9.217415994498879,53.87341696768999,4.499665985349566,0.7215419900603592,1.8794590141624212,5.567707994487137,0.015291036106646061,92.90912398137152,10.763205562033953
24,3.1915410072542727,6.7632500431500375,22.630207997281104,4.926291992887855,0.7056249887682498,1.9239580142311752,36.15791699849069,0.013999990187585354,76.31279103225097,13.103963129554316
25,1.0852499981410801,13.278874976094812,40.00641603488475,10.107667010743171,1.1355419992469251,1.857584051322192,12.833292013965547,0.012042000889778137,80.31666808528826,12.45071569625
26,1.0033330181613564,4.457000002730638,4.954790987540036,2.8301660204306245,0.7132919854484499,1.9469159888103604,21.771042025648057,0.014791963621973991,37.6913319923915,26.53129903187989
27,0.9949579834938049,5.579167045652866,6.457999988924712,5.76966698281467,0.8489590254612267,2.030500036198646,3.3980419975705445,0.009583018254488707,25.08887607837096,39.85830201704798
28,1.9887500093318522,6.447541993111372,12.98658299492672,4.737417038995773,0.7622080156579614,3.3685830421745777,69.18175000464544,0.052875024266541004,99.52570812311023,10.047655212490735
29,1.3998330105096102,11.675124987959862,13.313833042047918,4.036042024381459,0.7833749987185001,2.015999983996153,7.76949996361509,0.017250014934688807,41.01095802616328,24.383726889823976
30,1.0560000082477927,5.399207992013544,12.244666984770447,4.8905000439845026,0.71312504587695,1.8961249734275043,19.40004201605916,0.01491699367761612,45.61458405805752,21.92281307941372
31,1.1348749976605177,6.644874985795468,10.800040967296809,4.327333008404821,0.7367919897660613,1.874124980531633,17.865374975372106,0.008959032129496336,43.39237493695691,23.045523584566666
32,0.9295839699916542,5.494666984304786,17.740999988745898,5.116374988574535,0.7090420112945139,1.9563339883461595,21.708957967348397,0.016625039279460907,53.672584937885404,18.631485723247486
33,1.0284580057486892,6.126708991359919,18.037915986496955,3.906334051862359,0.7042919751256704,1.9175829947926104,12.82887498382479,0.008792034350335598,44.55895902356133,22.4421759824154
34,1.0559579823166132,6.204749981407076,19.16662498842925,4.889084026217461,0.8561669965274632,1.9554170430637896,35.037207999266684,0.013583980035036802,69.17879299726337,14.455297016233844
35,0.8858750225044787,4.752499982714653,11.691042047459632,3.2740840106271207,0.760834023822099,1.8886670004576445,27.205374964978546,0.01650000922381878,50.47487706178799,19.811836268087713
36,0.9618750191293657,6.309792050160468,7.969041005708277,4.983374965377152,0.7142089889384806,1.8616660381667316,18.902791023720056,0.008624978363513947,41.711374069564044,23.97427613706162
37,5.503416003193706,5.604000005405396,16.30970899714157,4.7188340104185045,0.7029999978840351,1.887582999188453,13.854250020813197,0.009040988516062498,48.589833022560924,20.580437054304884
38,1.2494579423218966,6.854332983493805,28.998832975048572,4.745208017993718,0.7354579865932465,1.838749973103404,24.96337500633672,0.012416974641382694,69.39783185953274,14.409672077711118
39,0.9646250400692225,5.577958014328033,30.55095800664276,4.422415979206562,0.9662920492701232,1.8474170356057584,22.005041013471782,0.008874980267137289,66.34358211886138,15.073048033619843
40,1.091291953343898,5.496541038155556,10.704083018936217,5.2502090111374855,0.7345419726334512,1.9377500284463167,13.10383400414139,0.013834040146321058,38.332085066940635,26.08780603125725
41,1.047083002049476,6.324874993879348,8.873959013726562,7.35062500461936,0.9247079724445939,1.8708339775912464,3.371707978658378,0.038416997995227575,29.802208940964192,33.554559730150224
42,1.007749990094453,6.593625003006309,12.94270803919062,4.499208997003734,0.7154580089263618,2.11537501309067,4.2888339958153665,0.013792014215141535,32.17675106134266,31.07833970227672
43,0.7372499676421285,6.424416962545365,2.9224579920992255,5.2480410085991025,0.7617080118507147,1.9582919776439667,12.242582975886762,0.015374971553683281,30.31012386782095,32.99227691582152
44,1.0377910220995545,3.687207994516939,5.0634159706532955,3.039416973479092,0.7827910012565553,1.8502500024624169,11.351833993103355,0.013249984476715326,26.825956942047924,37.27732815497686
45,1.0292080114595592,5.941082956269383,24.800957995466888,4.316959006246179,0.707958999555558,1.8607500242069364,12.398833001498133,0.009499955922365189,51.065249950625,19.582788705957576
46,0.9797090315259993,5.829041998367757,24.157125037163496,5.745417030993849,0.7578749791719019,1.8711250158958137,19.862833025399595,0.00966701190918684,59.2127931304276,16.888242339747546
47,1.4936249935999513,6.519958027638495,23.67154200328514,5.030250002164394,0.7110000005923212,1.942708040587604,4.814000043552369,0.009999959729611874,44.193083071149886,22.627975477294086
48,0.9813749929890037,5.672624974977225,23.53479096200317,4.277833038941026,0.762708019465208,1.9265419687144458,23.877249972429127,0.014041026588529348,61.047164956107736,16.380777071613224
49,1.0641670087352395,5.318791954778135,15.928499982692301,4.436208982951939,0.7340000011026859,1.8692080047912896,22.85574999405071,0.009374984074383974,52.216000913176686,19.151217682540878
