timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,127.61761949390815,127.47758020823971,1.7837316330946184e-10,7.37934347315891e-09,-7.620674743393476e-10,0.0,1.0379095027684526e-09,1.0163356544866284e-07,6.4869343923028265e-09
1,127.6703584735963,127.42203263523064,3.3863338379925013e-10,1.4344486269643795e-08,-1.4263788661476047e-09,1.0379095027684526e-09,2.0062713531823776e-09,1.011975572828091e-07,6.192875102976257e-09
2,127.64949101934178,127.50249505335222,5.090359575193688e-10,2.0880935954906563e-08,-2.1046042730718144e-09,2.0062713531823776e-09,2.9336425748714018e-09,1.0018956732421935e-07,6.066799095724353e-09
3,127.4208052724457,127.38693670286928,6.648970744579673e-10,2.7273241267348198e-08,-2.8238401046965947e-09,2.9336425748714018e-09,3.842667089113164e-09,9.956151271879907e-08,6.0693507659424204e-09
4,127.47275716238501,127.51391186374606,8.1249115528028e-10,3.3766456000477765e-08,-3.5233279825714173e-09,3.842667089113164e-09,4.739414322174577e-09,9.861719244429096e-08,6.1057739555606895e-09
5,127.55040681348297,127.46903897386314,9.608424354444379e-10,4.040598204822904e-08,-4.247128899274672e-09,4.739414322174577e-09,5.6626636377020505e-09,1.0086827887433409e-07,6.384834365079043e-09
6,127.42256161748622,127.22129020856332,1.1063037781953277e-09,4.633533241448583e-08,-4.964865693466779e-09,5.6626636377020505e-09,6.490155466879671e-09,9.806334924423216e-08,5.9123263495010125e-09
7,127.4829512097148,127.43956575925182,1.2443149308183774e-09,5.2306648915728186e-08,-5.618196729666231e-09,6.490155466879671e-09,7.311526751460786e-09,9.928182810940743e-08,5.979145925372851e-09
8,127.49401678275767,127.31776448743858,1.3341911208557969e-09,5.8119232800174106e-08,-6.476224538654397e-09,7.311526751460786e-09,8.101263995123872e-09,9.900391596198044e-08,5.931711844860933e-09
9,127.41538643164752,127.30508261429722,1.4258169164253434e-09,6.367400480180928e-08,-7.228371966046316e-09,8.101263995123872e-09,8.848243669875143e-09,9.870124201401249e-08,5.790427867541343e-09
10,127.47789353094906,127.39535930363984,1.5177603591623896e-09,6.887136247872476e-08,-8.026585668728877e-09,8.848243669875143e-09,9.546153881613419e-09,9.602744865172065e-08,5.624611758187614e-09
11,127.43624193788386,127.45570646457287,1.5763465734894952e-09,7.400098784185846e-08,-8.862923640273581e-09,9.546153881613419e-09,1.022304447795479e-08,9.6311352878228e-08,5.587363715718082e-09
12,127.60882948437292,127.41325964295625,1.6347075754701567e-09,7.894560024371953e-08,-9.640532355117996e-09,1.022304447795479e-08,1.0881860218769949e-08,9.614958481523478e-08,5.571945700027867e-09
13,127.47173787491818,127.28255194630184,1.6920300221623697e-09,8.400555104220702e-08,-1.0452154328549543e-08,1.0881860218769949e-08,1.1543875132059369e-08,9.455657408447111e-08,5.646428377198206e-09
14,127.46534303065118,127.41922007714086,1.7697284516315988e-09,8.895089741678026e-08,-1.1125217080250547e-08,1.1543875132059369e-08,1.2179754079189765e-08,9.7417375304376e-08,5.699400535079064e-09
15,127.54519616185019,127.261548279291,1.8048781212353862e-09,9.370280414004035e-08,-1.160938071612516e-08,1.2179754079189765e-08,1.2786956560820986e-08,9.505394553070881e-08,5.606867767334954e-09
16,127.6100431189364,127.49952004517222,1.8572731623761786e-09,9.819129538563563e-08,-1.200492001328086e-08,1.2786956560820986e-08,1.3358974933369509e-08,9.312120670398103e-08,5.516479671164779e-09
17,127.45023296956481,127.39952223239356,1.9237711886801853e-09,1.0262979293382021e-07,-1.2359080872249757e-08,1.3358974933369509e-08,1.392443097383744e-08,9.29029832065298e-08,5.456142446698733e-09
18,127.3429263797224,127.403177488044,1.996475813230374e-09,1.0686983798262366e-07,-1.2817181485530702e-08,1.392443097383744e-08,1.4462782923437435e-08,9.27609258541961e-08,5.40700959075945e-09
19,127.59041561602892,127.37197198071107,2.0555968547153258e-09,1.1083760754217308e-07,-1.3377741390889427e-08,1.4462782923437435e-08,1.497808986846137e-08,9.370507215492987e-08,5.299175312332649e-09
20,127.49206926864024,127.1446983656722,2.1256162834910173e-09,1.144857900825282e-07,-1.3816183165036973e-08,1.497808986846137e-08,1.543976474226175e-08,9.32262497013213e-08,5.10233667089652e-09
21,127.49378712267963,127.35373247296378,2.17341198514186e-09,1.1817779529707337e-07,-1.4152855110740675e-08,1.543976474226175e-08,1.5910338278900153e-08,9.200302897325489e-08,5.1086282272057315e-09
22,127.44112922914819,127.30491242948743,2.2468545486576233e-09,1.219465079091065e-07,-1.4449721288435624e-08,1.5910338278900153e-08,1.638841432051015e-08,9.29255790380273e-08,5.272905436928406e-09
23,127.58775775537521,127.53669678984667,2.3209383863981654e-09,1.254259382195336e-07,-1.4773409327871886e-08,1.638841432051015e-08,1.6830008213670157e-08,9.186642205205702e-08,5.087858609267966e-09
24,127.55784702170823,127.38945211361398,2.4111943354364083e-09,1.286487499198008e-07,-1.50488693175814e-08,1.6830008213670157e-08,1.725222509520069e-08,9.133376595801496e-08,5.007743103195219e-09
25,127.40578222476564,127.39014876423295,2.4820206306075573e-09,1.3186841643081975e-07,-1.5406587781833636e-08,1.725222509520069e-08,1.76694560280683e-08,9.296819373296007e-08,5.092260952061718e-09
26,127.38717984266847,127.52252141228665,2.554362356609958e-09,1.3524493531203783e-07,-1.563048334008891e-08,1.76694560280683e-08,1.8097963601532358e-08,9.121044950681058e-08,5.221892930282589e-09
27,127.59695349888061,127.35072247211781,2.6377412370998797e-09,1.3821333351917072e-07,-1.6000680988411047e-08,1.8097963601532358e-08,1.8487039961500918e-08,9.058508944622893e-08,5.0748271323848765e-09
28,127.54168000799199,127.41480464457429,2.696237219330753e-09,1.4095259964790742e-07,-1.6246830437203453e-08,1.8487039961500918e-08,1.884998504432356e-08,8.987819679338309e-08,4.930481339866591e-09
29,127.50686335451589,127.29148707726925,2.7681707973660868e-09,1.439734564417973e-07,-1.6622231671345436e-08,1.884998504432356e-08,1.9248353787647383e-08,9.093255121043469e-08,5.220566467975059e-09
30,127.67162588084561,127.4358334401025,2.861442577898797e-09,1.4713952747736785e-07,-1.6692945399019846e-08,1.9248353787647383e-08,1.9662348526812396e-08,9.251061087709691e-08,5.3664933704200825e-09
31,127.39247807084881,127.37960716881096,2.930852747196928e-09,1.5014484890314092e-07,-1.693723284311061e-08,1.9662348526812396e-08,2.005842934897824e-08,9.06874056065333e-08,5.2552770187177725e-09
32,127.46631557313877,127.33295740636079,2.99954850041793e-09,1.5293083973928896e-07,-1.7108521557365127e-08,2.005842934897824e-08,2.0429266962686408e-08,8.894315584317471e-08,5.154552290981708e-09
33,127.44456401687859,127.44810656478408,3.056391722787879e-09,1.5573546940971091e-07,-1.7495198806660537e-08,2.0429266962686408e-08,2.0802516408341507e-08,8.898030921112361e-08,5.1873860337502554e-09
34,127.46706659068623,127.47908998033749,3.087304794180276e-09,1.5799494766441698e-07,-1.7781357747872064e-08,2.0802516408341507e-08,2.1102759201559444e-08,8.860274147610963e-08,4.786703601023575e-09
35,127.42329412970507,127.14929407845851,3.123366580422866e-09,1.608490254997893e-07,-1.8043782344805797e-08,2.1102759201559444e-08,2.146510175239415e-08,8.890912879998839e-08,5.1650195589095846e-09
