timestep,power_in_focal,power_send
0,3822.955051784154,6181.083450598342
1,3856.1662163161586,6181.083450598342
2,3887.181094247011,6181.083450598342
3,3915.9199619843594,6181.083450598342
4,3942.2427256304086,6181.083450598342
5,3966.176844682268,6181.083450598342
6,3987.6579157622596,6181.083450598342
7,4006.685263654356,6181.083450598342
8,4023.1661814454033,6181.083450598342
9,4037.2955789134107,6181.083450598342
10,4048.8524071181323,6181.083450598342
11,4057.976932509655,6181.083450598342
12,4064.6860035245263,6181.083450598342
13,4069.1033100049976,6181.083450598342
14,4071.263647516894,6181.083450598342
15,4071.178520302138,6181.083450598342
16,4068.8717851127035,6181.083450598342
17,4064.5097876644445,6181.083450598342
18,4058.199846347462,6181.083450598342
19,4050.050507102839,6181.083450598342
20,4040.156234508715,6181.083450598342
21,4028.665055932214,6181.083450598342
22,4015.712424071227,6181.083450598342
23,4001.378718686323,6181.083450598342
24,3985.6975510076336,6181.083450598342
25,3968.7618843534356,6181.083450598342
26,3950.6964650104496,6181.083450598342
27,3931.577853031858,6181.083450598342
28,3910.5693477214154,6181.083450598342
29,3889.5540811066858,6181.083450598342
30,3867.7974987266384,6181.083450598342
31,3845.7129657239225,6181.083450598342
32,3821.496322855555,6181.083450598342
33,3797.9171377433845,6181.083450598342
34,3773.9703604890033,6181.083450598342
35,3749.700850064334,6181.083450598342
36,3725.4691429841887,6181.083450598342
37,3700.6785581719378,6181.083450598342
38,3676.3902556367,6181.083450598342
39,3652.0542900454902,6181.083450598342
40,3627.6337121693414,6181.083450598342
41,3602.818055327151,6181.083450598342
42,3578.433663739972,6181.083450598342
43,3553.9373807727193,6181.083450598342
44,3529.6224387456937,6181.083450598342
45,3505.51383218748,6181.083450598342
46,3481.7022745531012,6181.083450598342
47,3458.260179663522,6181.083450598342
48,3432.3599239473133,6181.083450598342
49,3409.687240310851,6181.083450598342
50,3387.493760751355,6181.083450598342
51,3365.8270998626526,6181.083450598342
52,3343.607504928895,6181.083450598342
53,3322.9415230761924,6181.083450598342
54,3302.75767013882,6181.083450598342
