timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,176.0,95.5,-1.946127168762182e-10,7.661433495722945e-10,-5.2128192344595514e-09,0.0,1.0393652925186128e-09,8.504633493874435e-08,4.330688718827554e-09
1,217.0,128.0,-4.0155459039674503e-10,1.3167753720665421e-09,-1.040091394794413e-08,1.0393652925186128e-09,2.074549549896233e-09,7.16682575980883e-08,4.3667422982443464e-09
2,116.0,116.5,-6.032191269079645e-10,1.87302442871189e-09,-1.5772023356556383e-08,2.074549549896233e-09,3.1471689704008585e-09,7.42735222358025e-08,4.560840090210061e-09
3,0.0,0.0,-8.060749363281741e-10,2.4125876404147414e-09,-2.0854526028819993e-08,3.1471689704008585e-09,4.163068819167214e-09,7.16682575980883e-08,4.3667422982443464e-09
4,135.0,162.0,-1.0069021876541813e-09,2.9467552200005646e-09,-2.5886203674360966e-08,4.163068819167214e-09,5.169070483440343e-09,7.16682575980883e-08,4.3667422982443464e-09
5,0.0,0.0,-1.2057211664669289e-09,3.4755811237905297e-09,-3.0867564543446534e-08,5.169070483440343e-09,6.1651426172849465e-09,7.16682575980883e-08,4.3667422982443464e-09
6,0.0,0.0,-1.4025519554915484e-09,3.999118768542595e-09,-3.579911180384124e-08,6.1651426172849465e-09,7.1513284785169485e-09,7.16682575980883e-08,4.3667422982443464e-09
7,0.0,0.0,-1.5974144366259221e-09,4.5174210368471394e-09,-4.0681343591632005e-08,7.1513284785169485e-09,8.127698886757525e-09,7.16682575980883e-08,4.3667422982443464e-09
8,0.0,0.0,-1.7903282929489514e-09,5.0305402824686385e-09,-4.5514753061544856e-08,8.127698886757525e-09,9.094336423659468e-09,7.16682575980883e-08,4.3667422982443464e-09
9,0.0,0.0,-1.9813130107087515e-09,5.538528335633923e-09,-5.029982843675858e-08,9.094336423659468e-09,1.0051329085531824e-08,7.16682575980883e-08,4.3667422982443464e-09
10,102.5,120.5,-2.1887581368822775e-09,5.973975307395582e-09,-5.401624424151676e-08,1.0051329085531824e-08,1.0805124308977843e-08,9.425216002051159e-08,3.76719859292153e-09
11,175.33333333333334,117.33333333333333,-2.4744653189439404e-09,6.321205331494729e-09,-5.8949104623766895e-08,1.0805124308977843e-08,1.182162393390062e-08,9.593944199212676e-08,4.739225311304159e-09
12,208.0,111.0,-2.6397339526593674e-09,6.81665226251594e-09,-6.356095053446565e-08,1.182162393390062e-08,1.2735564019152041e-08,7.28305832167763e-08,4.306277700210234e-09
13,152.0,160.0,-2.8222246138220627e-09,7.306779195880751e-09,-6.816556393495018e-08,1.2735564019152041e-08,1.3655960537522384e-08,7.16682575980883e-08,4.3667422982443464e-09
14,246.0,113.0,-3.0028903683731313e-09,7.792004859911914e-09,-7.272413120142984e-08,1.3655960537522384e-08,1.4567191167623402e-08,7.16682575980883e-08,4.3667422982443464e-09
15,0.0,0.0,-3.1817494653786888e-09,8.272378267302766e-09,-7.723711279524472e-08,1.4567191167623402e-08,1.546934021546218e-08,7.16682575980883e-08,4.3667422982443464e-09
16,0.0,0.0,-3.3588199714141904e-09,8.74794794061971e-09,-8.170496457312145e-08,1.546934021546218e-08,1.6362492904490672e-08,7.16682575980883e-08,4.3667422982443464e-09
17,130.5,94.5,-3.5283930324159697e-09,9.47433641976758e-09,-8.609187360717608e-08,1.6362492904490672e-08,1.7267517310431475e-08,1.0553386738119229e-07,4.5271215207671556e-09
18,130.0,94.0,-3.7019971027810992e-09,9.937886511559877e-09,-9.047117777693348e-08,1.7267517310431475e-08,1.8142689735668704e-08,7.16682575980883e-08,4.3667422982443464e-09
19,0.0,0.0,-3.8738651324425775e-09,1.0396801102434248e-08,-9.480668890499331e-08,1.8142689735668704e-08,1.9009129147115094e-08,7.16682575980883e-08,4.3667422982443464e-09
20,0.0,0.0,-4.044014481807441e-09,1.0851126547399877e-08,-9.909884492177256e-08,1.9009129147115094e-08,1.9866920103194176e-08,7.16682575980883e-08,4.3667422982443464e-09
21,0.0,0.0,-4.212462337678655e-09,1.130090873791585e-08,-1.0334807937838402e-07,1.9866920103194176e-08,2.071614683069266e-08,7.16682575980883e-08,4.3667422982443464e-09
22,0.0,0.0,-4.379225714991158e-09,1.1746193106526664e-08,-1.0755482149042935e-07,2.071614683069266e-08,2.1556893114894277e-08,7.16682575980883e-08,4.3667422982443464e-09
23,119.0,55.0,-4.541602944652558e-09,1.2174050686071676e-08,-1.1174333714533499e-07,2.1556893114894277e-08,2.2389590107298748e-08,7.337786913713715e-08,4.370549554787477e-09
24,145.0,121.0,-4.7050749158953215e-09,1.2610603635200931e-08,-1.1586612667971082e-07,2.2389590107298748e-08,2.3213622085983877e-08,7.16682575980883e-08,4.3667422982443464e-09
25,0.0,0.0,-4.866912167425657e-09,1.3042791054838893e-08,-1.1994768831874288e-07,2.3213622085983877e-08,2.4029421579397424e-08,7.16682575980883e-08,4.3667422982443464e-09
26,119.0,54.0,-5.023268437474848e-09,1.341037687858731e-08,-1.2405269789814135e-07,2.4029421579397424e-08,2.4837174764945957e-08,7.764982976616917e-08,4.375997459446893e-09
27,0.0,0.0,-5.181923753789388e-09,1.3834566565791408e-08,-1.280523938249891e-07,2.4837174764945957e-08,2.5636755392190106e-08,7.16682575980883e-08,4.3667422982443464e-09
28,0.0,0.0,-5.338992516940783e-09,1.4254514356123465e-08,-1.320120927925684e-07,2.5636755392190106e-08,2.6428345403675052e-08,7.16682575980883e-08,4.3667422982443464e-09
29,21.0,85.0,-5.493611593786442e-09,1.4798857657066823e-08,-1.3628365191107863e-07,2.6428345403675052e-08,2.726946817580122e-08,9.605182528067879e-08,4.6263561899022876e-09
30,0.0,0.0,-5.647563478537867e-09,1.5209162536486124e-08,-1.4016103829779702e-07,2.726946817580122e-08,2.8044743023501106e-08,7.16682575980883e-08,4.3667422982443464e-09
31,0.0,0.0,-5.799975844441777e-09,1.5615364367111234e-08,-1.4399965082064823e-07,2.8044743023501106e-08,2.881226864212112e-08,7.16682575980883e-08,4.3667422982443464e-09
32,40.0,140.0,-5.937878174746417e-09,1.5855302949418315e-08,-1.4783024064942627e-07,2.881226864212112e-08,2.9589671233046957e-08,9.550546302308312e-08,4.50819740480651e-09
33,0.0,0.0,-6.087387393688243e-09,1.62550433759141e-08,-1.515921611487612e-07,2.9589671233046957e-08,3.0341752235309665e-08,7.16682575980883e-08,4.3667422982443464e-09
