timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
0,170.0,188.0,-2.2433024502738562e-10,7.292866394547555e-10,-5.242267740065611e-09,0.0,1.0809321363243817e-09,1.0537324920515955e-07,4.50388390135159e-09
1,151.0,239.0,-4.243360442201479e-10,1.2588026944714754e-09,-1.0390668713222626e-08,1.0809321363243817e-09,2.104258449707795e-09,7.280351012969581e-08,4.340759409324999e-09
2,0.0,0.0,-6.289806844672354e-10,1.8045081235167314e-09,-1.5526984931919574e-08,2.104258449707795e-09,3.1287666554749942e-09,7.16682575980883e-08,4.3667422982443464e-09
3,0.0,0.0,-8.315788783118521e-10,2.3447564982715348e-09,-2.0611937988429553e-08,3.1287666554749942e-09,4.1442701742685286e-09,7.16682575980883e-08,4.3667422982443464e-09
4,0.0,0.0,-1.032151090218023e-09,2.87960238927879e-09,-2.5646041514374432e-08,4.1442701742685286e-09,5.150115254977609e-09,7.16682575980883e-08,4.3667422982443464e-09
5,194.0,56.0,-1.2373870618908672e-09,3.5169194679290642e-09,-3.0698211326908884e-08,5.150115254977609e-09,6.147142074472381e-09,8.504466044646988e-08,4.387061990880722e-09
6,48.0,86.0,-1.430521475302916e-09,4.17027176025642e-09,-3.5621274008385275e-08,6.147142074472381e-09,7.129293364667317e-09,7.708886306685805e-08,4.355880188188555e-09
7,0.0,0.0,-1.6251042612391758e-09,4.686862498643827e-09,-4.0505284174130594e-08,7.129293364667317e-09,8.105570135680979e-09,7.16682575980883e-08,4.3667422982443464e-09
8,0.0,0.0,-1.8177412193160728e-09,5.1982873296473586e-09,-4.534045423821846e-08,8.105570135680979e-09,9.07218720855381e-09,7.16682575980883e-08,4.3667422982443464e-09
9,123.5,99.5,-2.0096473300699715e-09,5.646125114832589e-09,-5.013484963148959e-08,9.07218720855381e-09,1.0031490927362569e-08,7.695923656842415e-08,4.388988891423566e-09
10,0.0,0.0,-2.1984388574585604e-09,6.147957319674234e-09,-5.487372404100387e-08,1.0031490927362569e-08,1.0978848504141147e-08,7.16682575980883e-08,4.3667422982443464e-09
