wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbula,power_in_bucket_after_turbula,total_power_after_turbula,precentage_after_turbula,conservation_of_energy,power_after_OA,time
1.55e-06,0.01,1,1,0.6310662133546497,0.6310662133546497,1.0,0.17263783485306627,0.17263783485306627,1.0,17.263783485306632,0.17263783485306627,2025-11-17 17:07:42
1.55e-06,0.01,2,1,0.6310662133546497,0.6310662133546497,1.0,0.4088017353718577,0.4088017353718577,1.0,40.880173537185776,0.4088017353718577,2025-11-17 17:07:48
1.55e-06,0.01,3,1,0.6310662133546497,0.6310662133546497,1.0,0.44767837435567903,0.44767837435567903,1.0,44.76783743556791,0.44767837435567903,2025-11-17 17:07:54
1.55e-06,0.01,4,1,0.6310662133546497,0.6310662133546497,1.0,0.42506812323599286,0.42506812323599286,1.0,42.50681232359929,0.42506812323599286,2025-11-17 17:08:00
1.55e-06,0.01,5,1,0.6310662133546497,0.6310662133546497,1.0,0.4422804980388543,0.4422804980388543,1.0,44.22804980388543,0.4422804980388543,2025-11-17 17:08:05
1.55e-06,0.045,1,1,0.6310662133546497,0.6310662133546497,1.0,0.6109897340001369,0.6109897340001369,1.0,61.0989734000137,0.6109897340001369,2025-11-17 17:08:11
1.55e-06,0.045,2,1,0.6310662133546497,0.6310662133546497,1.0,0.6061936146430202,0.6061936146430202,1.0,60.61936146430203,0.6061936146430202,2025-11-17 17:08:17
1.55e-06,0.045,3,1,0.6310662133546497,0.6310662133546497,1.0,0.6160039403350208,0.6160039403350208,1.0,61.60039403350209,0.6160039403350208,2025-11-17 17:08:23
1.55e-06,0.045,4,1,0.6310662133546497,0.6310662133546497,1.0,0.6078407668319707,0.6078407668319707,1.0,60.78407668319708,0.6078407668319707,2025-11-17 17:08:29
1.55e-06,0.045,5,1,0.6310662133546497,0.6310662133546497,1.0,0.6087122755593518,0.6087122755593518,1.0,60.871227555935185,0.6087122755593518,2025-11-17 17:08:36
1.55e-06,0.07999999999999999,1,1,0.6310662133546497,0.6310662133546497,1.0,0.626949133923155,0.626949133923155,1.0,62.694913392315506,0.626949133923155,2025-11-17 17:08:41
1.55e-06,0.07999999999999999,2,1,0.6310662133546497,0.6310662133546497,1.0,0.6250133227228918,0.6250133227228918,1.0,62.50133227228918,0.6250133227228918,2025-11-17 17:08:47
1.55e-06,0.07999999999999999,3,1,0.6310662133546497,0.6310662133546497,1.0,0.610904899489541,0.610904899489541,1.0,61.0904899489541,0.610904899489541,2025-11-17 17:08:53
1.55e-06,0.07999999999999999,4,1,0.6310662133546497,0.6310662133546497,1.0,0.6127189748396185,0.6127189748396185,1.0,61.27189748396185,0.6127189748396185,2025-11-17 17:08:58
1.55e-06,0.07999999999999999,5,1,0.6310662133546497,0.6310662133546497,1.0,0.6216631680439726,0.6216631680439726,1.0,62.16631680439727,0.6216631680439726,2025-11-17 17:09:04
1.55e-06,0.11499999999999998,1,1,0.6310662133546497,0.6310662133546497,1.0,0.6288343444167676,0.6288343444167676,1.0,62.88343444167676,0.6288343444167676,2025-11-17 17:09:10
1.55e-06,0.11499999999999998,2,1,0.6310662133546497,0.6310662133546497,1.0,0.626496706577713,0.626496706577713,1.0,62.6496706577713,0.626496706577713,2025-11-17 17:09:17
