timestep,power_in_focal,power_send
0,28433039.527104147,390000000.0
1,29284267.037524626,390000000.0
2,30209162.2673307,390000000.0
3,31240328.419324934,390000000.0
4,32298996.25477332,390000000.0
5,33416740.61041184,390000000.0
6,34584622.33414933,390000000.0
7,35757984.9787912,390000000.0
8,36970847.08942342,390000000.0
9,38204482.084317535,390000000.0
10,39482000.29587824,390000000.0
11,40750251.695103,390000000.0
12,42025628.86584829,390000000.0
13,43303385.3771728,390000000.0
14,44607311.77027273,390000000.0
15,45904201.898824714,390000000.0
16,47172985.104874745,390000000.0
17,48440561.26937813,390000000.0
18,49682564.76435079,390000000.0
19,50897798.837870575,390000000.0
20,52077525.44068629,390000000.0
21,53226794.93322355,390000000.0
22,54377869.45695594,390000000.0
23,55502515.9431594,390000000.0
24,56600819.18227002,390000000.0
25,57693335.9350933,390000000.0
26,58734472.26868435,390000000.0
27,59739736.80428825,390000000.0
28,60655836.27794216,390000000.0
29,61521547.084280774,390000000.0
30,62343325.72664517,390000000.0
31,63141746.80388163,390000000.0
32,63921460.7031052,390000000.0
33,64624209.179380916,390000000.0
34,65344079.51485011,390000000.0
35,66019492.258130774,390000000.0
36,66674417.88953788,390000000.0
37,67321594.25923151,390000000.0
38,67938986.9683463,390000000.0
39,68535459.67914185,390000000.0
40,69108448.24733827,390000000.0
41,69698386.26706938,390000000.0
42,70232999.54826353,390000000.0
43,70736481.64559257,390000000.0
44,71226390.16446945,390000000.0
45,71767986.01545474,390000000.0
46,72244605.75298725,390000000.0
47,72714674.4944101,390000000.0
48,73110694.03531334,390000000.0
49,73524673.29753561,390000000.0
