timestep,power_in_focal,power_send
0,4027.9780731497735,6181.083450598342
1,4048.066587128251,6181.083450598342
2,4067.200359705998,6181.083450598342
3,4085.4109182872644,6181.083450598342
4,4102.703608056674,6181.083450598342
5,4119.110358357503,6181.083450598342
6,4134.650149223449,6181.083450598342
7,4149.35147509049,6181.083450598342
8,4163.218692922051,6181.083450598342
9,4176.534132169303,6181.083450598342
10,4188.758645760432,6181.083450598342
11,4200.326033203527,6181.083450598342
12,4211.155777486981,6181.083450598342
13,4221.2825656953355,6181.083450598342
14,4230.737803229761,6181.083450598342
15,4239.555358406717,6181.083450598342
16,4247.730383673546,6181.083450598342
17,4255.304146262679,6181.083450598342
18,4262.60353196632,6181.083450598342
19,4269.02031509239,6181.083450598342
20,4274.86107360265,6181.083450598342
21,4280.217400228628,6181.083450598342
22,4285.0707603170185,6181.083450598342
23,4289.451919473183,6181.083450598342
24,4293.354531927043,6181.083450598342
25,4297.300387497453,6181.083450598342
26,4300.339474351867,6181.083450598342
27,4302.9863667513855,6181.083450598342
28,4305.33331160142,6181.083450598342
29,4307.665246669278,6181.083450598342
30,4309.309772984385,6181.083450598342
31,4310.610989514071,6181.083450598342
32,4311.618719434387,6181.083450598342
33,4312.329198155538,6181.083450598342
34,4312.754700012638,6181.083450598342
35,4312.909628720903,6181.083450598342
36,4312.779674754318,6181.083450598342
37,4312.1523189447635,6181.083450598342
38,4311.517088889505,6181.083450598342
39,4310.720021680762,6181.083450598342
40,4309.695221240372,6181.083450598342
41,4308.441434593793,6181.083450598342
42,4306.964387678015,6181.083450598342
43,4305.276023838107,6181.083450598342
44,4303.402157533614,6181.083450598342
45,4301.171338033688,6181.083450598342
46,4298.974294883346,6181.083450598342
47,4296.645291783456,6181.083450598342
48,4294.19385286092,6181.083450598342
49,4291.603994868831,6181.083450598342
