timestep,power_in_focal,power_send
0,3551.8099636870497,6181.083450598342
1,3573.6436900531926,6181.083450598342
2,3594.6740684024944,6181.083450598342
3,3614.938369612769,6181.083450598342
4,3634.3721401522553,6181.083450598342
5,3653.0707264107496,6181.083450598342
6,3670.9545065549373,6181.083450598342
7,3688.207232135197,6181.083450598342
8,3704.6541485325642,6181.083450598342
9,3720.4017676039557,6181.083450598342
10,3735.4778192951803,6181.083450598342
11,3749.903940504397,6181.083450598342
12,3763.580674235749,6181.083450598342
13,3776.6030617079577,6181.083450598342
14,3788.9049763272296,6181.083450598342
15,3800.514005117873,6181.083450598342
16,3811.3286660991266,6181.083450598342
17,3821.4576381515926,6181.083450598342
18,3830.9532408844234,6181.083450598342
19,3839.907749192159,6181.083450598342
20,3848.250196109607,6181.083450598342
21,3856.0981562206957,6181.083450598342
22,3863.526031854975,6181.083450598342
23,3870.5995404347477,6181.083450598342
24,3877.239679374555,6181.083450598342
25,3883.46505995979,6181.083450598342
26,3889.314598045662,6181.083450598342
27,3894.779617017208,6181.083450598342
28,3899.9361764235364,6181.083450598342
29,3904.7481114270345,6181.083450598342
30,3909.2869715190736,6181.083450598342
31,3913.4316808774774,6181.083450598342
32,3917.4865645685804,6181.083450598342
33,3921.2475481327415,6181.083450598342
34,3924.77020887512,6181.083450598342
35,3928.0276931401013,6181.083450598342
36,3931.086873718412,6181.083450598342
37,3933.927027141586,6181.083450598342
38,3936.6262630832975,6181.083450598342
39,3939.248960875863,6181.083450598342
40,3941.6604310809344,6181.083450598342
41,3943.855737786893,6181.083450598342
42,3945.8797864589424,6181.083450598342
43,3947.7278980611536,6181.083450598342
44,3949.3830358467494,6181.083450598342
45,3950.7461679597577,6181.083450598342
46,3951.925292749114,6181.083450598342
47,3952.975996193256,6181.083450598342
48,3953.8516094252827,6181.083450598342
49,3954.4525768272842,6181.083450598342
