timestep,power_in_focal,power_send
0,3451.7507555515813,6181.083450598342
1,3455.792263020654,6181.083450598342
2,3458.7494668707513,6181.083450598342
3,3460.7999741893914,6181.083450598342
4,3462.1844886080066,6181.083450598342
5,3463.0321144180475,6181.083450598342
6,3463.3716416827065,6181.083450598342
7,3463.115820233301,6181.083450598342
8,3462.3606338951586,6181.083450598342
9,3461.18822732389,6181.083450598342
10,3459.6209485202903,6181.083450598342
11,3457.5914930125286,6181.083450598342
12,3455.2396537350687,6181.083450598342
13,3452.7364653065133,6181.083450598342
14,3450.091135465636,6181.083450598342
15,3447.5694453525944,6181.083450598342
16,3444.5818324504435,6181.083450598342
17,3441.5242677838705,6181.083450598342
18,3438.6142770252686,6181.083450598342
19,3435.4409241818753,6181.083450598342
20,3432.1801660371993,6181.083450598342
21,3429.253787430514,6181.083450598342
22,3426.217313180553,6181.083450598342
23,3423.252109078785,6181.083450598342
24,3420.398074102232,6181.083450598342
25,3417.673294824212,6181.083450598342
26,3415.102608691592,6181.083450598342
27,3412.6431496285354,6181.083450598342
28,3410.2330911926065,6181.083450598342
29,3408.181153324482,6181.083450598342
30,3406.4022427518084,6181.083450598342
31,3404.8346940343527,6181.083450598342
32,3403.4885130447983,6181.083450598342
33,3402.3462744306826,6181.083450598342
34,3401.4743800031874,6181.083450598342
35,3400.8843474422442,6181.083450598342
36,3400.4589980142423,6181.083450598342
37,3400.233179645281,6181.083450598342
38,3400.3623708806754,6181.083450598342
39,3400.959176068276,6181.083450598342
40,3401.757346218588,6181.083450598342
41,3402.8963857244617,6181.083450598342
42,3404.3854574465063,6181.083450598342
43,3406.1913166710465,6181.083450598342
44,3408.1695149258994,6181.083450598342
45,3410.2135826079375,6181.083450598342
46,3412.3990453051847,6181.083450598342
47,3414.7049376405457,6181.083450598342
48,3417.1068599095397,6181.083450598342
49,3419.4393348684757,6181.083450598342
