timestep,power_in_focal,power_send
0,3610.056368896694,6181.083450598342
1,3633.553108261932,6181.083450598342
2,3656.227392323929,6181.083450598342
3,3678.0107272777923,6181.083450598342
4,3698.5808362392145,6181.083450598342
5,3718.75247953259,6181.083450598342
6,3738.098670906301,6181.083450598342
7,3756.548583595736,6181.083450598342
8,3774.173805134881,6181.083450598342
9,3791.046087869353,6181.083450598342
10,3806.9943776989676,6181.083450598342
11,3821.739168812969,6181.083450598342
12,3835.9823031753676,6181.083450598342
13,3849.4214344941333,6181.083450598342
14,3862.0934521216586,6181.083450598342
15,3873.971883199727,6181.083450598342
16,3885.1108963078786,6181.083450598342
17,3895.5189204172166,6181.083450598342
18,3906.060324647522,6181.083450598342
19,3914.582515619034,6181.083450598342
20,3922.6712804581894,6181.083450598342
21,3930.4649441746133,6181.083450598342
22,3937.660834465132,6181.083450598342
23,3944.319871340379,6181.083450598342
24,3950.484104572425,6181.083450598342
25,3956.159569410772,6181.083450598342
26,3961.3854425208224,6181.083450598342
27,3966.166148808751,6181.083450598342
28,3970.51293782183,6181.083450598342
29,3974.5441449570935,6181.083450598342
30,3978.271078200152,6181.083450598342
31,3981.7017580990773,6181.083450598342
32,3984.6568915449525,6181.083450598342
33,3987.576271062466,6181.083450598342
34,3990.265259455368,6181.083450598342
35,3992.7221884142045,6181.083450598342
36,3994.8942041550135,6181.083450598342
37,3997.132276317101,6181.083450598342
38,3998.744840287747,6181.083450598342
39,4000.142334374713,6181.083450598342
40,4001.3849503316196,6181.083450598342
41,4002.374296104672,6181.083450598342
42,4003.2158550284357,6181.083450598342
43,4003.93712675569,6181.083450598342
44,4004.5223175286815,6181.083450598342
45,4005.0364749250766,6181.083450598342
46,4005.5355846855746,6181.083450598342
47,4005.923317335637,6181.083450598342
48,4006.201198158192,6181.083450598342
49,4006.4225223043904,6181.083450598342
