timestep,cog_x,cog_y,dm_mean,dm_max,dm_min,dm_rms_before,dm_rms_after,slopes_residual_rms,modal_cmd_rms
15,0.0,0.0,-1.926418187499286e-09,5.123104156033082e-09,-4.8353806934858096e-08,9.157549891661767e-09,9.673075012109597e-09,7.16682575980883e-08,4.366742298244345e-09
16,0.0,0.0,-2.0271484908754926e-09,5.392837710239067e-09,-5.088021273338038e-08,9.673075012109597e-09,1.0178289990246601e-08,7.16682575980883e-08,4.366742298244345e-09
17,237.0,134.0,-2.093622386147599e-09,5.6678495853765e-09,-5.3176037978446014e-08,1.0178289990246601e-08,1.0645984444540011e-08,8.753081659443746e-08,4.220195451531621e-09
18,143.0,136.0,-2.191008605550839e-09,5.926688230995615e-09,-5.560599915609654e-08,1.0645984444540011e-08,1.1131724531689516e-08,7.16682575980883e-08,4.366742298244345e-09
19,160.0,150.0,-2.2864471005660153e-09,6.180350103702349e-09,-5.798736111019405e-08,1.1131724531689516e-08,1.1607752080448067e-08,7.16682575980883e-08,4.366742298244345e-09
20,202.0,118.0,-2.354979517750167e-09,6.371453663986567e-09,-6.03957261483546e-08,1.1607752080448067e-08,1.2075394869533225e-08,9.021201604855872e-08,4.403256925348157e-09
21,0.0,0.0,-2.447138594521357e-09,6.616220228033482e-09,-6.268129356260695e-08,1.2075394869533225e-08,1.2532524392619638e-08,7.16682575980883e-08,4.366742298244345e-09
22,0.0,0.0,-2.537454489757122e-09,6.856091460799459e-09,-6.492114962857426e-08,1.2532524392619638e-08,1.2980515731650799e-08,7.16682575980883e-08,4.366742298244345e-09
23,70.0,129.0,-2.625964067088172e-09,7.091165268910116e-09,-6.711620857322222e-08,1.2980515731650799e-08,1.3419551051928554e-08,7.16682575980883e-08,4.366742298244345e-09
24,0.0,0.0,-2.712703452872601e-09,7.32153760085856e-09,-6.926736633897722e-08,1.3419551051928554e-08,1.3849808975183166e-08,7.16682575980883e-08,4.366742298244345e-09
25,130.0,184.0,-2.797708050941342e-09,7.547302486168035e-09,-7.137550094941712e-08,1.3849808975183166e-08,1.4271464630802307e-08,7.16682575980883e-08,4.366742298244345e-09
26,0.0,0.0,-2.8810125570487072e-09,7.76855207377132e-09,-7.344147286764821e-08,1.4271464630802307e-08,1.468468971046903e-08,7.16682575980883e-08,4.366742298244345e-09
27,0.0,0.0,-2.962650973033926e-09,7.985376669622539e-09,-7.54661253475147e-08,1.468468971046903e-08,1.5089652525019935e-08,7.16682575980883e-08,4.366742298244345e-09
28,86.0,77.5,-3.0396754396144217e-09,8.080663077161527e-09,-7.747868987943103e-08,1.5089652525019935e-08,1.548623361221575e-08,8.116530241909635e-08,4.3788176063134945e-09
29,49.0,185.0,-3.1234856990591344e-09,8.373999010625783e-09,-7.940065096164628e-08,1.548623361221575e-08,1.587415200965614e-08,8.116581553076279e-08,4.376876857118547e-09
30,103.5,167.0,-3.192839046857199e-09,8.579204156611933e-09,-8.117568527833149e-08,1.587415200965614e-08,1.6237789988456243e-08,7.710128813125287e-08,4.2630472404030315e-09
31,0.0,0.0,-3.2682409330462474e-09,8.77981571080634e-09,-8.30456535099843e-08,1.6237789988456243e-08,1.6611691616304462e-08,7.16682575980883e-08,4.366742298244345e-09
32,0.0,0.0,-3.3421347815115143e-09,8.976415033916857e-09,-8.487822237700405e-08,1.6611691616304462e-08,1.6978116950369533e-08,7.16682575980883e-08,4.366742298244345e-09
33,0.0,0.0,-3.414550753007477e-09,9.169082370565166e-09,-8.667413986668341e-08,1.6978116950369533e-08,1.7337215341775148e-08,7.16682575980883e-08,4.366742298244345e-09
34,88.0,128.0,-3.4855184050735206e-09,9.357896360480508e-09,-8.843413900656919e-08,1.7337215341775148e-08,1.768913317594742e-08,7.16682575980883e-08,4.366742298244345e-09
35,0.0,0.0,-3.5550667040982423e-09,9.542934070597543e-09,-9.015893816365725e-08,1.768913317594742e-08,1.803401392885131e-08,7.16682575980883e-08,4.366742298244345e-09
36,0.0,0.0,-3.62322403714247e-09,9.724271026512237e-09,-9.184924133760355e-08,1.803401392885131e-08,1.837199822261408e-08,7.16682575980883e-08,4.366742298244345e-09
